"Subj_idx","Stimulus","Response","RT_dec","Confidence","RT_conf","SOA","Accuracy","Trial"
1,1,1,0.90505999996094,0,0.983810000005178,11.1181211331111,1,72
1,1,1,0.756609999982174,0.902639426037449,1.03155999997398,11.1181211331111,1,73
1,2,2,0.606084999977611,0.487450850878829,1.77643000002718,10.0063090197999,1,74
1,1,1,0.542849999968894,0.598483413650355,0.93092000001343,10.0063090197999,1,75
1,2,2,1.26278500002809,0.685009138861295,1.09305500000482,9.00567811781995,1,76
1,1,1,0.554330000013579,0.419181022196866,0.869379999989178,9.00567811781995,1,77
1,2,2,0.552540000004228,0.863876629372862,0.905009999987669,8.10511030603796,1,78
1,2,2,0.522100000001956,0.52102709653093,1.39974000002258,8.10511030603796,1,79
1,1,1,0.50468000001274,0.679822219214137,1.23236499994528,7.29459927543416,1,80
1,2,1,1.09248999995179,0.753503008344753,1.49776500003645,7.29459927543416,0,81
