Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,ImgID,Liking,RT_liking,ImgEmo,SbjAge,SbjSex
1,Human,Human,100,3.04995288931,3.968,1,Confidence before liking,Correct,happy_monkey_by_martypunker-d311ic8.jpg,7,1.605,Pleasant,21,m
1,Animal,Animal,50,1.33342614216,1.199,0.406779661016949,Confidence before liking,Correct,12425977248lc8TP.jpg,50,0.502,Pleasant,21,m
1,Human,Human,100,1.46668416902,2.468,0.96551724137931,Confidence before liking,Correct,SNN0943B_380_904828a.jpg,0,2.054,Unpleasant,21,m
1,Human,Human,100,1.36669694817,3.384,0.96551724137931,Confidence before liking,Correct,hobo.jpg,24,1.921,Unpleasant,21,m
1,Object,Object,50,1.98339075121,1.082,0.793103448275862,Confidence before liking,Correct,burgers.jpg,50,0.268,Pleasant,21,m
1,Human,Animal,92,1.41671406428,3.701,0.655172413793103,Confidence before liking,Error,P124.jpg,94,2.271,Pleasant,21,m
1,Human,Human,58,1.30010600732,1.901,0.379310344827586,Confidence before liking,Correct,Dental-Patients.jpg,31,1.487,Unpleasant,21,m
1,Object,Animal,65,2.28344478118,1.701,0.379310344827586,Confidence before liking,Error,unpleas_obj1.jpg,9,1.321,Unpleasant,21,m
1,Human,Human,100,1.30015401189,2.284,0.96551724137931,Confidence before liking,Correct,girl_pos.jpg,20,2.537,Pleasant,21,m
1,Human,Human,50,1.70003502678,1.015,0.655172413793103,Confidence before liking,Correct,couple1_pos.jpg,50,0.285,Pleasant,21,m
1,Human,Human,97,8.03326319149,14.934,1,Confidence before liking,Correct,al-davis-disgusting.jpg,2,5.37,Unpleasant,21,m
1,Animal,Animal,13,2.43331205683,3.368,1,Confidence before liking,Correct,P073.jpg,5,5.687,Unpleasant,21,m
1,Object,Object,11,1.3167232017,5.068,0.620689655172414,Confidence before liking,Correct,unpleas_obj5.jpg,5,2.654,Unpleasant,21,m
1,Object,Human,4,1.21674690602,2.949,0.724137931034483,Confidence before liking,Error,club_sandwich.jpg,9,1.787,Pleasant,21,m
1,Animal,Animal,13,1.28343683559,4.684,0.793103448275862,Confidence before liking,Correct,Sp111.jpg,7,2.987,Unpleasant,21,m
1,Human,Human,31,1.21672538673,2.401,0.827586206896552,Confidence before liking,Correct,hum-neg.jpg,7,1.637,Unpleasant,21,m
1,Object,Human,36,1.08338459338,2.268,0.586206896551724,Confidence before liking,Error,Delicious-looking-food-meals31.jpg,0,1.671,Pleasant,21,m
1,Object,Object,0,2.08325680192,2.034,0.689655172413793,Confidence before liking,Correct,bagbike.jpg,1,1.337,Pleasant,21,m
1,Object,Animal,0,1.46691988799,3.351,0.206896551724138,Confidence before liking,Error,flowers.jpg,4,4.754,Pleasant,21,m
1,Human,Object,0,7.16656723652,5.834,0.482758620689655,Confidence before liking,Error,human_pos4.jpg,3,2.504,Pleasant,21,m
1,Animal,Animal,4,1.38336049178,3.234,0.448275862068966,Confidence before liking,Correct,15.jpg,0,1.471,Pleasant,21,m
1,Human,Animal,7,2.55001314332,2.201,0.241379310344828,Confidence before liking,Error,H022.jpg,0,2.787,Unpleasant,21,m
1,Human,Human,99,1.41672830012,2.768,1,Confidence before liking,Correct,human_pos2.jpg,7,2.554,Pleasant,21,m
1,Human,Animal,99,1.31670962799,2.268,0.96551724137931,Confidence before liking,Error,american-bulldog.jpg,32,2.287,Unpleasant,21,m
1,Animal,Human,8,1.21678630287,2.517,0.551724137931035,Confidence before liking,Error,A095.jpg,4,3.254,Unpleasant,21,m
1,Animal,Animal,80,1.30004641545,2.368,0.586206896551724,Confidence before liking,Correct,11.jpg,4,1.804,Unpleasant,21,m
1,Object,Object,3,3.18335492987,5.151,0.551724137931035,Confidence before liking,Correct,bag1.jpg,0,1.838,Pleasant,21,m
1,Object,Animal,4,1.70003370252,2.718,0.758620689655172,Confidence before liking,Error,bike_rusted_crap.jpg,0,1.521,Unpleasant,21,m
1,Animal,Animal,13,1.31671426292,2.135,0.448275862068966,Confidence before liking,Correct,anim_unpl3.jpg,0,1.404,Unpleasant,21,m
1,Human,Human,2,1.95006432612,3.467,0.551724137931035,Confidence before liking,Correct,man_turk4.jpg,4,1.437,Unpleasant,21,m
1,Human,Human,72,1.03339098296,1.951,0.931034482758621,Confidence before liking,Correct,man_turk2.jpg,5,1.621,Unpleasant,21,m
1,Animal,Animal,5,1.93334814302,3.084,0.448275862068966,Confidence before liking,Correct,Sp047.jpg,3,1.537,Unpleasant,21,m
1,Animal,Object,5,1.43348983925,2.801,0.206896551724138,Confidence before liking,Error,Sp016.jpg,0,2.273,Unpleasant,21,m
1,Animal,Object,0,1.38345418345,2.034,0.620689655172414,Confidence before liking,Error,A053.jpg,5,1.537,Unpleasant,21,m
1,Human,Animal,0,1.20005191114,2.584,0.551724137931035,Confidence before liking,Error,H125.jpg,0,1.437,Unpleasant,21,m
1,Animal,Animal,62,1.25008690482,2.017,0.724137931034483,Confidence before liking,Correct,P082.jpg,2,1.988,Pleasant,21,m
1,Human,Animal,73,1.89990087885,4.001,0.379310344827586,Confidence before liking,Error,wanderlei.jpg,11,2.104,Unpleasant,21,m
1,Human,Human,32,1.18336486185,3.785,0.862068965517241,Confidence before liking,Correct,H026.jpg,0,1.688,Unpleasant,21,m
1,Object,Human,64,1.03343567686,2.851,0.413793103448276,Confidence before liking,Error,unpleas_obj3.jpg,13,1.971,Unpleasant,21,m
1,Human,Human,91,2.13333946909,2.718,0.96551724137931,Confidence before liking,Correct,face.jpg,16,3.654,Unpleasant,21,m
1,Object,Animal,6,1.9667738879,3.034,0.344827586206897,Confidence before liking,Error,obj_unpleas1.jpg,7,1.371,Unpleasant,21,m
1,Object,Animal,13,1.26672230782,3.384,0.96551724137931,Confidence before liking,Error,Delicious-foods4.jpg,15,3.721,Pleasant,21,m
1,Human,Object,59,2.33345461383,1.901,0.0847457627118644,Confidence before liking,Error,human_pos1.jpg,3,1.421,Pleasant,21,m
1,Animal,Animal,100,1.18355025879,3.068,0.862068965517241,Confidence before liking,Correct,P074.jpg,90,2.571,Pleasant,21,m
1,Object,Object,60,1.36667907061,4.068,1,Confidence before liking,Correct,unpleas_obj.jpg,31,1.354,Unpleasant,21,m
1,Human,Human,93,1.48338280563,2.768,1,Confidence before liking,Correct,27.jpg,5,2.521,Pleasant,21,m
1,Object,Animal,86,1.1167447872,2.167,0.275862068965517,Confidence before liking,Error,food.jpg,16,1.454,Pleasant,21,m
1,Object,Animal,11,1.48337022512,9.435,0.827586206896552,Confidence before liking,Error,fountain.jpg,8,1.621,Pleasant,21,m
1,Animal,Animal,100,1.18336254439,2.468,0.793103448275862,Confidence before liking,Correct,A039.jpg,71,1.688,Unpleasant,21,m
1,Object,Human,15,1.18350920661,2.418,0.813559322033898,Confidence before liking,Error,gorch_fock2.jpg,13,1.521,Pleasant,21,m
1,Object,Human,20,1.13341296574,2.118,0.517241379310345,Confidence before liking,Error,unpleas_obj4.jpg,5,1.604,Unpleasant,21,m
1,Animal,Animal,65,1.38336943056,2.334,0.275862068965517,Confidence before liking,Correct,A044.jpg,20,0.988,Unpleasant,21,m
1,Object,Human,66,1.35006320049,1.901,0.448275862068966,Confidence before liking,Error,dolls.jpg,27,1.221,Unpleasant,21,m
1,Object,Object,0,1.46672985613,2.268,0.896551724137931,Confidence before liking,Correct,tv-smashed_idol.jpg,0,1.237,Unpleasant,21,m
1,Human,Human,100,1.48327289172,2.218,1,Confidence before liking,Correct,couple_pos.jpg,72,4.571,Pleasant,21,m
1,Human,Human,100,0.933368669108,2.234,1,Confidence before liking,Correct,oldman_pos.jpg,28,1.404,Pleasant,21,m
1,Animal,Animal,25,1.33340197435,1.651,0.620689655172414,Confidence before liking,Correct,P081.jpg,7,1.437,Pleasant,21,m
1,Human,Human,96,1.08338028952,2.018,1,Confidence before liking,Correct,man_neu.jpg,29,1.504,Pleasant,21,m
1,Object,Human,3,1.45018549626,2.067,0.813559322033898,Confidence before liking,Error,gorch_fock2.jpg,0,1.454,Pleasant,21,m
1,Human,Human,72,1.10009581049,1.717,0.724137931034483,Confidence before liking,Correct,human_pos6.jpg,19,1.487,Pleasant,21,m
2,Human,Human,99,1.23338517809,1.754,0.724137931034483,Liking before confidence,Correct,destrozada-(3).jpg,12,3.234,Unpleasant,21,m
