Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
1,1,1,0,1.182,1.633,0.16,1
1,1,1,100,1.775,3.4666,0.30449,2
1,1,1,100,1.337,1.0161,0.87491,2
1,1,1,31,1.425,1.2664,0.11,2
1,1,2,82,2.406,1.6656,0.23513,2
1,2,2,34,2.33,1.399,0.11,1
1,2,2,100,0.929,1.2319,0.50913,2
1,2,2,10,2.008,1.4321,0.06,1
1,2,2,100,0.689,0.94892,0.29526,2
1,2,1,0,2.983,1.5161,0.01,1
1,1,1,0,1.066,0.99891,0.06,1
1,2,2,100,1.567,1.1324,0.47084,2
1,1,1,65,2.367,2.0822,0.22051,2
1,2,2,100,0.829,1.2323,0.49118,2
1,2,1,0,1.425,1.5156,0.01,1
1,1,2,18,1.32,1.6985,0.10316,2
1,1,2,0,1.076,0.9993,0.14597,2
1,1,1,17,2.056,1.0326,0.16,2
1,2,2,97,1.835,1.7321,0.44648,2
1,1,2,2,1.01,1.7328,0.11,1
1,2,2,100,0.777,1.0825,0.16,1
1,2,NaN,NaN,NaN,NaN,0.16,1
1,2,2,100,2.336,1.2985,0.58072,2
1,1,1,80,1.2,1.3823,0.21,2
1,2,2,72,2.235,1.5323,0.16,1
1,2,2,89,1.448,1.3491,0.43343,2
1,2,2,25,2.464,2.383,0.11,1
1,2,2,6,1.202,3.8175,0.29709,2
1,1,1,0,1.02,1.0822,0.06,1
1,2,2,0,1.027,1.0323,0.06,1
1,1,1,24,1.1,1.9829,0.27589,2
1,2,1,0,1.325,1.1821,0.073803,2
1,2,2,0,0.927,0.99927,0.06,1
1,2,NaN,NaN,NaN,NaN,0.32249,2
1,2,2,100,2.706,1.0655,0.51461,2
1,1,1,61,1.242,2.0165,0.11,1
1,2,2,100,1.815,1.3328,0.38774,2
1,1,1,74,1.615,2.5831,0.13149,2
1,2,1,0,1.037,1.6497,0.039843,2
1,2,2,0,0.875,1.6323,0.06,1
1,1,1,0,0.82,1.4826,0.06,2
1,2,2,100,2.215,1.3826,0.35461,2
1,2,2,74,1.989,1.1991,0.35629,2
1,2,2,85,0.73,1.4993,0.14933,2
1,1,1,0,1.409,1.7162,0.01,1
1,2,2,0,1.19,1.2321,0.01,1
1,2,1,0,0.962,0.89861,0.01,1
1,1,1,0,1.831,1.1663,0.06,1
1,1,1,0,0.757,0.88222,0.06,1
1,2,1,0,0.733,0.94883,0.01,1
1,2,2,100,1.754,1.8157,0.31285,2
1,1,1,88,0.794,1.382,0.26147,2
1,1,2,0,0.826,0.83133,0.01,1
1,2,1,0,0.644,0.79952,0.06,1
1,1,NaN,NaN,NaN,NaN,0.11,1
1,2,2,94,0.816,1.1322,0.31335,2
1,2,1,43,1.993,1.2995,0.11,1
1,2,2,100,0.635,0.84871,0.95478,2
1,2,2,70,0.747,1.3492,0.16,2
1,2,2,26,0.673,2.2333,0.11,1
1,2,1,19,1.422,1.4322,0.11,1
1,2,2,100,0.805,0.83277,0.36429,2
1,1,1,100,1.342,1.6663,0.34783,2
1,1,2,70,2.076,1.249,0.11,1
1,2,2,95,1.149,0.83264,0.36367,2
1,1,1,67,1.776,1.8157,0.16,1
1,2,2,77,0.762,1.549,0.11,2
1,2,2,68,0.979,1.4661,0.11,1
1,2,1,0,0.864,1.5828,0.06,2
1,2,2,31,1.461,1.0161,0.11,2
1,2,2,100,1.245,1.3162,0.15199,2
1,1,1,52,1.778,1.3661,0.06,2
1,2,2,100,1.994,2.0832,0.15544,2
1,1,1,100,1.155,1.5824,0.30553,2
1,2,1,0,0.944,1.0328,0.01,1
1,2,2,100,2.048,1.3993,0.37386,2
1,2,1,3,0.936,0.91593,0.06,1
1,2,2,70,0.635,1.5497,0.36523,2
1,1,2,41,2.046,1.2491,0.11,1
1,1,1,8,1.551,1.2329,0.16,2
1,1,1,46,1.408,1.8166,0.16,1
1,1,1,15,1.469,1.4661,0.11,1
1,2,2,47,1.699,2.1659,0.11,1
1,2,2,100,1.802,1.1158,0.37253,2
1,2,2,100,1.484,2.7505,0.18736,2
1,1,1,100,1.525,1.2493,0.25577,2
1,2,2,100,1.722,1.2496,0.14804,2
1,1,2,4,1.683,1.1994,0.01,1
1,2,2,81,0.918,1.7496,0.10581,2
1,2,1,12,1.477,1.5825,0.063888,2
1,2,2,0,0.691,1.2825,0.11,1
1,2,2,26,1.451,1.1158,0.11,1
1,2,2,100,1.494,1.1823,0.38114,2
1,2,2,97,1.546,1.5495,0.15137,2
1,1,2,4,1.266,0.89939,0.051005,2
1,1,1,36,1.056,1.1321,0.06,1
1,1,1,78,1.5,1.3656,0.26477,2
1,1,1,84,1.408,1.5155,0.2614,2
1,1,1,4,1.065,1.0656,0.083083,2
1,2,2,94,2.105,1.799,0.2212,2
1,2,2,76,1.226,1.4662,0.1693,2
1,1,1,0,0.923,0.74931,0.01,1
1,2,2,0,1.542,1.182,0.01,1
1,2,NaN,NaN,NaN,NaN,1.0604,2
1,2,2,0,2.554,0.84919,0.01,1
1,1,1,86,1.452,2.0492,0.24997,2
1,2,2,0,1.561,1.083,0.01,1
1,2,2,64,1.517,1.2489,0.47254,2
1,1,2,0,0.604,1.416,0.01,1
1,2,2,75,1.412,1.0827,0.2078,2
1,2,2,45,2.083,1.7325,0.06,1
1,1,1,75,1.424,2.3996,0.36593,2
1,2,1,0,1.644,0.84882,0.032574,2
1,2,1,0,1.376,1.0328,0.06,1
1,1,1,73,1.025,1.9501,0.11,1
1,2,2,49,2.558,1.2495,0.11,2
1,1,1,0,0.979,0.83206,0.06,1
1,2,2,100,1.612,1.2161,0.38498,2
1,2,2,0,1.66,0.81587,0.01,1
1,1,2,8,1.737,1.3163,0.01,1
1,2,2,100,1.298,1.7165,0.28259,2
1,1,1,81,1.273,1.1324,0.06,1
1,2,2,60,1.279,1.2328,0.11495,2
1,1,2,13,1.843,1.2324,0.01,1
1,2,NaN,NaN,NaN,NaN,1.065,2
1,1,1,100,0.754,0.9986,0.31545,2
1,1,1,39,0.626,1.633,0.06,1
1,1,2,0,0.674,3.3005,0.01,1
1,1,1,0,0.617,1.6491,0.06,1
1,1,1,9,0.799,2.0162,0.06,1
1,2,1,4,0.741,1.2155,0.01,1
1,1,1,15,1.308,1.4163,0.06,1
1,1,1,9,0.701,2.083,0.06,1
1,2,1,8,0.742,1.099,0.01,1
1,1,1,12,0.82,1.5999,0.06,1
1,2,2,50,0.738,1.8326,0.06,1
1,2,2,99,1.55,1.5492,0.2855,2
1,2,2,0,0.66,0.89882,0.01,1
1,1,2,0,0.597,1.2994,0.01,1
1,2,1,14,1.228,1.5991,0.06,1
1,2,2,22,0.922,1.983,0.11,1
1,2,2,89,0.73,1.383,0.11,1
1,2,2,100,0.642,1.4491,0.43297,2
1,2,2,36,1.643,0.99877,0.06,1
1,1,1,90,1.362,2.2831,0.36707,2
1,1,1,7,1.202,1.5659,0.086187,2
1,1,1,17,2.094,1.4158,0.01,1
1,1,1,76,0.758,2.8166,0.15215,2
1,1,1,47,0.712,1.7156,0.07102,2
1,1,2,40,2.71,1.7161,0.01,1
1,1,1,71,1.981,2.2659,0.06,1
1,1,1,37,1.91,0.86591,0.06,1
1,2,2,100,1.418,0.86599,0.19988,2
1,1,NaN,NaN,NaN,NaN,0.21453,2
1,1,1,0,0.605,1.3322,0.01,1
1,2,2,0,0.651,0.99944,0.01,1
1,2,2,97,0.955,1.5991,0.21519,2
1,2,1,4,1.44,1.266,0.01,1
1,2,2,75,1.04,1.3657,0.3458,2
1,2,2,64,2.153,1.2321,0.06,1
1,1,2,33,1.013,0.71538,0.18978,2
1,1,1,0,2.381,0.96566,0.06,1
1,2,2,100,1.238,0.83179,0.27698,2
1,2,1,36,1.36,1.5157,0.03503,2
1,2,NaN,NaN,NaN,NaN,0.95076,2
1,2,1,0,1.392,1.75,0.06,1
1,1,1,93,1.009,1.5991,0.11,2
1,2,2,65,1.142,1.2657,0.11,2
1,2,2,100,1.651,2.0664,0.24763,2
1,2,2,73,1.818,1.4989,0.06,1
1,1,1,0,1.04,0.96526,0.01,1
1,1,2,1,1.117,1.082,0.029401,2
1,2,2,100,1.458,1.2822,0.39002,2
1,2,1,0,1.63,1.1326,0.06,1
1,2,2,84,1.07,1.1825,0.11,1
1,1,1,67,1.683,1.4493,0.11,1
1,2,2,69,1.361,1.3662,0.06,1
1,2,1,27,0.877,1.1493,0.06,1
1,1,1,31,1.449,1.5827,0.181,2
1,2,2,73,0.827,1.2821,0.11,1
1,2,1,47,1.684,4.3173,0.06,1
1,1,1,93,1.218,3.2166,0.11,1
1,2,2,100,0.804,1.1322,0.31076,2
1,2,2,62,3.773,0.86565,0.15775,2
1,2,1,26,1.293,1.266,0.06,1
1,2,2,14,1.447,1.8161,0.11,1
1,2,2,73,1.26,1.2285,0.11,2
