Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Training
1015072,0,0,4,0.687,0.338,19,0
1015072,1,0,4,0.012,1.268,17,0
1015072,0,0,4,0.517,0.363,19,0
1015072,0,0,4,0.797,0.349,19,0
1015072,1,0,5,0.642,0.625,17,0
1015072,1,0,5,0.651,0.449,19,0
1015072,1,0,4,0.709,0.398,21,0
1015072,0,0,4,0.731,0.404,23,0
1015072,0,0,5,0.624,0.468,23,0
1015072,1,0,5,0.592,0.419,21,0
1015072,1,0,5,0.711,0.425,23,0
1015072,0,0,5,0.727,0.472,26,0
1015072,1,1,5,0.564,0.399,26,0
1015072,0,0,4,0.559,0.654,23,0
1015072,0,0,5,0.582,0.479,23,0
1015072,1,0,5,0.565,0.524,21,0
1015072,0,0,5,1.214,0.439,23,0
1015072,0,1,5,0.975,0.544,23,0
1015072,0,0,5,0.46,0.404,26,0
1015072,0,0,5,0.681,0.799,26,0
1015072,0,0,5,0.374,0.404,23,0
1015072,1,0,5,0.725,0.333,23,0
1015072,1,0,5,0.416,0.373,26,0
1015072,1,0,5,0.628,0.709,29,0
1015072,1,1,2,1.598,0.463,32,0
1015072,0,0,5,0.502,0.664,32,0
1015072,0,0,5,0.685,0.364,29,0
1015072,0,0,5,0.755,0.398,29,0
1015072,0,0,4,0.637,0.403,26,0
1015072,0,0,4,0.644,0.429,26,0
1015072,1,1,4,0.493,0.62,23,0
1015072,0,1,4,1.219,0.465,23,0
1015072,1,1,4,0.815,0.368,26,0
1015072,1,1,4,0.788,0.403,26,0
1015072,0,0,4,0.697,0.405,23,0
1015072,0,0,5,0.658,0.469,23,0
1015072,1,1,4,0.767,0.407,21,0
1015072,1,0,4,0.505,0.384,21,0
1015072,1,1,4,0.307,0.605,23,0
1015072,1,0,4,1.278,0.362,23,0
1015072,1,1,4,0.376,0.453,26,0
1015072,1,1,4,0.947,0.295,26,0
1015072,1,0,4,0.72,0.328,23,0
1015072,0,0,4,0.706,0.318,26,0
1015072,0,1,4,0.775,0.454,26,0
1015072,1,1,4,1.068,0.358,29,0
1015072,1,1,4,0.953,0.281,29,0
1015072,0,0,4,0.737,0.298,26,0
1015072,1,1,4,1.067,1.617,26,0
1015072,0,0,4,0.903,0.328,23,0
1015072,0,0,4,0.783,0.359,23,0
