Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
5,2,81,3.69632653061224,7,9,2,1,0.106711558997631,-1,0.016255022957921
5,2,82,2.10285714285714,7,5,-2,3,0.339488234370947,-1,0.0159489177167416
5,2,83,1.75746031746032,7,5,-2,3,0.760722430422902,-1,0.0159081425517797
5,2,84,2.09560090702948,7,6,-1,3,0.456641247496009,-1,0.176636723801494
5,2,85,2.17251700680272,7,5,-2,3,0.487212497740984,-1,1.05513630993664
5,2,86,1.54557823129252,7,4,-3,3,0.906528282910585,-1,0.0159966610372066
5,2,87,2.32054421768707,7,7,0,3,0.333434604108334,-1,0.0168201550841331
5,2,88,3.8487074829932,7,9,2,1,0.860072188079357,-1,0.0676506832242012
5,2,89,2.70077097505669,7,6,-1,3,0.343582265079021,-1,1.09366246499121
5,2,90,2.8691156462585,7,7,0,3,0.514223823323846,-1,0.784135585650802
5,2,91,1.60507936507937,7,5,-2,3,1.52050709910691,-1,0.0305424407124519
5,2,92,2.52952380952381,7,7,0,2,1.00494442507625,-1,0.414608880877495
5,2,93,2.54113378684807,7,6,-1,3,0.43919213861227,-1,0.192778453230858
5,2,94,2.15074829931973,7,6,-1,2,0.758190544322133,-1,0.0167878959327936
5,2,95,2.66303854875283,7,7,0,1,0.539672775194049,-1,0.096519885584712
5,2,96,2.03174603174603,7,6,-1,3,0.369600728154182,-1,0.0158746540546417
5,2,97,2.31473922902494,7,6,-1,2,0.476925345137715,-1,0.326362531632185
5,2,98,1.96498866213152,7,5,-2,2,0.418563550338149,-1,0.0600909069180489
5,2,99,2.2508843537415,7,6,-1,3,0.147226063534617,-1,0.0159081295132637
5,2,100,2.81832199546485,7,8,1,3,1.06949788890779,-1,0.876263288781047
5,2,101,2.43374149659864,7,7,0,2,1.67818312160671,-1,0.016074126586318
5,2,102,2.95328798185941,7,8,1,3,1.02254450879991,-1,0.0163417141884565
5,2,103,2.91700680272109,7,7,0,2,1.8075840305537,-1,1.24056941829622
5,2,104,2.81251700680272,7,8,1,1,0.94201042316854,-1,0.0194813348352909
5,2,105,2.78349206349206,7,7,0,3,0.755918415263295,-1,0.111629923805594
5,2,106,2.47873015873016,7,6,-1,1,0.589373366907239,-1,0.0319180004298687
5,2,107,3.2,7,8,1,3,0.470705801621079,-1,0.120976204052567
5,2,108,2.45696145124717,7,7,0,2,0.912753988057375,-1,0.0294190607964993
5,2,109,2.45260770975057,7,7,0,3,0.615902496501803,-1,0.0983737520873547
5,2,110,2.79655328798186,7,8,1,2,0.620063638314605,-1,0.126854602247477
5,2,111,3.12888888888889,7,7,0,3,1.01787669584155,-1,0.11553531140089
5,2,112,2.32780045351474,7,6,-1,2,1.09560336172581,-1,0.127218373119831
5,2,113,2.27845804988662,7,6,-1,2,0.232177956029773,-1,0.480208480730653
5,2,114,3.04616780045351,7,7,0,3,0.261779069900513,-1,0.0160337015986443
5,2,115,3.01569160997732,7,7,0,3,1.50693201646209,-1,0.0168023500591516
5,2,116,2.5556462585034,7,7,0,2,0.515363363549113,-1,0.698804726824164
5,2,117,2.62385487528345,7,7,0,2,0.809781819581985,-1,0.124869130551815
5,2,118,2.57451247165533,7,7,0,1,0.50265697017312,-1,0.102145940065384
5,2,119,2.25233560090703,7,6,-1,1,0.318553982302547,-1,0.0676888283342123
5,2,120,2.5643537414966,7,6,-1,1,0.527559144422412,-1,0.198905548080802
5,2,121,2.19718820861678,7,6,-1,2,0.419978830963373,-1,0.486183760687709
5,2,122,2.29732426303855,7,7,0,3,0.230060324072838,-1,0.0484974756836891
5,2,123,2.780589569161,7,7,0,3,0.186584869399667,-1,0.583126863464713
5,2,124,2.14639455782313,7,7,0,1,0.547635801136494,-1,0.160223798826337
5,3,1,3.76598639455782,11,11,0,2,0.799453841522336,-1,1.03449616208673
5,3,2,3.52507936507937,11,10,-1,2,1.14808705076575,-1,0.240754164755344
5,3,3,3.23337868480726,11,8,-3,2,0.778121296316385,-1,0.350090127438307
5,3,4,3.17823129251701,11,8,-3,3,0.700127771124244,-1,0.315813984721899
5,3,5,4.88054421768708,11,13,2,2,0.548106143251061,-1,0.488587623462081
5,3,6,3.5221768707483,11,10,-1,2,0.798776691779494,-1,0.439784407615662
5,3,7,3.65569160997732,11,9,-2,3,0.476350931450725,-1,0.0169377960264683
5,3,8,3.53233560090703,11,10,-1,3,0.551716839894652,-1,0.0842769257724285
5,3,9,3.70068027210884,11,9,-2,1,0.524460963904858,-1,0.786209873855114
5,3,10,3.80807256235828,11,10,-1,3,0.422480713576078,-1,0.774287976324558
5,3,11,4.16362811791383,11,11,0,3,0.397550366818905,-1,0.504791663959622
5,3,12,3.89659863945578,11,9,-2,2,0.790941782295704,-1,1.04152539744973
5,3,13,4.32761904761905,11,10,-1,2,0.942367458716035,-1,0.706799898296595
5,3,14,4.10702947845805,11,11,0,1,0.554941775277257,-1,1.50383454933763
5,3,15,4.09396825396825,11,10,-1,2,1.94148952700198,-1,0.72746910341084
5,3,16,5.4465306122449,11,12,1,3,1.18418928422034,-1,1.27589453198016
5,3,17,3.96770975056689,11,11,0,3,0.754715733230114,-1,0.965591883286834
5,3,18,4.26666666666667,11,12,1,1,1.69989803992212,-1,0.904328199103475
5,3,19,3.80226757369615,11,11,0,2,0.749555289745331,-1,1.1374591588974
5,3,20,5.04743764172336,11,14,3,2,0.570735953748226,-1,0.118056850507855
5,3,21,4.73687074829932,11,12,1,2,0.556624012067914,-1,0.272995600476861
5,3,22,4.64108843537415,11,12,1,1,1.53821405954659,-1,0.510225856676698
5,3,23,3.38285714285714,11,9,-2,3,0.957744155079126,-1,1.105558777228
5,3,24,4.67156462585034,11,12,1,2,0.282439531758428,-1,0.320106538012624
5,3,25,4.14331065759637,11,10,-1,1,0.619226235896349,-1,0.244841311126947
5,3,26,4.060589569161,11,11,0,1,0.883594568818808,-1,0.282783783972263
5,3,27,4.98648526077097,11,12,1,2,1.40899912081659,-1,0.257052555680275
5,3,28,3.59183673469388,11,10,-1,3,1.81832675077021,-1,0.347504736855626
5,3,29,3.76743764172336,11,10,-1,2,1.26561166532338,-1,0.15415389277041
5,3,30,4.85297052154195,11,13,2,2,1.53933190926909,-1,1.829236632213
5,3,31,4.09251700680272,11,10,-1,1,1.29359223693609,-1,0.0207963362336159
5,3,32,4.67301587301587,11,11,0,3,1.49649431370199,-1,0.399282893165946
5,3,33,4.8152380952381,11,14,3,3,1.47242572531104,-1,0.0158679559826851
5,3,34,3.67746031746032,11,10,-1,3,0.627691516652703,-1,0.0456678755581379
5,3,35,3.86031746031746,11,11,0,2,0.981349088251591,-1,0.177707809954882
5,3,36,4.32761904761905,11,11,0,3,1.13863199949265,-1,0.0812411420047283
5,3,37,4.7891156462585,11,12,1,1,0.621782375499606,-1,0.0886493325233459
5,3,38,6.16199546485261,11,16,5,1,1.54464131966233,-1,0.157260747626424
5,3,39,4.92553287981859,11,13,2,2,1.58512207865715,-1,0.0592655912041664
5,3,40,4.22312925170068,11,11,0,3,1.1965816244483,-1,0.756601002067327
5,3,41,4.04607709750567,11,10,-1,1,0.947880875319242,-1,0.536720229312778
5,3,42,5.25641723356009,11,13,2,2,0.73533652536571,-1,0.0919706076383591
5,3,43,5.44072562358277,11,13,2,3,0.895638383924961,-1,0.103716632351279
5,3,44,4.52789115646259,11,11,0,3,0.32491060718894,-1,5.39479396864772
5,3,45,4.10702947845805,11,11,0,3,0.585078513249755,-1,0.043054610490799
5,3,46,4.03301587301587,11,11,0,3,0.362817080691457,-1,0.127268435433507
5,3,47,4.15637188208617,11,11,0,2,1.05397716537118,-1,0.230252888053656
5,3,48,3.04471655328798,11,8,-3,2,1.02274248190224,-1,0.121062709018588
5,3,49,3.59038548752834,11,10,-1,1,0.352461852133274,-1,0.0457818396389484
5,3,50,3.66875283446712,11,10,-1,1,0.867800528183579,-1,0.146422328427434
5,3,51,4.49451247165533,11,12,1,3,1.01435388438404,-1,0.329299673438072
5,3,52,3.30448979591837,11,9,-2,2,0.669390227645636,-1,0.253231875598431
5,3,53,4.08235827664399,11,10,-1,2,0.794226936995983,-1,0.044995317235589
5,3,54,4.73251700680272,11,11,0,1,0.742992674931884,-1,0.0161472260951996
5,3,55,3.37850340136054,11,9,-2,2,0.433087544515729,-1,0.0671665295958519
5,3,56,3.5091156462585,11,10,-1,1,0.386563468724489,-1,0.0620207730680704
5,3,57,2.82993197278912,11,8,-3,1,0.641304969787598,-1,0.043223787099123
5,3,58,2.68480725623583,11,7,-4,2,1.5462087970227,-1,0.517675148323178
5,3,59,2.80816326530612,11,8,-3,1,1.21605062484741,-1,0.160679148510098
5,3,60,2.43954648526077,11,7,-4,2,0.473113993182778,-1,0.0656190887093544
5,3,61,4.20571428571429,11,11,0,2,1.13770889677107,-1,0.0383597072213888
