Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,2,2,2,1.891382795,0.664243562,0.099633908,1,1,3,4
1,1,1,1,1.29086216,1.774208231,0.099633908,1,1,3,4
1,2,1,1,2.876724217,0.21571068,0.07528778,1,0,3,4
1,2,1,3,1.180804155,0.285826434,0.099633908,1,0,3,4
1,2,1,1,2.574771864,0.295940283,0.119588515,1,0,3,4
1,1,1,2,1.11192925,1.403523948,0.143934643,1,1,3,4
1,2,2,3,0.928324809,0.587576961,0.143934643,1,1,3,4
1,2,2,3,0.991488418,0.296127569,0.113344234,1,1,3,4
1,2,2,3,0.936711011,0.275812839,0.113344234,1,1,3,4
1,2,2,1,0.917864095,0.335776674,0.086867154,1,1,3,4
1,2,1,1,1.119580904,0.310706001,0.086867154,1,0,3,4
1,2,2,2,1.393674132,0.362345955,0.10902136,1,1,3,4
1,2,2,2,1.145206669,0.225751463,0.10902136,1,1,3,4
1,1,1,3,4.981650619,0.928498369,0.3,1,1,2,5
1,1,1,3,0.792905062,0.263766111,0.3,1,1,2,5
1,1,1,4,0.730486658,0.203780964,0.255697168,1,1,2,5
1,1,1,4,0.641616398,0.246199472,0.255697168,1,1,2,5
1,1,1,4,0.520436113,0.276689755,0.214491089,1,1,2,5
1,1,1,4,0.517395714,0.256339469,0.214491089,1,1,2,5
1,1,1,4,0.739435575,0.276832448,0.176624988,1,1,2,5
1,2,2,4,0.903316418,0.642377018,0.176624988,1,1,2,5
1,2,2,4,0.726636674,0.263766342,0.142359439,1,1,2,5
1,1,1,4,0.890158128,0.295541743,0.142359439,1,1,2,5
1,1,1,4,0.728007032,0.282492812,0.111962849,1,1,2,5
1,2,2,3,1.019064176,0.610052214,0.111962849,1,1,2,5
1,2,2,2,2.070135744,0.421197314,0.085691244,1,1,2,5
1,1,1,2,0.84685855,0.364057914,0.085691244,1,1,2,5
1,1,1,3,1.851890894,0.531534092,0.063750516,1,1,2,5
1,1,1,1,2.056936306,0.534750312,0.063750516,1,1,2,5
1,2,1,1,1.182840587,0.303295744,0.046234272,1,0,2,5
1,2,1,1,1.136025855,0.257259645,0.063750516,1,0,2,5
1,2,1,1,1.26731093,0.27338755,0.076946226,1,0,2,5
1,2,2,1,0.642501213,0.361388325,0.09446247,1,1,2,5
1,2,2,1,1.751328154,0.3703288,0.09446247,1,1,2,5
1,2,2,1,1.423727242,0.293813283,0.070977745,1,1,2,5
1,2,1,1,1.351382297,0.336907559,0.070977745,1,0,2,5
1,1,1,3,1.199638194,0.655243999,0.090053162,1,1,2,5
1,1,1,3,0.89825792,0.206417293,0.090053162,1,1,2,5
1,2,1,1,2.06584144,0.272438805,0.067330886,1,0,2,5
1,1,2,1,0.93002432,0.395666406,0.090053162,1,0,2,5
1,2,2,2,2.601259869,0.737664692,0.108355814,1,1,2,5
1,1,1,2,1.296841156,0.588879368,0.108355814,1,1,2,5
1,1,1,2,1.202169499,1.041304972,0.082630089,1,1,2,5
1,2,1,1,1.508768576,1.191842986,0.082630089,1,0,2,5
1,2,2,1,2.181632471,0.52641149,0.104005036,1,1,2,5
1,2,2,2,1.558376395,0.39155792,0.104005036,1,1,2,5
1,1,1,1,1.701175444,0.305617027,0.078956546,1,1,2,5
1,1,1,1,1.569273265,0.370519278,0.078956546,1,1,2,5
1,1,1,1,1.871941721,0.358256879,0.05828062,1,1,2,5
1,1,1,2,0.755921067,0.404942141,0.05828062,1,1,2,5
1,1,1,2,1.362098042,0.363744962,0.042023644,1,1,2,5
1,1,1,1,1.530311362,0.34787483,0.042023644,1,1,2,5
1,1,1,1,1.81879942,0.226167882,0.030008575,1,1,2,5
1,2,1,1,1.510195565,0.271501358,0.030008575,1,0,2,5
1,1,2,1,0.523763168,0.390889817,0.038252028,1,0,2,5
1,1,2,1,0.499852064,0.398407001,0.04649548,1,0,2,5
1,1,2,1,0.732556138,0.350338128,0.057395586,1,0,2,5
1,1,1,1,0.58864966,0.437517756,0.070662465,1,1,2,5
1,1,1,2,0.52762637,0.490503964,0.070662465,1,1,2,5
1,2,2,2,0.79707619,0.364961182,0.3,1,1,1,6
1,2,1,4,1.099095412,0.383494393,0.3,1,0,1,6
1,2,2,4,0.95671899,0.32605861,0.344302832,1,1,1,6
1,2,2,4,0.629051261,0.268562123,0.344302832,1,1,1,6
1,2,2,4,0.750215458,0.415814409,0.297290258,1,1,1,6
1,2,2,4,1.226367363,0.409673043,0.297290258,1,1,1,6
1,2,2,4,0.727214093,0.313963266,0.253164671,1,1,1,6
1,1,1,4,0.650167784,0.576338751,0.253164671,1,1,1,6
1,2,2,4,0.933528889,0.287638827,0.212149696,1,1,1,6
1,1,1,4,0.641048941,0.343910261,0.212149696,1,1,1,6
1,2,2,4,0.629138028,0.3008407,0.174489727,1,1,1,6
1,2,2,4,0.699858944,0.2720542,0.174489727,1,1,1,6
1,2,2,4,1.12185124,0.293236078,0.140446145,1,1,1,6
1,2,2,4,0.933575126,0.303786285,0.140446145,1,1,1,6
1,1,1,4,0.673061416,0.326515843,0.110287326,1,1,1,6
1,1,2,4,1.029943843,0.364451349,0.110287326,1,0,1,6
1,1,1,4,0.649285449,0.511771722,0.136307067,1,1,1,6
1,1,1,4,1.047641686,0.36592403,0.136307067,1,1,1,6
1,1,2,1,1.803974413,0.342540596,0.106671707,1,0,1,6
1,1,1,3,1.313469096,0.70143931,0.136307067,1,1,1,6
1,1,1,2,1.581986963,0.381113402,0.136307067,1,1,1,6
1,2,2,3,1.147791332,0.428640668,0.106671707,1,1,1,6
1,1,1,3,1.672966562,0.309574205,0.106671707,1,1,1,6
1,1,1,2,2.053813599,0.324479605,0.081205628,1,1,1,6
1,1,1,2,1.155270197,0.677555102,0.081205628,1,1,1,6
1,1,2,2,1.846675385,0.589582726,0.060099071,1,0,1,6
1,1,1,2,1.634295633,0.496852349,0.081205628,1,1,1,6
1,1,1,2,1.130254113,0.41244386,0.081205628,1,1,1,6
1,1,2,2,1.560812087,0.329596037,0.060099071,1,0,1,6
1,1,2,1,1.305659745,0.661396842,0.081205628,1,0,1,6
1,1,1,2,1.239727863,0.470925539,0.0978894,1,1,1,6
1,1,1,1,1.568148169,0.337749577,0.0978894,1,1,1,6
1,1,1,1,1.441231778,0.261313327,0.073830051,1,1,1,6
1,2,2,1,0.76005669,0.298690925,0.073830051,1,1,1,6
1,1,1,1,1.243850254,0.282667496,0.054168835,1,1,1,6
1,1,2,2,0.635177844,1.329403209,0.054168835,1,0,1,6
1,2,2,2,0.942899096,0.456985228,0.3,1,1,1,7
1,1,1,4,0.627724998,0.429591573,0.3,1,1,1,7
1,2,1,4,0.948320595,0.286679591,0.255697168,1,0,1,7
1,2,2,4,1.024159229,0.469434016,0.3,1,1,1,7
1,1,1,4,0.608266734,0.332038014,0.3,1,1,1,7
1,2,2,4,0.902881882,0.337943452,0.255697168,1,1,1,7
1,1,1,4,0.609258558,0.473163833,0.255697168,1,1,1,7
1,1,1,4,0.770929912,0.387450683,0.214491089,1,1,1,7
1,1,2,3,1.920018407,0.452183059,0.214491089,1,0,1,7
1,1,1,4,1.021765165,0.389437802,0.252357189,1,1,1,7
1,2,2,4,0.898439604,0.269572145,0.252357189,1,1,1,7
1,1,1,4,0.68698901,0.339495543,0.211403502,1,1,1,7
1,1,1,4,0.658665251,0.28166482,0.211403502,1,1,1,7
1,1,1,4,1.018596657,0.400914397,0.17380964,1,1,1,7
1,1,1,4,0.669325548,0.291567179,0.17380964,1,1,1,7
1,2,2,4,0.788578581,0.212161905,0.139837235,1,1,1,7
1,1,1,4,0.791402037,0.296393986,0.139837235,1,1,1,7
1,1,1,4,0.936930171,0.291623331,0.109754635,1,1,1,7
1,1,1,4,0.869094254,0.337558241,0.109754635,1,1,1,7
1,1,2,3,1.311186316,0.282303456,0.083815584,1,0,1,7
1,1,1,1,0.764752404,0.380972736,0.109754635,1,1,1,7
1,1,2,2,0.425920137,0.280804916,0.109754635,1,0,1,7
1,1,1,3,1.322277461,0.729839073,0.135693686,1,1,1,7
1,1,1,3,0.931825886,0.222402703,0.135693686,1,1,1,7
1,1,1,2,1.057399752,0.311485979,0.106136985,1,1,1,7
1,2,2,2,2.104214291,0.25950024,0.106136985,1,1,1,7
1,1,1,1,1.318366913,0.337312077,0.080754,1,1,1,7
1,2,1,1,1.008174502,0.360567217,0.080754,1,0,1,7
1,2,1,1,1.030074514,0.365198578,0.101774767,1,0,1,7
1,1,2,1,0.091573023,0.391530228,0.122795533,1,0,1,7
1,2,1,2,2.451498749,1.041835642,0.147488498,1,0,1,7
1,1,1,3,1.045229738,0.251606727,0.175321553,1,1,1,7
1,1,1,2,2.972803981,0.19971311,0.175321553,1,1,1,7
1,1,1,1,1.195416796,0.381055751,0.14119123,1,1,1,7
1,1,1,3,1.352744222,0.499276526,0.14119123,1,1,1,7
