Subj_idx,Stimulus,Response,Confidence,RT_dec,Validity,CTOA,Cue_position
1,-1,-1,1,0.701115847,V,150,-1
1,1,1,0,1.951719046,I,250,1
1,1,1,0,0.611332893,I,450,1
1,-1,-1,1,0.731194019,V,850,-1
1,1,1,1,0.641173124,V,250,-1
1,-1,-1,0,0.851136923,I,250,-1
1,1,1,0,1.091529131,I,850,1
1,1,-1,0,2.251551151,I,100,1
1,1,1,0,1.251466036,V,100,1
1,1,1,1,1.061295033,I,100,-1
1,1,1,1,0.771414042,V,850,1
1,-1,-1,0,2.121820927,I,150,1
1,1,1,1,0.971462011,V,450,1
1,-1,-1,0,1.481542826,I,100,1
1,-1,-1,0,0.971333981,I,150,-1
1,1,1,1,0.691251993,V,150,1
1,1,1,1,0.741471052,I,150,-1
1,1,1,0,2.041809797,V,850,-1
1,-1,1,0,2.07188201,I,450,1
1,1,1,0,0.931336165,V,150,-1
1,-1,-1,1,1.061451912,I,850,-1
1,-1,-1,1,0.501225948,V,100,1
1,1,1,0,2.541349888,I,150,1
1,-1,-1,1,0.771112919,V,250,-1
1,1,1,0,2.351861,V,100,-1
1,-1,-1,0,0.851228952,V,100,-1
1,1,1,1,0.801258087,V,250,1
1,1,1,1,0.59118104,I,450,-1
1,1,1,1,0.621412039,I,850,-1
1,-1,1,0,0.751471996,V,250,1
1,-1,-1,0,0.721110821,V,850,1
1,-1,1,0,2.672080994,V,150,1
1,-1,1,0,0.771494865,V,450,1
1,-1,-1,1,0.851327896,I,450,-1
1,1,1,0,3.10216713,V,450,-1
1,-1,-1,0,0.791044951,I,100,-1
1,-1,-1,1,0.891274214,I,250,1
1,-1,-1,1,0.721232891,V,450,-1
1,-1,-1,0,0.881378889,V,150,-1
1,-1,-1,1,0.661247969,I,850,1
1,1,1,1,0.711800814,I,250,-1
1,-1,1,0,1.631677151,I,150,-1
1,1,1,1,0.721323013,V,850,1
1,-1,-1,1,0.731049061,I,250,1
1,1,1,0,2.612133026,V,100,-1
1,-1,1,0,0.731261015,V,450,1
1,1,1,1,0.711356878,V,100,1
1,1,1,1,0.711148024,V,150,-1
1,-1,-1,0,2.291915894,V,850,-1
1,-1,-1,1,1.131405115,I,100,-1
1,1,1,1,0.691288948,V,150,1
1,1,1,0,2.582180023,I,450,1
1,-1,1,1,0.901441097,V,250,1
1,1,1,1,1.000721932,I,100,1
1,-1,-1,0,1.161345005,I,100,1
1,1,-1,0,2.11190486,I,850,1
1,-1,-1,1,0.621103048,V,100,1
1,-1,-1,1,0.661033154,I,250,-1
1,-1,-1,0,0.91128993,V,450,-1
1,1,1,0,1.891644001,I,150,1
1,1,-1,1,1.901692152,I,100,-1
1,1,1,0,1.291571856,I,450,-1
1,-1,1,1,0.901639938,I,450,-1
1,-1,1,0,2.011903048,I,150,1
1,-1,-1,1,1.051230907,V,100,-1
1,-1,-1,1,0.911263943,V,250,-1
1,1,-1,0,2.871880055,V,250,-1
1,1,1,0,1.111479998,V,450,-1
1,-1,-1,0,0.921349049,V,150,-1
1,-1,-1,0,1.911674976,I,450,1
1,1,-1,1,1.151242018,V,850,-1
1,-1,-1,0,1.351550818,I,850,1
1,1,-1,0,1.061347961,I,250,1
1,-1,-1,1,0.87146616,V,150,1
1,1,1,1,0.771517038,I,250,-1
1,-1,-1,1,0.981244087,I,850,-1
1,1,1,1,0.681326866,I,150,-1
1,1,1,1,0.660852194,V,250,1
1,1,1,1,0.511336088,V,450,1
1,-1,1,0,3.872592926,V,850,1
1,1,1,1,0.74122715,I,850,-1
1,-1,-1,0,0.891286135,V,150,-1
1,1,1,1,0.871389866,I,450,-1
1,1,-1,0,2.932024002,I,100,1
1,-1,-1,1,0.831217051,V,100,1
1,-1,-1,0,1.271367073,I,100,-1
1,1,1,0,1.1315341,V,850,-1
1,-1,-1,1,0.721075058,V,250,-1
1,1,1,0,1.521614075,I,850,1
1,-1,-1,1,0.821375132,I,250,1
1,-1,-1,0,2.902134895,V,850,1
1,-1,-1,0,0.781162977,I,150,-1
1,-1,-1,1,0.941407204,I,100,1
1,1,1,0,1.031437159,V,250,-1
1,-1,-1,1,0.611124992,V,150,1
1,1,1,1,0.821393013,I,450,1
1,-1,-1,0,0.701212883,I,450,-1
1,1,-1,0,1.061457872,V,850,1
1,-1,-1,0,0.971365929,V,250,1
1,1,-1,0,1.071303845,I,250,-1
1,-1,-1,1,1.151597977,V,450,-1
1,1,1,1,0.601232052,V,100,1
1,1,1,1,0.511137962,I,150,-1
1,1,1,0,1.111488104,I,250,1
1,-1,1,0,2.231858015,I,450,1
1,1,1,0,1.33157897,V,150,1
1,1,1,0,1.031149864,I,150,1
1,1,1,0,0.651400089,V,150,-1
1,-1,-1,1,0.721191883,V,450,1
1,-1,-1,1,0.631040812,I,850,-1
1,-1,-1,1,0.961311817,V,850,-1
1,-1,-1,1,1.321444988,I,150,1
1,-1,-1,1,0.731221914,I,850,1
1,1,-1,0,2.111730099,V,250,1
1,1,1,0,0.981298924,I,100,-1
1,1,1,0,2.152060986,V,450,-1
1,1,1,0,0.841393948,V,100,-1
1,1,1,0,0.981541872,V,450,1
1,1,1,0,0.961229086,I,850,-1
1,-1,1,0,1.151653051,V,100,-1
1,-1,-1,0,1.071227074,I,250,-1
1,1,1,0,1.001442194,V,150,1
1,1,1,0,1.261487007,V,100,-1
1,-1,1,0,1.011620045,V,450,1
1,1,1,0,0.97151494,V,150,-1
1,-1,-1,0,2.522078991,V,100,-1
1,-1,1,1,0.901469946,I,100,-1
1,-1,-1,1,0.681119919,I,250,1
1,-1,-1,1,0.721122026,V,850,1
1,1,1,0,2.061974049,I,150,1
1,1,1,0,0.931400061,V,250,-1
1,1,1,1,0.811428785,V,850,1
1,-1,-1,1,1.371584892,V,450,-1
1,-1,-1,1,0.731289864,V,150,-1
1,-1,-1,1,0.671175003,I,150,1
1,1,1,0,1.42171216,V,450,1
1,1,-1,0,1.101473093,I,450,1
1,1,1,1,0.671322107,I,100,-1
