Subj_idx,Stimulus,Response,Confidence,RT_dec,Coherence,Accuracy
2,1,1,5.070815244,0.012921048,0.61,1
2,2,2,1.991343024,0.077121599,0.58,1
2,1,1,4.151119925,0.012952579,0.58,1
2,2,1,2.321196338,1.981357972,0.55,0
2,2,2,5.0512078,1.491499,0.58,1
2,1,1,2.034544073,1.869491347,0.58,1
2,1,1,3.474923472,1.563625329,0.55,1
2,1,1,4.076092897,2.809681343,0.55,1
2,1,1,2.587525638,4.368594413,0.52,1
2,2,2,3.032670935,1.618637405,0.52,1
2,1,1,3.149718371,4.052607588,0.5,1
2,1,2,3.951218923,1.359743264,0.5,0
2,1,2,2.879459426,2.14782308,0.53,0
2,2,2,4.678468794,0.713608622,0.56,1
2,1,1,2.798208548,1.167336979,0.56,1
2,2,2,4.145884968,1.232294046,0.53,1
2,1,1,4.274316049,2.988518061,0.53,1
2,1,1,3.340899121,3.189799218,0.5,1
2,1,1,4.763204278,1.711460457,0.5,1
2,2,2,2.402713381,2.204779652,0.5,1
2,1,2,2.741577959,3.793517157,0.5,0
2,2,2,5.242585775,0.486570329,0.53,1
2,1,1,4.42454708,1.189318321,0.53,1
2,2,2,4.358841729,1.253601412,0.5,1
2,2,1,2.642447291,2.422453511,0.5,0
2,2,2,3.17750538,3.304372477,0.53,1
2,1,1,4.221053281,2.740557862,0.53,1
2,2,1,1.722429118,2.576682401,0.5,0
2,2,2,3.106600105,3.719080542,0.53,1
2,1,2,3.696268643,2.701470234,0.53,0
2,1,1,2.828937964,3.295150741,0.56,1
2,1,2,3.558687046,3.401758325,0.56,0
2,2,2,4.62401135,0.489421762,0.59,1
2,1,1,3.906893942,0.860082978,0.59,1
2,2,2,4.812032799,0.815634538,0.56,1
2,1,1,2.813651558,2.386289479,0.56,1
2,1,1,4.487121675,2.629373924,0.53,1
2,1,2,4.255225847,0.913498691,0.53,0
2,2,2,2.960066048,2.54975807,0.56,1
2,2,1,2.885723637,2.952686701,0.56,0
2,1,1,5.170097787,0.664980629,0.59,1
2,1,1,4.57442436,1.144140165,0.59,1
2,2,2,2.81422828,3.354758181,0.56,1
2,1,1,3.612314612,1.336277699,0.56,1
2,1,1,4.365771496,1.074274476,0.53,1
2,1,1,4.069541597,1.305183923,0.53,1
2,1,2,4.83285186,1.252772483,0.5,0
2,1,1,2.80648667,3.930436312,0.53,1
2,2,1,3.30083638,1.486114477,0.53,0
2,1,1,4.315678358,0.86642141,0.56,1
2,2,2,3.001887719,1.574253933,0.56,1
2,2,2,4.706766948,0.923576249,0.53,1
2,2,2,2.527707421,2.504467548,0.53,1
2,1,1,3.181407304,0.764150343,0.5,1
2,2,2,3.835103985,1.106434749,0.5,1
2,1,1,1.8199526,3.337972312,0.5,1
2,2,2,2.732822015,1.887698802,0.5,1
2,2,1,4.332207886,1.595873872,0.5,0
2,2,2,5.202740769,0.295148122,0.53,1
2,2,2,3.916411579,1.885812348,0.53,1
2,2,1,2.640456715,1.489657589,0.5,0
2,1,1,4.331878596,1.413239631,0.53,1
2,1,2,4.749820518,0.418790847,0.53,0
2,2,2,4.138197542,2.681316215,0.56,1
2,2,1,2.097872761,1.936519359,0.56,0
2,2,2,3.127397341,1.473402329,0.59,1
2,2,2,5.134020735,0.495569934,0.59,1
2,1,1,4.321107411,1.204568843,0.56,1
2,2,1,2.034578268,2.873167054,0.56,0
2,1,1,4.060630096,0.579883455,0.59,1
2,1,1,4.059890616,0.920748198,0.59,1
2,2,2,3.18973923,0.535368128,0.56,1
2,2,2,3.905857817,2.405361239,0.56,1
2,2,1,4.579623177,1.337993181,0.53,0
2,1,1,2.233683238,4.020277814,0.56,1
2,1,2,1.83192728,3.689451166,0.56,0
2,2,2,2.617410249,1.165450632,0.59,1
2,2,2,4.248263037,1.706748948,0.59,1
2,2,2,4.616214492,2.837291942,0.56,1
2,2,2,3.774171027,0.698707983,0.56,1
2,2,2,3.733558065,1.088647305,0.53,1
2,2,1,4.57813175,0.80501388,0.53,0
2,2,2,3.855816225,0.712184296,0.56,1
2,2,2,2.783599155,2.42490729,0.56,1
2,1,1,4.854407643,0.522243867,0.53,1
2,1,2,4.345069855,0.968646098,0.53,0
2,2,2,3.557759911,1.200970662,0.56,1
2,2,1,2.822765557,1.432588745,0.56,0
2,1,1,5.335614466,1.626622398,0.59,1
2,2,2,4.323199241,0.808943145,0.59,1
2,1,1,4.112146439,0.837115457,0.56,1
2,1,1,2.603257573,2.753351149,0.56,1
2,1,2,4.633522138,1.031024764,0.53,0
2,2,2,3.903512191,0.787286331,0.56,1
2,2,2,4.14535636,1.185076698,0.56,1
2,2,2,1.724272936,4.919367659,0.53,1
2,2,1,4.264757119,1.71118678,0.53,0
2,2,2,4.167319998,3.04973816,0.56,1
2,2,2,4.638134295,0.610734562,0.56,1
2,1,2,2.358446805,4.283480875,0.53,0
2,2,2,4.753913229,0.978635298,0.56,1
2,1,1,4.346417604,1.235736957,0.56,1
2,1,1,4.865301962,0.83106815,0.53,1
2,2,1,4.453123149,2.386055461,0.53,0
2,2,2,2.638626636,1.222837644,0.56,1
2,2,2,4.746342678,0.864696671,0.56,1
2,2,1,4.339427578,1.115522483,0.53,0
2,1,1,5.210133123,1.213844995,0.56,1
2,2,2,4.480476765,1.560395625,0.56,1
2,2,2,3.416132234,2.447796167,0.53,1
2,1,1,3.634448675,0.103433458,0.53,1
2,2,2,2.703563739,1.341620897,0.5,1
2,1,1,4.265188726,2.045659435,0.5,1
2,2,1,4.155420204,2.010591613,0.5,0
2,2,2,4.003561604,1.716367838,0.53,1
2,2,2,4.708940043,0.625635775,0.53,1
2,1,2,3.698484328,1.068309446,0.5,0
