Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SOA,Accuracy,Training
1,1,1,3,0.9331,1.0532,66.7,1,0
1,2,2,4,0.6799,0.2001,66.7,1,0
1,2,2,4,0.4533,0.2934,133.3,1,0
1,1,1,4,0.68,0.2801,133.3,1,0
1,1,1,4,0.5866,0.4667,133.3,1,0
1,2,2,2,2.5859,0.9865,16.7,1,0
1,1,1,4,0.5466,0.2534,133.3,1,0
1,1,1,3,0.5066,0.9065,66.7,1,0
1,2,2,4,0.6932,0.2667,66.7,1,0
1,2,1,3,2.4526,1.3464,33.3,0,0
1,2,2,2,1.9061,0.3733,33.3,1,0
1,2,2,4,0.5333,0.3201,133.3,1,0
1,1,1,2,1.3597,1.0531,16.7,1,0
1,1,1,4,0.6399,0.4267,66.7,1,0
1,1,1,2,1.8661,0.8665,33.3,1,0
1,1,1,2,2.6392,0.7332,16.7,1,0
1,2,2,2,1.7862,1.0131,33.3,1,0
1,2,2,2,1.9328,3.4123,16.7,1,0
1,2,2,3,0.4533,0.2534,66.7,1,0
1,2,2,3,1.0664,0.2401,33.3,1,0
1,2,2,4,1.0531,0.2534,66.7,1,0
1,1,2,3,1.7862,0.4667,33.3,0,0
1,1,2,2,2.4793,2.506,16.7,0,0
1,1,1,4,0.48,0.32,133.3,1,0
1,1,2,1,2.9724,0.4,16.7,0,0
1,2,2,4,0.5734,0.6799,133.3,1,0
1,1,1,2,1.6529,0.56,33.3,1,0
1,2,2,1,2.5592,0.6133,16.7,1,0
1,2,2,1,2.3593,0.3067,16.7,1,0
1,1,1,4,0.5199,0.3467,133.3,1,0
1,2,2,1,2.2394,0.32,33.3,1,0
1,1,1,1,2.1994,0.3201,16.7,1,0
1,1,2,1,2.2261,0.3199,16.7,0,0
1,2,2,4,0.7732,0.32,133.3,1,0
1,2,2,2,1.3063,0.6133,16.7,1,0
1,1,2,2,2.7858,0.52,16.7,0,0
1,1,2,1,2.5459,0.3734,16.7,0,0
1,1,1,1,6.6645,1.4663,16.7,1,0
1,1,2,2,1.333,0.3201,33.3,0,0
1,2,2,2,0.9197,0.7066,66.7,1,0
1,2,2,4,0.9465,0.2534,133.3,1,0
1,2,2,4,0.6266,0.1868,133.3,1,0
1,2,2,3,0.5333,0.72,66.7,1,0
1,2,2,4,0.5333,0.3067,133.3,1,0
1,2,2,4,0.3733,0.2668,133.3,1,0
1,1,2,4,1.3996,0.32,33.3,0,0
1,1,1,3,2.4926,0.5199,66.7,1,0
1,2,2,3,1.0531,0.6133,33.3,1,0
1,1,2,3,1.1064,0.2534,33.3,0,0
1,1,1,4,0.5333,0.2268,133.3,1,0
1,1,1,3,1.0264,0.6133,66.7,1,0
1,2,2,4,0.6399,0.3334,66.7,1,0
1,2,2,4,0.8532,0.9065,33.3,1,0
1,2,2,4,0.4933,0.3334,133.3,1,0
1,2,2,4,0.4266,0.3334,66.7,1,0
1,1,1,3,1.8795,0.3334,33.3,1,0
1,1,1,4,0.9598,0.2134,66.7,1,0
1,1,1,3,1.0265,0.36,33.3,1,0
1,1,1,3,0.6532,0.7066,66.7,1,0
1,2,2,4,0.48,0.3067,133.3,1,0
1,1,1,3,0.8798,0.3734,66.7,1,0
1,2,2,2,1.6929,0.3067,33.3,1,0
1,2,2,4,0.7732,0.4533,66.7,1,0
1,1,2,2,1.1864,0.2401,16.7,0,0
1,1,2,2,1.9861,0.7199,16.7,0,0
1,2,2,2,2.386,0.3334,33.3,1,0
1,1,1,4,0.6799,0.5866,66.7,1,0
1,1,2,3,2.2393,0.3335,16.7,0,0
1,1,2,2,0.9998,0.8132,33.3,0,0
1,1,2,1,1.7995,0.9065,16.7,0,0
1,2,2,3,1.1731,0.2934,66.7,1,0
1,2,2,3,0.7998,0.6798,66.7,1,0
1,2,2,3,0.9598,1.0265,33.3,1,0
1,2,2,4,0.4533,0.28,133.3,1,0
1,2,2,4,0.6666,0.1734,66.7,1,0
1,2,2,4,0.5066,0.2801,66.7,1,0
1,2,2,4,0.48,0.2934,66.7,1,0
1,1,1,4,0.5733,0.2534,133.3,1,0
1,1,2,3,1.3596,0.4,33.3,0,0
1,1,1,4,0.6931,0.2267,133.3,1,0
1,2,2,2,2.9325,0.4133,16.7,1,0
1,1,1,4,0.5732,0.2134,66.7,1,0
1,1,1,4,0.4,0.2534,133.3,1,0
1,1,1,3,1.8928,0.3467,16.7,1,0
1,2,1,3,1.0264,0.2801,16.7,0,0
1,2,2,1,2.6392,0.3334,16.7,1,0
1,2,2,4,0.9331,0.2001,133.3,1,0
1,2,2,4,0.36,0.3734,133.3,1,0
1,2,2,1,1.9461,0.56,16.7,1,0
1,1,2,3,1.8262,0.9865,33.3,0,0
1,1,1,2,1.5729,0.9865,66.7,1,0
1,1,2,3,1.7062,0.9473,33.3,0,0
1,2,2,1,1.7995,1.4262,16.7,1,0
1,2,2,3,0.9331,0.7332,33.3,1,0
1,1,1,4,0.6266,0.4267,133.3,1,0
1,2,2,4,0.4,0.4132,133.3,1,0
1,2,2,4,0.6532,0.4667,33.3,1,0
1,2,2,4,0.7199,0.6266,66.7,1,0
1,1,2,3,0.7065,0.2799,33.3,0,0
1,2,2,2,1.3863,0.2134,33.3,1,0
1,1,2,2,2.6925,0.5333,16.7,0,0
1,1,1,4,0.5199,0.2534,133.3,1,0
1,2,2,4,0.4666,0.2934,133.3,1,0
1,1,2,2,2.3193,1.0131,16.7,0,0
1,1,2,1,0.5333,0.8798,66.7,0,0
1,1,1,4,0.9198,0.7466,133.3,1,0
1,2,2,4,0.7199,0.5067,66.7,1,0
1,2,2,4,0.4799,0.2934,133.3,1,0
1,1,1,3,2.0526,0.4665,33.3,1,0
1,2,1,2,1.7995,0.7466,16.7,0,0
1,2,2,2,0.8265,1.3997,33.3,1,0
1,2,2,3,0.6666,0.3467,66.7,1,0
1,2,2,3,1.8128,0.3467,16.7,1,0
1,1,1,2,1.3463,0.4,33.3,1,0
1,2,2,2,1.3463,1.5063,16.7,1,0
1,1,1,1,2.7325,1.9861,33.3,1,0
1,1,1,3,0.7199,0.9998,66.7,1,0
1,1,1,3,0.7332,0.6933,66.7,1,0
1,1,1,3,0.6799,0.4933,33.3,1,0
1,2,2,4,0.44,0.2401,133.3,1,0
1,1,1,3,1.333,0.3067,66.7,1,0
1,2,2,3,0.7865,0.28,66.7,1,0
1,2,2,1,1.8529,0.8399,16.7,1,0
1,1,1,4,0.5199,0.2133,133.3,1,0
1,1,1,4,0.5333,0.52,133.3,1,0
1,2,2,4,2.1994,0.3867,133.3,1,0
1,1,1,3,1.0664,0.3867,33.3,1,0
1,2,2,4,0.48,0.2667,133.3,1,0
1,1,1,1,1.0264,0.8132,16.7,1,0
1,2,2,2,0.7732,0.36,33.3,1,0
1,1,1,1,1.5596,1.053,16.7,1,0
1,2,1,1,1.0264,0.64,16.7,0,0
1,2,2,1,1.0264,0.3067,16.7,1,0
1,1,1,4,0.5733,0.6,66.7,1,0
1,1,1,3,0.8398,0.44,33.3,1,0
1,1,1,4,0.4267,0.2,133.3,1,0
1,1,1,3,0.9198,0.2801,16.7,1,0
1,2,2,1,1.413,0.7066,16.7,1,0
1,1,1,2,0.9998,0.4534,33.3,1,0
1,1,1,2,1.0398,0.6666,66.7,1,0
1,2,1,2,1.9595,0.4933,33.3,0,0
1,1,1,2,1.4263,2.0795,66.7,1,0
1,2,2,4,0.4266,0.8665,133.3,1,0
1,1,1,3,0.6932,0.1868,66.7,1,0
1,1,1,4,0.4533,0.2801,133.3,1,0
1,2,2,4,0.5333,0.3734,133.3,1,0
1,2,2,4,0.4266,0.2934,133.3,1,0
1,1,1,3,0.7999,0.16,66.7,1,0
1,2,2,4,0.4533,0.1868,133.3,1,0
1,1,1,3,0.7465,0.2401,66.7,1,0
1,1,1,1,2.1861,0.48,16.7,1,0
1,1,2,2,1.1331,0.3067,16.7,0,0
1,2,2,2,3.8255,0.4267,66.7,1,0
1,2,2,2,1.1331,0.3066,16.7,1,0
1,2,2,4,0.6532,1.2931,133.3,1,0
1,1,2,1,1.6795,0.2934,16.7,0,0
1,2,2,4,0.4533,0.1868,66.7,1,0
1,1,2,1,1.4263,0.2667,16.7,0,0
1,2,2,1,1.1731,0.6133,33.3,1,0
1,1,2,2,0.8265,0.7998,66.7,0,0
1,2,2,3,0.5733,0.3467,33.3,1,0
1,1,2,2,4.2387,0.5733,16.7,0,0
1,2,1,1,1.3863,1.7596,16.7,0,0
1,2,2,4,0.52,0.1068,133.3,1,0
1,1,1,1,1.6796,0.7732,33.3,1,0
1,1,1,1,2.4659,0.3199,33.3,1,0
1,1,1,4,0.5866,0.1068,133.3,1,0
1,2,2,3,0.9732,0.7466,66.7,1,0
1,2,2,1,1.4663,0.3866,16.7,1,0
1,1,2,1,0.9465,0.3734,16.7,0,0
1,2,2,2,1.6662,0.64,33.3,1,0
1,2,2,3,0.5999,0.2401,66.7,1,0
1,1,1,3,1.2397,0.2934,66.7,1,0
1,1,1,4,0.5199,0.2667,133.3,1,0
1,2,2,2,0.7865,0.3067,33.3,1,0
1,1,1,2,0.9464,0.3066,33.3,1,0
1,2,2,4,0.4666,0.2134,133.3,1,0
1,2,2,4,0.4133,0.2801,133.3,1,0
1,2,2,3,0.6799,0.6665,66.7,1,0
1,2,2,2,0.8665,0.2934,16.7,1,0
1,1,1,4,0.5866,0.2801,133.3,1,0
