Subj_idx,Block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
2,1,10,1.5,0.53721,1.2322,2,1.292,1,2.4134
2,1,11,1.5,0.47987,1.2155,3,2.2038,1,2.9429
2,1,12,1.5,0.45462,1.6846,3,1.0305,0,1.0771
2,1,13,1.5,0.71065,0.96511,3,1.3037,0,0.68366
2,1,14,1.5,0.33423,1.8537,3,1.3067,0,3.873
2,1,15,1.5,0.38468,1.2934,3,0.98729,1,1.9478
2,1,16,1.5,0.42951,1.7519,3,1.3045,0,0.85906
2,1,17,1.5,0.47932,1.5384,3,5.4084,0,2.6182
2,1,18,1.5,0.43551,1.6958,3,0.97762,1,1.5789
2,1,19,1.5,0.51902,1.2541,3,1.0204,0,0.90929
2,1,20,1.5,0.81867,1.3277,3,1.0403,0,0.66155
2,1,21,1.5,0.3775,1.8242,3,0.98636,1,1.0949
2,1,22,1.5,0.3914,1.7013,3,1.0803,0,1.7396
2,1,23,1.5,0.39094,2.2226,2,1.7572,1,1.1356
2,1,24,1.5,0.28263,1.7132,3,1.0874,1,0.69602
2,1,25,1.5,0.30825,1.6734,3,0.86114,0,2.654
2,1,26,1.5,0.34034,1.0737,3,0.77401,0,0.58884
2,1,27,1.5,0.28232,1.5519,3,0.81763,0,0.65702
2,1,28,1.5,0.44297,1.6398,3,0.72225,1,0.82413
2,1,29,1.5,0.47983,1.6177,3,1.1053,0,0.94799
2,1,30,1.5,0.41642,2.1048,3,0.75649,1,1.1127
2,1,31,1.5,0.48742,1.2223,3,0.48559,0,1.8712
2,1,32,1.5,0.38341,1.5891,3,0.97138,1,0.94805
2,1,33,1.5,0.52543,1.4744,3,0.82407,1,0.92671
2,1,34,1.5,0.33992,1.7461,3,0.79983,1,1.0176
2,1,35,1.5,0.5055,1.4703,3,2.6202,0,1.6411
2,1,36,1.5,0.34053,1.7593,3,1.1876,1,0.87211
2,1,37,1.5,0.37207,1.5578,3,1.1483,1,0.95422
2,1,38,1.5,0.32089,1.8196,3,1.0441,1,1.8406
2,1,39,1.5,0.41065,1.4123,3,1.099,0,1.7546
2,1,40,1.5,0.3837,1.3929,3,0.9517,1,0.64404
2,1,41,1.5,0.62156,1.8695,3,0.59283,1,1.7042
2,1,42,1.5,0.53851,1.1702,3,0.92049,0,2.0352
2,1,43,1.5,0.52503,1.3093,3,1.2883,1,2.2717
2,1,44,1.5,0.27614,1.9998,2,3.7027,0,1.7162
2,1,45,1.5,0.69824,1.5497,3,0.45355,0,1.1098
2,1,46,1.5,0.36005,1.6368,3,0.69445,1,1.5177
2,1,47,1.5,0.37852,1.4522,3,0.90659,1,0.81196
2,1,48,1.5,0.50615,1.873,3,0.8091,0,1.1403
2,1,49,1.5,0.31499,1.7637,2,0.77609,1,0.62572
2,1,50,1.5,0.41767,1.6145,3,0.95213,1,0.60674
2,1,51,1.5,0.37204,1.4497,3,0.87811,1,1.1672
2,1,52,1.5,0.44144,1.3363,3,0.90673,0,1.7757
2,1,53,1.5,0.29559,1.6057,3,0.85967,1,0.80315
2,1,54,1.5,0.3591,1.5634,3,0.72555,1,1.0653
2,1,55,1.5,0.44319,2.1512,3,1.4276,0,1.8272
2,1,56,1.5,0.42347,0.85792,3,0.82513,0,0.52725
2,1,57,1.5,0.36005,1.3016,3,0.80689,1,0.71235
2,1,58,1.5,0.31492,1.667,3,0.82876,1,1.713
2,1,59,1.5,0.29025,1.8972,3,0.86171,1,1.3762
2,1,60,1.5,0.25053,1.9294,3,0.72712,1,1.1922
3,1,1,1.5,1.4522,1.5536,3,2.2074,0,1.822
3,1,2,1.5,1.5411,1.7939,3,3.2011,1,1.4666
3,1,3,1.5,2.2782,1.0723,2,4.5983,0,1.1352
3,1,4,1.5,1.4233,1.4193,3,1.2315,1,0.35252
3,1,5,1.5,1.6996,1.5288,3,1.599,0,0.94007
3,1,6,1.5,2.5415,1.0812,3,1.7663,0,1.1779
3,1,7,1.5,1.8119,1.2212,3,2.4207,0,1.0051
3,1,8,1.5,0.65387,1.5313,3,1.5897,1,0.47147
3,1,9,1.5,1.2573,1.4684,3,1.4686,1,1.0937
3,1,10,1.5,0.55849,1.4098,2,2.789,0,1.5559
3,1,11,1.5,1.2846,1.4624,3,1.2994,0,0.4915
3,1,12,1.5,0.4547,1.2818,3,1.1649,1,0.6282
3,1,13,1.5,0.80646,1.533,3,0.70424,1,1.6106
3,1,14,1.5,0.66579,1.5754,2,2.0366,1,0.25638
3,1,15,1.5,1.0268,1.0265,2,1.4609,0,0.57674
3,1,16,1.5,0.56788,1.5144,2,1.3885,0,0.67227
3,1,17,1.5,0.85019,1.4036,3,1.1947,0,3.7664
3,1,18,1.5,0.90075,1.7375,2,1.0444,0,1.3793
3,1,19,1.5,0.6204,1.5157,3,3.1785,1,1.4853
3,1,20,1.5,0.46726,1.4054,3,1.4473,1,0.23928
3,1,21,1.5,0.55728,1.9707,2,1.6568,1,1.6596
3,1,22,1.5,1.4002,1.5247,3,1.1984,1,0.30342
3,1,23,1.5,1.49,1.9048,3,0.50697,0,1.1887
3,1,24,1.5,0.74229,1.6216,3,1.3081,1,0.4007
3,1,25,1.5,0.5188,1.9334,3,1.3397,1,0.37236
3,1,26,1.5,0.70915,1.4603,3,1.3258,0,0.31352
3,1,27,1.5,0.5575,2.0215,2,1.695,1,0.5019
3,1,28,1.5,0.46176,1.8046,2,0.75705,0,2.513
3,1,29,1.5,0.6189,1.1177,3,1.2432,1,0.26377
3,1,30,1.5,1.528,1.6977,3,0.63845,1,0.96105
3,1,31,1.5,0.47394,1.4207,3,1.046,1,0.37686
3,1,32,1.5,0.70327,0.84607,2,1.3647,0,1.465
3,1,33,1.5,0.37268,1.4239,3,0.49916,1,1.8311
3,1,34,1.5,0.56311,1.8068,3,1.9592,0,3.3612
3,1,35,1.5,0.36613,1.3563,3,1.1858,1,0.3311
3,1,36,1.5,0.0082182,1.3192,3,0.85808,0,1.0881
