Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Session,Gender,Age,Training
1,1,1,-0.226581216144,2.28261653437,0.032,1,male,21,0
1,2,2,1,2.18225280958,0.128,1,male,21,0
1,1,1,0.547600518807,2.23263918296,0.256,1,male,21,0
1,2,2,1,2.21591098655,0.256,1,male,21,0
1,2,2,1,2.11589982266,0.256,1,male,21,0
1,2,1,-0.593774319066,3.97414564133,0.032,1,male,21,0
1,1,2,-0.656275272755,2.84941800184,0.016,1,male,21,0
1,2,2,1,2.09947735013,0.256,1,male,21,0
1,1,1,-0.835965514611,5.8489939022,0.032,1,male,21,0
1,2,1,-0.773464560922,3.64080557117,0.016,1,male,21,0
1,1,1,1,2.07446702032,0.256,1,male,21,0
1,1,1,-0.617212176699,2.3659088051,0.032,1,male,21,0
1,2,2,0.904753185321,2.04929211932,0.128,1,male,21,0
1,1,1,1,1.94923026878,0.256,1,male,21,0
