Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
1,2,2,63,0.901,2.1139,0.36,2
1,2,NaN,NaN,NaN,NaN,0.21,1
1,2,NaN,NaN,NaN,NaN,0.21,1
1,1,1,25,1.851,1.4975,0.21,1
1,1,NaN,NaN,NaN,NaN,0.21,1
1,2,2,71,1.701,1.3309,0.36,2
1,1,NaN,NaN,NaN,NaN,0.31,2
1,2,2,62,1.101,2.1806,0.21,1
1,1,1,62,2.101,2.0971,0.36,2
1,2,2,74,1.551,1.1481,0.16,1
1,2,2,90,1.918,1.0815,0.16,1
1,1,NaN,NaN,NaN,NaN,0.11,1
1,2,1,12,1.051,2.8476,0.36,2
1,2,1,12,4.2,2.1645,0.11,1
1,2,2,60,1.352,3.4303,0.41,2
1,2,2,62,1.001,0.83112,0.16,1
1,2,2,80,1.651,1.2478,0.16,1
1,2,2,22,1.001,0.91488,0.11,1
1,1,1,88,2.351,1.6977,0.41,2
1,1,NaN,NaN,NaN,NaN,0.11,1
1,1,1,74,0.951,1.1476,0.36,2
1,1,NaN,NaN,NaN,NaN,0.11,1
1,2,2,86,1.801,1.9144,0.36,2
1,2,1,18,2.201,2.9472,0.16,1
1,2,NaN,NaN,NaN,NaN,0.16,3
1,2,2,75,1.258,1.1975,0.16,3
1,1,NaN,NaN,NaN,NaN,0.16,3
1,2,2,54,2.658,1.3978,0.16,3
1,1,2,25,2.266,1.298,0.11,3
1,1,1,38,2.224,2.1972,0.16,3
1,1,1,4,1.342,1.4981,0.16,3
1,1,NaN,NaN,NaN,NaN,0.11,3
1,2,1,33,1.558,1.1481,0.11,3
1,2,2,69,1.575,1.0814,0.16,3
1,2,2,59,3.074,2.6972,0.16,3
1,2,2,73,3.507,1.1812,0.11,3
1,1,NaN,NaN,NaN,NaN,0.11,3
1,1,1,57,2.149,1.5474,0.11,3
1,2,1,6,1.008,1.5979,0.06,3
1,1,1,72,1.008,1.8808,0.11,3
1,1,2,61,3.391,2.7302,0.11,3
1,1,2,53,1.158,1.8478,0.16,3
1,2,2,49,3.907,1.7648,0.21,3
1,1,1,26,2.558,1.381,0.21,3
1,2,2,37,6.214,2.231,0.16,3
1,2,2,83,1.308,2.2141,0.16,3
1,2,NaN,NaN,NaN,NaN,0.11,3
1,1,NaN,NaN,NaN,NaN,0.11,3
1,2,2,38,1.258,1.8309,0.11,3
1,1,2,43,2.149,2.2471,0.11,3
1,2,2,63,1.258,1.7475,0.16,3
1,2,2,45,1.308,1.2812,0.16,3
1,1,2,88,1.141,1.5976,0.11,3
1,2,2,84,1.258,1.2641,0.16,3
1,2,2,61,0.999,1.1141,0.16,3
1,2,1,13,1.158,1.0316,0.11,3
1,1,NaN,NaN,NaN,NaN,0.16,3
1,1,1,40,2.515,1.5814,0.16,3
1,1,1,41,1.858,1.5144,0.16,3
1,1,1,59,2.608,1.9471,0.11,3
2,1,1,91,2.498,2.0258,0.36,2
2,1,1,98,3.1,1.8614,0.36,1
2,2,1,27,4.45,2.1283,0.36,2
2,2,2,94,6.199,1.8466,0.36,1
2,2,1,25,1.75,2.0969,0.41,2
2,2,2,11,4.483,2.5137,0.46,2
2,1,2,96,2.25,1.8468,0.31,1
2,2,1,11,1.451,2.5805,0.46,2
2,1,2,66,1.501,1.8309,0.36,1
