Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Task
1,2,1,1,1.8554,1.4478,11,1
1,1,1,6,0.74315,1.0813,10,1
1,2,2,4,1.5438,0.90005,10,1
1,1,1,4,0.53509,0.89966,11,1
1,2,2,6,0.79547,0.56164,11,1
1,2,2,5,0.74592,0.72393,12,1
1,1,2,4,0.88628,0.88652,12,1
1,2,2,6,1.4329,0.52964,11,1
1,1,1,4,1.4018,1.74,11,1
1,1,2,3,1.8717,0.87448,12,1
1,1,2,2,1.2969,0.62369,11,1
1,1,1,6,1.1318,0.94447,10,1
1,2,2,6,0.84273,0.35265,10,1
1,2,2,6,1.339,0.26176,11,1
1,1,1,6,0.79348,0.27993,11,1
1,1,1,6,0.86759,0.25975,12,1
1,2,2,2,1.3997,1.0292,12,1
1,1,2,2,0.75698,0.45783,13,1
1,2,2,3,1.2493,0.43163,12,1
1,1,1,4,1.5799,0.71464,12,1
1,2,2,2,1.1211,1.2731,13,1
1,2,2,1,1.5742,0.7981,13,1
1,2,2,1,0.98936,0.32396,14,1
1,1,1,4,0.75966,0.50347,14,1
1,1,1,3,1.928,0.934,15,1
1,1,1,3,0.85355,0.50352,15,1
1,1,2,1,1.112,0.78088,16,1
1,1,1,2,1.0067,1.2157,15,1
1,1,2,2,1.0038,0.40493,15,1
1,1,2,3,1.0503,0.44457,14,1
1,1,1,3,0.75075,0.6325,13,1
1,1,1,4,0.83515,0.37786,13,1
1,1,1,2,0.59742,1.1513,14,1
1,1,1,2,0.81207,0.73293,14,1
1,1,1,1,1.1186,0.47038,15,1
1,2,2,2,0.67713,0.51405,15,1
1,1,2,1,1.4974,0.40939,16,1
1,2,1,1,0.86615,0.39515,15,1
1,2,2,4,1.1845,1.196,14,1
1,1,1,4,1.1037,0.81284,14,1
1,1,2,4,0.93042,0.42666,15,1
1,2,2,4,1.1528,0.49184,14,1
1,1,2,3,0.67541,0.50787,14,1
1,2,1,3,0.78353,1.2207,13,1
1,2,2,4,1.2225,1.026,12,1
1,2,2,4,0.93757,0.37927,12,1
1,1,2,3,1.6799,1.3021,13,1
1,2,1,3,0.9335,0.41362,12,1
1,2,2,4,1.1499,0.58905,11,1
1,1,1,1,1.1666,0.47818,11,1
1,2,2,3,1.0052,0.98357,12,1
1,1,2,3,0.8041,0.5993,12,1
1,2,2,3,0.83642,0.61081,11,1
1,2,2,5,1.0808,0.59604,11,1
1,2,2,5,0.77536,0.65545,12,1
1,1,2,4,1.4079,0.3991,12,1
1,1,1,1,0.84466,0.62654,11,1
1,1,1,5,0.60097,0.64785,11,1
1,1,2,6,0.57941,0.42583,12,1
1,2,2,6,1.5694,0.38873,11,1
1,2,2,6,0.95856,0.3079,11,1
1,1,2,3,1.1589,0.61569,12,1
1,2,2,2,1.6076,0.58291,11,1
1,2,1,2,1.7325,1.1413,11,1
1,2,2,1,1.2862,1.1482,10,1
1,1,1,2,1.5514,0.88497,10,1
1,2,2,3,0.59866,0.69014,11,1
1,1,2,3,0.86103,0.27639,11,1
1,2,2,4,0.90327,0.89761,10,1
1,1,1,6,0.8417,0.77898,10,1
1,1,1,5,0.92849,0.50256,11,1
1,2,1,2,1.3968,0.54591,11,1
1,2,2,5,1.0817,0.52538,10,1
1,2,2,5,1.4702,0.39267,10,1
1,1,1,3,0.73893,0.70027,11,1
1,1,1,6,0.60747,0.69368,11,1
1,1,1,6,0.74566,0.44574,12,1
1,2,2,5,0.98999,0.61898,12,1
1,2,2,6,0.83237,0.38451,13,1
1,2,2,6,0.91074,0.30002,13,1
1,2,2,5,1.1348,0.61188,14,1
1,1,1,6,0.53556,0.49356,14,1
1,2,2,2,1.4577,0.37321,15,1
1,1,1,4,2.2784,0.69519,15,1
1,1,2,1,1.8122,0.84811,16,1
1,2,2,2,1.4996,0.48319,15,1
1,2,2,5,0.92026,0.54052,15,1
1,2,2,1,1.1228,1.3495,16,1
1,2,1,1,1.0618,0.30916,16,1
1,1,1,1,1.0624,0.3125,15,1
1,2,2,6,1.4294,0.63846,12,1
1,2,1,4,1.7183,0.58751,13,1
1,2,2,2,0.66733,0.61148,12,1
1,1,2,3,1.0998,0.46707,12,1
1,2,2,4,0.82429,1.2101,11,1
1,1,1,5,1.0611,0.75564,11,1
1,1,2,1,2.8959,0.43293,12,1
1,2,2,2,0.69862,0.35453,11,1
1,2,2,6,0.57264,0.57676,11,1
1,2,2,5,0.53878,1.2021,12,1
1,2,2,3,1.2895,1.5003,12,1
1,1,2,2,0.867,0.80007,13,1
1,2,2,5,0.87545,0.59917,12,1
1,2,2,3,2.152,0.81589,12,1
1,2,2,5,0.44371,1.085,13,1
1,1,1,5,1.4102,0.44854,13,1
1,2,2,5,0.93888,1.3816,14,1
1,2,2,4,0.67809,0.45701,14,1
1,1,2,2,1.0943,0.87842,15,1
1,1,2,2,1.0051,0.8712,14,1
1,2,2,2,0.87202,0.26943,13,1
1,2,2,3,0.84611,0.95253,13,1
1,2,1,1,0.7429,1.2299,14,1
1,2,2,2,0.57378,1.1368,13,1
1,1,1,3,1.0224,0.84404,13,1
1,2,2,3,1.7432,0.2035,14,1
1,2,1,2,1.7119,1.3779,14,1
1,2,2,2,0.77777,0.38758,13,1
1,1,2,2,0.88794,0.45293,13,1
1,1,2,3,0.63439,0.54308,12,1
1,1,1,4,0.68445,0.96442,11,1
1,1,1,5,0.71107,0.76365,11,1
1,1,1,5,0.54753,0.57381,12,1
1,1,2,1,2.1738,0.86385,12,1
1,1,1,2,1.0515,0.82944,11,1
1,2,1,1,1.0381,1.1301,11,1
1,2,2,6,0.75715,0.84994,10,1
1,1,1,6,1.0978,0.54486,10,1
1,2,2,5,0.76639,0.70687,11,1
1,1,1,4,1.8488,1.5565,11,1
1,2,2,3,0.90678,0.63652,12,1
1,1,1,4,0.33531,0.51438,12,1
1,2,2,5,0.74521,1.0056,13,1
1,1,2,5,0.79796,0.27957,13,1
1,1,2,2,1.3481,0.98249,12,1
1,2,1,3,0.88528,0.79949,11,1
1,2,2,4,0.81581,1.2168,10,1
1,2,2,3,0.65069,0.56059,10,1
1,2,2,4,0.7789,0.34851,11,1
1,2,2,6,0.65502,0.66573,11,1
1,2,2,2,1.4933,0.81296,12,1
1,1,1,5,0.67046,0.87813,12,1
1,1,2,1,1.441,0.43574,13,1
1,2,2,4,1.0158,0.7708,12,1
1,1,1,4,0.49253,1.8678,12,1
1,1,1,4,0.7837,0.36185,13,1
1,1,1,6,0.57781,1.2407,13,1
1,2,2,6,1.0467,0.30854,14,1
1,1,2,2,1.783,0.60313,14,1
1,1,1,4,0.53214,0.64923,13,1
1,2,1,5,0.7703,0.49084,13,1
1,2,1,5,0.65663,0.363,12,1
1,2,2,4,1.3926,0.92558,11,1
1,2,2,6,0.84972,0.7033,11,1
1,1,1,6,0.42834,0.46728,12,1
1,1,1,5,1.3203,0.58054,12,1
1,2,1,4,1.1591,0.56131,13,1
1,1,1,6,1.0058,0.59351,12,1
1,1,1,6,0.82629,0.35485,12,1
1,1,1,6,1.8044,0.55945,13,1
