Subj_idx,Stimulus,Response,Confidence,RT_decConf,SOA,Session,Gender,Age,Training
1,2,1,0.134905012589,2.15751023037,8.3,1,female,23,0
1,2,2,0.936491950866,2.52449226675,133.3,1,female,23,0
1,2,1,0.738094148165,4.82405199815,16.7,1,female,23,0
1,1,1,0.984100099184,4.73261606294,133.3,1,female,23,0
1,2,2,1,2.40755000982,66.7,1,female,23,0
1,1,1,0.611108567941,2.88249377323,33.3,1,female,23,0
1,1,1,0.579369802396,2.83250545043,133.3,1,female,23,0
1,1,2,0.261890592813,2.49922686729,33.3,1,female,23,0
1,2,1,-1.52590218967e-05,2.30779311354,8.3,1,female,23,0
1,1,1,0.563469901579,2.59108690268,66.7,1,female,23,0
1,2,2,0.936491950866,2.47420527732,133.3,1,female,23,0
1,2,1,0.0238193331807,3.22416068585,8.3,1,female,23,0
1,1,1,0.658716716258,2.71606460695,133.3,1,female,23,0
1,1,2,0.849179827573,2.18252091308,16.7,1,female,23,0
1,1,1,0.420614938582,2.29111750719,66.7,1,female,23,0
1,1,2,0.428580148013,2.33259752059,16.7,1,female,23,0
1,1,1,-0.695338368811,2.49946169432,33.3,1,female,23,0
1,1,2,-0.562523842222,2.44087555836,33.3,1,female,23,0
1,1,1,-1.52590218967e-05,1.86615821696,33.3,1,female,23,0
1,1,1,0.873014419776,3.33238386648,66.7,1,female,23,0
1,1,2,-0.312520027466,2.25755809403,33.3,1,female,23,0
1,2,1,0.507927061875,2.20781069348,66.7,1,female,23,0
1,2,2,0.261890592813,2.59106252173,66.7,1,female,23,0
1,2,2,0.261890592813,3.09917624474,8.3,1,female,23,0
1,1,2,0.134905012589,2.94085951826,8.3,1,female,23,0
1,1,1,0.0476234073396,2.20778663334,33.3,1,female,23,0
1,1,1,0.460318913558,2.83252437774,133.3,1,female,23,0
1,1,1,0.317463950561,2.78254279177,66.7,1,female,23,0
1,1,2,0.0476234073396,2.62420585476,8.3,1,female,23,0
1,2,1,0.317463950561,2.33282625238,8.3,1,female,23,0
1,1,1,0.190478370336,2.94941723117,133.3,1,female,23,0
1,2,2,0.206347753109,2.26584986212,133.3,1,female,23,0
1,1,1,0.190478370336,3.19077065612,16.7,1,female,23,0
1,2,1,0.214282444495,2.60758285994,33.3,1,female,23,0
1,2,2,0.11110093843,2.31614390919,66.7,1,female,23,0
1,1,1,0.325398641947,2.29089134181,133.3,1,female,23,0
1,1,1,0.0238193331807,2.89089012276,8.3,1,female,23,0
1,2,2,0.206347753109,1.99080806162,66.7,1,female,23,0
1,1,1,0.126970321202,2.5158623734,16.7,1,female,23,0
1,2,1,1.52590218967e-05,2.76589894482,16.7,1,female,23,0
1,2,2,0.0238193331807,2.79109922148,16.7,1,female,23,0
1,2,2,0.34126802472,2.83249839278,133.3,1,female,23,0
1,2,2,0.34126802472,2.83252405694,33.3,1,female,23,0
1,2,2,0.0634927901122,2.59075872228,33.3,1,female,23,0
1,2,2,-0.398458838788,3.40750798476,33.3,1,female,23,0
1,1,1,0.579369802396,2.38255536721,66.7,1,female,23,0
1,1,1,0.6349126421,1.99083821701,133.3,1,female,23,0
1,1,1,-0.140642404822,3.44912754701,16.7,1,female,23,0
1,2,2,-0.140642404822,2.61587077841,16.7,1,female,23,0
1,2,2,-0.453147173266,4.20742990157,33.3,1,female,23,0
1,2,2,0.0634927901122,2.50386181392,66.7,1,female,23,0
1,2,2,-0.078141451133,2.44927575751,33.3,1,female,23,0
1,2,2,-0.0312657358663,2.44921320113,133.3,1,female,23,0
1,2,2,-1.52590218967e-05,2.53252482686,8.3,1,female,23,0
1,1,1,0.285725185016,2.39085611776,33.3,1,female,23,0
1,1,1,0.0793621728847,2.79084546713,66.7,1,female,23,0
1,1,1,0.738094148165,2.25755777322,133.3,1,female,23,0
1,2,1,-0.937529564355,3.66580584809,33.3,1,female,23,0
1,2,2,1,2.51610105005,133.3,1,female,23,0
1,2,2,0.285725185016,2.18258635668,66.7,1,female,23,0
1,2,1,0.47618829633,2.35745197274,66.7,1,female,23,0
1,1,1,0.69839017319,2.26615462398,133.3,1,female,23,0
1,2,2,0.214282444495,1.98253072962,133.3,1,female,23,0
1,2,2,0.0634927901122,2.43255299327,66.7,1,female,23,0
