Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Ease
2,2,2,0.75,0.42,2.3,6
2,1,2,0.46,0.58,1.06,5
2,2,2,0.82,0.38,3.64,7
2,1,2,0.21,0.44,1.22,6
2,2,2,0.72,0.46,1.34,6
2,1,2,0.5,0.58,3,5
2,1,1,0.52,0.52,3.04,7
2,2,1,0.3,0.34,0.98,5
2,1,1,0.73,0.5,3.06,7
2,2,2,0.81,0.4,1.62,6
2,2,2,0.77,0.4,2.34,6
2,2,2,0.71,0.44,3.42,7
2,2,2,0.72,0.42,2.24,6
2,1,1,0.54,0.4,1.7,6
2,2,2,0.6,0.34,0.8,6
2,2,2,0.73,0.36,1.46,6
2,1,2,0.72,0.6,1.44,5
2,1,2,0.47,0.46,2.64,6
2,2,2,0.78,0.3,3.16,7
2,2,2,0.8,0.36,1.2,7
2,1,2,0.29,0.4,2.2,6
2,1,2,0.25,0.42,1.08,7
2,2,2,0.44,0.36,1.9,8
2,1,2,0.32,0.36,2.94,8
2,1,2,0.44,0.36,3.9,9
2,1,2,0.19,0.4,3.6,10
2,2,2,0.5,0.36,1.78,8
2,2,2,0.83,0.3,3.26,7
2,2,2,0.8,0.34,1.2,6
2,1,2,0.46,0.36,2.66,8
2,1,2,0.21,0.6,3.56,5
2,1,2,0.38,0.4,2.02,6
2,1,2,0.47,0.4,3.04,10
2,2,2,0.87,0.36,1.34,7
2,2,2,0.74,0.36,1.48,6
2,1,2,0.45,0.42,0.68,7
2,1,2,0.3,0.36,1.4,9
2,1,2,0.55,0.46,0.7,6
2,1,2,0.2,0.34,1.18,11
2,2,2,0.45,0.52,2.68,12
2,2,2,0.72,0.3,2.24,12
2,2,2,0.92,0.36,0.64,11
2,2,2,0.85,0.38,3.3,11
2,2,2,0.89,0.42,3.78,10
2,1,2,0.24,0.34,1.1,10
2,2,2,0.43,0.46,2.72,11
2,2,2,0.75,0.32,2.3,11
2,2,2,0.75,0.36,3.1,10
2,1,1,0.78,0.4,2.36,10
2,1,1,0.81,0.52,1.22,9
2,1,1,0.81,0.4,2.42,10
2,2,2,0.66,0.46,0.92,11
2,1,1,0.76,0.52,1.12,9
2,2,2,0.71,0.36,1.36,11
2,2,2,0.79,0.32,2.38,11
2,2,2,0.97,0.3,2.74,12
2,1,2,0.18,0.34,1.22,10
2,1,2,0.09,0.34,1.4,11
2,2,2,0.81,0.36,3.22,10
2,2,2,0.85,0.38,3.3,11
2,2,2,0.83,0.52,1.26,12
2,2,2,0.64,0.42,3.28,10
2,1,2,0.26,0.34,3.46,9
2,1,1,0.77,0.36,3.54,10
2,1,2,0.28,0.34,2.22,10
2,1,1,0.89,0.36,1.38,11
2,2,2,0.91,0.42,1.82,11
2,2,2,0.71,0.32,1.42,10
2,1,2,0.59,0.36,1.18,10
2,1,1,0.81,0.38,3.62,11
2,2,2,0.82,0.38,3.64,11
2,1,1,0.68,0.34,1.42,10
2,1,2,0.5,0.74,1.8,10
2,2,2,0.78,0.38,1.22,11
2,1,2,0.53,0.34,1.06,9
2,1,2,0.12,0.74,4.54,10
2,1,1,0.76,0.34,1.26,10
2,1,2,0.47,0.34,1.84,10
2,1,1,0.88,0.38,3.76,11
2,2,2,0.9,0.38,4.6,11
2,1,2,0.41,0.36,0.82,10
2,2,2,0.84,0.42,1.68,11
2,1,1,0.82,0.36,1.24,11
2,1,1,0.54,0.36,0.9,10
2,2,2,0.32,0.32,0.64,10
2,2,2,0.79,0.38,3.58,11
3,1,1,0.39,0.4,0.78,12
3,2,2,0.7,0.4,2.2,12
3,2,1,0.78,0.38,0.42,11
3,1,2,0.67,0.32,1.44,12
3,1,1,0.77,0.36,2.34,13
3,2,2,0.57,0.3,0.44,13
3,2,2,0.88,0.38,0.56,12
3,1,1,0.75,0.26,0.48,12
3,2,2,0.82,0.28,1.64,11
3,1,1,0.81,0.3,0.42,11
3,2,1,0.28,0.3,1.36,10
3,1,2,0.19,0.28,1.98,11
3,1,1,0.67,0.26,0.64,12
3,2,2,0.83,0.3,3.26,13
3,1,1,0.26,0.4,0.52,12
3,2,2,0.41,0.28,0.82,11
3,2,1,0.03,0.3,0.72,10
3,1,2,0.49,0.28,0.6,11
3,1,1,0.88,0.3,0.56,11
3,1,2,0.57,0.32,1.64,12
3,2,1,0.14,0.38,1.7,11
3,2,2,0.43,0.4,1.66,12
3,2,2,0.91,0.38,0.62,12
3,1,1,0.72,0.36,2.24,13
3,2,2,0.74,0.64,4.28,12
3,2,2,0.81,0.3,3.22,12
3,2,2,0.78,0.32,1.16,11
3,1,1,0.71,0.46,0.56,11
3,2,1,0.31,0.26,0.62,10
3,1,2,0.57,0.28,0.44,11
3,1,1,0.73,0.36,1.06,12
3,2,1,0.71,0.14,0.56,12
3,1,2,0.14,0.28,0.5,13
3,2,2,NaN,0.58,-0.02,14
3,1,2,0.32,0.3,0.64,14
3,1,1,0.84,0.32,1.28,15
3,1,1,0.74,0.46,0.5,11
3,1,1,0.43,0.32,0.46,15
3,1,2,0.23,0.3,0.46,14
3,2,2,0.56,0.3,0.46,12
3,1,2,0.54,0.28,2.68,11
3,2,1,0.29,0.14,1.4,12
3,1,2,0.62,0.28,2.04,13
3,2,2,0.89,0.58,1.38,14
3,2,2,0.61,0.32,0.82,11
3,1,1,0.58,0.36,0.76,12
3,2,1,0.27,0.26,0.54,10
3,2,2,0.93,0.64,0.66,12
3,2,1,0.61,0.52,0.82,15
3,2,2,0.55,0.34,0.48,16
3,2,2,0.82,0.32,1.64,16
3,2,2,0.85,0.3,0.5,15
3,1,1,0.73,0.26,0.52,15
3,1,1,0.82,0.52,2.44,14
3,1,1,0.84,0.36,0.48,14
3,2,1,0.43,0.26,1.66,13
3,2,2,0.56,0.34,0.46,14
3,2,1,0.38,0.54,1.56,14
3,2,2,0.76,0.3,1.52,15
3,1,1,0.71,0.28,0.56,15
3,1,1,0.83,0.52,2.46,14
3,1,1,0.72,0.28,0.54,15
3,1,1,0.85,0.36,0.5,14
3,2,2,0.54,0.34,0.5,14
3,2,2,0.84,0.3,1.68,15
3,2,2,0.85,0.3,0.5,15
3,1,1,0.74,0.26,0.5,15
3,2,1,0.44,0.52,0.48,15
3,2,2,0.93,0.32,1.86,16
3,2,1,0.16,0.54,0.46,14
3,2,2,0.56,0.34,0.46,16
3,2,1,0.11,0.26,0.56,13
3,1,2,0.18,0.26,1.22,14
3,2,1,0.4,0.4,1.98,15
3,1,1,0.79,0.56,0.38,16
3,2,1,0.75,0.04,0.48,16
3,2,2,0.77,0.32,0.44,17
3,1,2,0.4,0.32,1.6,17
3,1,1,0.55,0.32,0.48,18
3,1,1,0.49,0.56,0.58,18
3,2,2,0.74,0.42,1.08,17
3,1,2,0.43,0.36,0.46,17
3,1,1,0.83,0.28,1.66,18
3,1,1,0.7,0.3,1.4,18
3,1,2,0.25,0.26,1.08,14
3,1,1,0.89,0.56,1.38,18
3,2,2,0.72,0.32,0.54,17
3,2,1,0.54,0.04,0.9,16
3,1,2,0.59,0.32,3.6,17
3,2,1,0.07,0.4,2.64,15
3,1,1,0.92,0.56,0.64,16
3,2,2,0.91,0.42,1.42,17
3,1,1,0.76,0.28,1.52,18
3,1,1,0.9,0.3,1.8,18
3,1,2,0.17,0.36,3.24,17
