Subj_idx,Block,Trial,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,MADFilter
6,2,180,284.1437632,266,-18.14376321,2,2,0.888307183,1.047726965,1,1
6,2,181,284.1437632,282,-2.143763214,2,2,1.001635981,0.475243299,1,1
6,2,182,466.807611,394,-72.80761099,3,1,0.694116321,1.228193748,1,1
6,2,183,182.6638478,202,19.33615222,3,1,2.939657696,0.667391785,1,1
6,2,184,182.6638478,186,3.33615222,3,2,1.048698004,4.179611047,1,1
6,2,185,284.1437632,266,-18.14376321,2,2,1.198392307,0.666834504,1,1
6,2,186,284.1437632,266,-18.14376321,2,2,2.670635493,1.173852469,1,1
6,2,187,284.1437632,250,-34.14376321,1,2,1.491401191,1.615348962,1,1
6,2,188,182.6638478,218,35.33615222,1,2,0.716236463,0.886561249,1,1
6,2,189,284.1437632,266,-18.14376321,2,1,3.642335063,2.200842968,1,1
6,2,190,284.1437632,266,-18.14376321,3,1,0.705775213,1.290259754,1,1
6,2,191,284.1437632,234,-50.14376321,2,2,1.206911265,1.134270666,1,1
6,2,192,284.1437632,266,-18.14376321,3,2,2.177520678,0.616369537,1,1
6,2,193,466.807611,378,-88.80761099,3,2,0.78424809,0.599373474,1,1
6,2,194,182.6638478,186,3.33615222,2,2,0.936211765,0.399698625,1,1
6,2,195,466.807611,346,-120.807611,1,2,12.87669592,1.287684584,1,1
6,2,196,466.807611,394,-72.80761099,2,2,1.288097917,0.508402428,1,1
6,2,197,284.1437632,266,-18.14376321,3,2,0.867321084,0.342265831,1,1
6,2,198,284.1437632,234,-50.14376321,3,2,0.932061877,0.364141838,1,1
6,2,199,284.1437632,234,-50.14376321,2,1,0.867755969,0.638507858,1,1
6,2,200,182.6638478,186,3.33615222,2,2,1.184427287,0.972266279,1,1
6,2,201,284.1437632,266,-18.14376321,1,2,1.300140257,0.853836233,1,1
6,2,202,284.1437632,250,-34.14376321,1,2,0.932883181,0.483329354,1,1
6,2,203,182.6638478,234,51.33615222,1,2,0.686247013,0.393315304,1,0
6,2,204,182.6638478,154,-28.66384778,2,2,4.308375895,0.424586013,1,1
6,2,205,466.807611,394,-72.80761099,2,2,1.663333667,0.366751333,1,1
6,2,206,284.1437632,298,13.85623679,3,1,0.830422848,1.732296269,1,1
6,2,207,466.807611,410,-56.80761099,3,2,2.195609736,0.28056332,1,1
6,2,208,284.1437632,314,29.85623679,3,2,1.268043877,0.242272874,1,0
6,2,209,182.6638478,186,3.33615222,2,1,1.07025873,0.24588637,1,1
6,2,210,466.807611,394,-72.80761099,2,2,1.204511112,0.337663189,1,1
6,2,211,466.807611,458,-8.807610994,1,2,0.791507535,0.387767147,1,1
6,2,212,284.1437632,282,-2.143763214,2,1,0.438147734,1.951722042,1,1
6,2,213,284.1437632,234,-50.14376321,2,2,0.777084317,0.519867145,1,1
6,2,214,466.807611,458,-8.807610994,1,2,4.097090434,1.710779312,1,1
6,2,215,466.807611,410,-56.80761099,2,2,0.527748758,0.804030058,1,1
6,2,216,182.6638478,218,35.33615222,1,1,0.71948392,0.92687468,1,1
6,2,217,284.1437632,250,-34.14376321,2,2,0.987195767,0.402719657,1,1
6,2,218,466.807611,346,-120.807611,3,1,0.861380119,1.849885562,1,1
6,2,219,466.807611,378,-88.80761099,1,1,3.54116898,5.654671,1,1
6,2,220,466.807611,378,-88.80761099,1,2,0.227826722,2.205481962,1,1
6,2,221,466.807611,426,-40.80761099,1,2,1.306794641,0.865128204,1,1
6,2,222,284.1437632,282,-2.143763214,1,2,1.645610899,0.409217845,1,1
6,2,223,466.807611,378,-88.80761099,1,2,1.403210314,1.38107633,1,1
6,2,224,284.1437632,250,-34.14376321,1,2,0.755010124,1.196778772,1,1
6,2,225,182.6638478,186,3.33615222,2,2,1.112238498,0.398908356,1,1
6,2,226,284.1437632,186,-98.14376321,2,1,5.532250925,3.02202065,1,1
6,2,227,284.1437632,266,-18.14376321,2,2,1.643651975,1.102315001,1,1
6,2,228,182.6638478,170,-12.66384778,3,2,1.214612084,0.505956629,1,1
6,2,229,466.807611,10,-456.807611,1,2,4.83390478,1.052398369,0,1
6,2,230,182.6638478,154,-28.66384778,2,2,3.695607594,1.533860728,1,1
6,2,231,466.807611,586,119.192389,2,2,1.116273485,0.680069807,1,0
6,2,232,182.6638478,186,3.33615222,2,1,1.854880051,1.031396856,1,1
6,2,233,284.1437632,266,-18.14376321,3,1,0.676290201,0.615849,1,1
6,2,234,182.6638478,170,-12.66384778,3,2,0.940254854,0.286785994,1,1
6,2,235,466.807611,314,-152.807611,1,2,0.890301119,0.8328777,1,1
6,2,236,182.6638478,170,-12.66384778,2,1,4.608701507,6.48559225,1,1
6,2,237,466.807611,442,-24.80761099,1,1,0.782534658,0.760202636,1,1
6,2,238,182.6638478,170,-12.66384778,3,2,1.14314212,0.61161,1,1
6,2,239,466.807611,378,-88.80761099,2,2,2.434468827,1.076321307,1,1
6,2,240,182.6638478,42,-140.6638478,1,2,3.417730874,1.754882101,1,0
7,1,1,466.807611,218,-248.807611,1,2,6.958770556,2.586561583,1,0
7,1,2,284.1437632,250,-34.14376321,2,1,2.47168142,3.346630664,1,1
7,1,3,182.6638478,202,19.33615222,3,1,1.513586882,2.760391186,1,1
7,1,4,284.1437632,266,-18.14376321,2,2,1.510832343,1.783147311,1,1
7,1,5,284.1437632,218,-66.14376321,3,1,1.470382893,1.651181773,1,1
7,1,6,284.1437632,250,-34.14376321,2,2,2.053996442,2.3316697,1,1
7,1,7,182.6638478,202,19.33615222,2,1,1.774159056,1.712027236,1,1
7,1,8,182.6638478,186,3.33615222,3,2,1.50065642,1.257647731,1,1
7,1,9,466.807611,378,-88.80761099,2,1,1.219165055,1.273784382,1,1
7,1,10,284.1437632,10,-274.1437632,1,1,5.99869206,1.416266347,0,1
7,1,11,284.1437632,234,-50.14376321,1,1,2.002652903,1.515824875,1,1
7,1,12,466.807611,362,-104.807611,2,2,1.220780904,1.168650777,1,1
7,1,13,466.807611,458,-8.807610994,2,2,1.166138407,1.949112939,1,1
7,1,14,284.1437632,10,-274.1437632,1,1,4.508195769,1.211923297,0,1
7,1,15,182.6638478,250,67.33615222,3,2,1.860516103,2.726656832,1,1
7,1,16,284.1437632,314,29.85623679,2,1,1.111990208,2.491757868,1,1
7,1,17,182.6638478,266,83.33615222,2,1,1.314650552,1.31984841,1,1
7,1,18,182.6638478,218,35.33615222,3,2,1.415471834,1.933673256,1,1
7,1,19,284.1437632,298,13.85623679,2,2,1.227177205,1.027389908,1,1
7,1,20,284.1437632,314,29.85623679,1,1,1.316225603,0.941827299,1,1
7,1,21,466.807611,410,-56.80761099,2,2,2.448468373,1.509429832,1,1
7,1,22,284.1437632,282,-2.143763214,3,1,1.187043559,1.089512603,1,1
7,1,23,182.6638478,234,51.33615222,2,2,1.037121858,1.851905878,1,1
7,1,24,466.807611,378,-88.80761099,1,2,1.362891822,1.029782328,1,1
7,1,25,182.6638478,234,51.33615222,2,1,1.785027593,0.754490594,1,1
7,1,26,284.1437632,266,-18.14376321,2,2,1.350484745,0.745663353,1,1
7,1,27,182.6638478,250,67.33615222,3,2,1.413946258,2.224343726,1,1
7,1,28,182.6638478,250,67.33615222,2,2,1.093863641,1.563388431,1,1
7,1,29,284.1437632,282,-2.143763214,1,2,1.925499162,0.934546517,1,1
7,1,30,284.1437632,298,13.85623679,1,2,1.957684348,0.772459099,1,1
7,1,31,466.807611,346,-120.807611,2,2,1.083893596,0.875707089,1,1
7,1,32,466.807611,426,-40.80761099,2,1,1.095536676,0.941640224,1,1
7,1,33,284.1437632,330,45.85623679,2,1,3.45416949,0.992769101,1,1
7,1,34,182.6638478,234,51.33615222,1,1,1.098778144,0.760207425,1,1
7,1,35,284.1437632,298,13.85623679,2,2,1.525606156,0.478855743,1,1
7,1,36,466.807611,426,-40.80761099,2,2,2.900425598,1.712439457,1,1
7,1,37,466.807611,394,-72.80761099,3,2,1.536388778,0.88936522,1,1
7,1,38,182.6638478,218,35.33615222,2,1,1.803089708,1.274288775,1,1
7,1,39,182.6638478,250,67.33615222,2,1,1.034662543,1.690839062,1,1
7,1,40,284.1437632,282,-2.143763214,2,2,1.1286591,1.214058615,1,1
7,1,41,466.807611,426,-40.80761099,1,2,1.111152419,1.001626347,1,1
7,1,42,284.1437632,314,29.85623679,2,1,1.62145918,0.794544211,1,1
7,1,43,284.1437632,314,29.85623679,2,2,1.289690049,0.650121214,1,1
7,1,44,466.807611,394,-72.80761099,2,2,1.30311454,0.608811522,1,1
7,1,45,466.807611,410,-56.80761099,1,2,2.169098562,0.741061439,1,1
7,1,46,284.1437632,282,-2.143763214,2,2,0.823269063,0.837139007,1,1
7,1,47,284.1437632,346,61.85623679,3,2,2.119935175,1.546875758,1,1
7,1,48,182.6638478,250,67.33615222,2,1,1.382124938,1.225076916,1,1
7,1,49,466.807611,442,-24.80761099,2,2,1.08540593,0.840475515,1,1
7,1,50,284.1437632,298,13.85623679,3,2,1.206667994,0.917263688,1,1
7,1,51,466.807611,458,-8.807610994,3,2,0.646035719,0.924460109,1,1
7,1,52,284.1437632,346,61.85623679,2,2,1.477787261,1.041331619,1,1
7,1,53,182.6638478,314,131.3361522,1,2,2.462251749,1.558983418,1,0
7,1,54,284.1437632,282,-2.143763214,3,2,1.561458865,1.125950843,1,1
7,1,55,182.6638478,218,35.33615222,2,1,1.377711261,0.735455672,1,1
7,1,56,182.6638478,234,51.33615222,2,1,1.928325243,0.660934381,1,1
7,1,57,466.807611,410,-56.80761099,3,2,1.257637027,4.393719139,1,1
7,1,58,182.6638478,266,83.33615222,2,1,0.772770873,1.895056788,1,1
7,1,59,466.807611,458,-8.807610994,2,2,1.15757638,0.584332264,1,1
7,1,60,466.807611,426,-40.80761099,3,1,1.540956544,1.111472363,1,1
7,1,61,284.1437632,314,29.85623679,2,2,1.326201546,0.39333161,1,1
7,1,62,466.807611,442,-24.80761099,2,2,1.047524948,0.948676879,1,1
7,1,63,182.6638478,234,51.33615222,3,1,1.112783128,0.975657822,1,1
7,1,64,466.807611,410,-56.80761099,2,1,0.8974981,0.678965559,1,1
7,1,65,182.6638478,250,67.33615222,2,2,1.141388479,1.360655806,1,1
7,1,66,182.6638478,218,35.33615222,2,2,0.672734449,1.084602659,1,1
7,1,67,284.1437632,266,-18.14376321,3,1,1.978092141,2.137052205,1,1
7,1,68,284.1437632,298,13.85623679,1,1,0.602618659,0.833738333,1,1
7,1,69,466.807611,394,-72.80761099,2,1,1.498252384,1.370194031,1,1
7,1,70,466.807611,522,55.19238901,3,2,0.646105725,1.274199097,1,0
7,1,71,466.807611,442,-24.80761099,1,2,0.994027442,0.592670131,1,1
7,1,72,182.6638478,202,19.33615222,3,1,1.556990429,0.613994347,1,1
7,1,73,182.6638478,202,19.33615222,3,2,1.002126073,1.208934434,1,1
7,1,74,466.807611,394,-72.80761099,2,2,1.811244312,1.337120965,1,1
7,1,75,466.807611,410,-56.80761099,2,2,0.901794662,0.604250461,1,1
7,1,76,182.6638478,250,67.33615222,1,1,2.29679787,0.684975934,1,1
7,1,77,284.1437632,314,29.85623679,2,1,1.310034069,2.036246429,1,1
7,1,78,182.6638478,266,83.33615222,2,1,1.63900147,0.870074891,1,1
7,1,79,284.1437632,298,13.85623679,2,2,1.835690326,1.078659538,1,1
7,1,80,284.1437632,250,-34.14376321,2,2,1.044576812,1.260279665,1,1
7,1,81,284.1437632,298,13.85623679,2,2,2.361424145,0.620038924,1,1
7,1,82,182.6638478,234,51.33615222,3,2,1.223618355,1.128069638,1,1
7,1,83,182.6638478,202,19.33615222,2,2,1.148340022,1.221875481,1,1
7,1,84,182.6638478,202,19.33615222,3,1,1.52074678,0.993003222,1,1
7,1,85,182.6638478,202,19.33615222,1,2,0.687427039,0.648855013,1,1
7,1,86,466.807611,394,-72.80761099,1,2,0.793470994,1.708439885,1,1
7,1,87,182.6638478,202,19.33615222,3,1,1.060837719,0.664841787,1,1
7,1,88,182.6638478,218,35.33615222,2,1,0.808291108,1.102556614,1,1
7,1,89,284.1437632,282,-2.143763214,3,2,2.399340847,0.544063601,1,1
7,1,90,182.6638478,250,67.33615222,2,1,2.412124246,0.904173642,1,1
7,1,91,182.6638478,202,19.33615222,1,1,0.771218121,0.829839947,1,1
7,1,92,182.6638478,202,19.33615222,3,1,0.710409828,1.56096986,1,1
