Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,DotDiff,Accuracy
1,1,1,0.63,0.679,2290,24,1
1,0,0,NaN,0.688,NaN,24,1
1,0,0,NaN,1.296,NaN,24,1
1,0,1,0.75,0.52,1718,24,0
1,0,0,0.64,1.298,2260,24,1
1,1,1,0.51,1.417,2188,24,1
1,1,1,0.51,0.976,2174,24,1
1,0,0,NaN,0.678,NaN,60,1
1,1,1,NaN,0.919,NaN,60,1
1,0,0,0.51,1.182,2108,24,1
1,1,0,NaN,0.792,NaN,24,0
1,1,0,0.51,0.792,2137,24,0
1,1,1,NaN,0.622,NaN,24,1
1,1,1,0.58,0.765,2074,24,1
1,0,0,NaN,0.704,NaN,24,1
1,0,1,0.5,1.438,2151,24,0
1,0,0,0.65,0.596,2352,24,1
1,0,0,NaN,0.58,NaN,24,1
1,0,0,NaN,0.598,NaN,24,1
1,0,0,0.7,0.725,2001,24,1
1,1,0,NaN,0.722,NaN,24,0
1,1,1,0.59,0.754,1705,24,1
1,1,1,0.65,0.695,2546,60,1
1,0,0,0.8,0.554,1849,24,1
1,0,1,0.58,0.98,1808,24,0
1,1,1,0.56,0.651,1756,60,1
1,1,1,0.5,0.884,1834,24,1
1,1,1,0.51,0.624,1968,24,1
1,1,0,0.78,0.795,1413,24,0
1,1,1,0.71,0.965,2214,60,1
1,0,0,0.86,0.588,1826,60,1
1,1,1,0.75,0.599,1501,60,1
1,0,0,0.81,0.656,2634,60,1
1,0,0,0.5,0.906,2056,60,1
1,0,1,0.53,0.737,1915,24,0
1,0,0,0.85,0.544,1860,60,1
1,1,1,0.75,0.69,1239,24,1
1,0,0,0.75,0.616,918,24,1
1,0,0,0.5,1.019,1585,60,1
1,0,0,0.64,0.581,1976,24,1
1,1,1,0.57,0.698,1628,60,1
1,1,1,0.53,0.87,2202,24,1
1,1,0,NaN,0.692,NaN,24,0
1,1,0,NaN,0.615,NaN,60,0
1,0,0,NaN,0.604,NaN,60,1
1,0,0,NaN,0.538,NaN,24,1
1,0,0,NaN,0.597,NaN,24,1
1,1,1,NaN,0.615,NaN,60,1
1,1,1,NaN,0.743,NaN,24,1
1,0,0,NaN,0.566,NaN,60,1
1,1,0,NaN,0.537,NaN,60,0
1,1,0,NaN,0.526,NaN,24,0
1,0,0,NaN,0.469,NaN,60,1
1,0,0,NaN,0.528,NaN,60,1
1,0,0,NaN,0.551,NaN,24,1
1,1,1,NaN,0.681,NaN,60,1
1,0,0,NaN,0.473,NaN,24,1
1,0,0,NaN,0.617,NaN,60,1
1,1,1,NaN,1.075,NaN,60,1
1,1,1,NaN,0.636,NaN,24,1
1,1,0,NaN,0.625,NaN,24,0
1,0,0,NaN,0.542,NaN,24,1
1,1,1,0.75,0.627,1752,60,1
1,0,0,0.53,0.62,2013,60,1
1,1,1,0.52,0.751,1846,60,1
1,1,1,0.58,1.76,2340,60,1
1,0,0,0.75,0.633,1530,24,1
1,1,0,0.51,0.636,1995,24,0
1,1,0,0.63,0.584,1945,24,0
1,0,0,0.64,0.571,1704,60,1
1,0,1,0.5,0.94,1782,60,0
1,1,0,0.61,0.801,2848,24,0
1,0,0,0.61,0.579,2307,24,1
