Subj_idx,Stimulus,Response,Confidence,Visibility,RT_dec,contrast,Accuracy,Training,ScaleOrder
1,2,2,12.0231,12.0231,1.1058,5.5,1,0,Visibility first
1,1,1,-1.9751,-1.1239,2.2772,2.2,1,0,Visibility first
1,1,1,12.0231,12.0231,3.2159,6.9,1,0,Visibility first
1,2,1,6.5374,4.0784,1.536,5,0,0,Visibility first
1,2,2,12.0231,12.0231,1.4003,5.5,1,0,Visibility first
1,2,2,-2.1642,-2.6371,1.1685,2.2,1,0,Visibility first
1,2,1,0.0117,0.0117,1.3169,0,0,0,Visibility first
1,2,2,5.4025,2.3761,1.242,3.9,1,0,Visibility first
1,1,1,-7.6496,-4.3394,2.8757,0,1,0,Visibility first
1,2,2,-1.6913,-1.1239,1.6575,0,1,0,Visibility first
1,2,2,12.0231,12.0231,2.1022,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7133,5.5,1,0,Visibility first
1,1,2,-2.6371,-2.4479,1.5438,2.2,0,0,Visibility first
1,2,2,12.0231,12.0231,2.1127,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8508,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9266,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8675,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8106,6.9,1,0,Visibility first
1,2,2,6.8211,4.0784,1.0252,2.2,1,0,Visibility first
1,1,1,3.4164,2.9435,0.8939,3.9,1,0,Visibility first
1,2,2,0.0117,0.0117,1.195,0,1,0,Visibility first
1,2,2,12.0231,12.0231,1.263,6.9,1,0,Visibility first
1,2,2,0.9575,1.5249,1.2836,3.9,1,0,Visibility first
1,1,1,3.7947,3.1327,1.8626,5,1,0,Visibility first
1,2,2,0.0117,0.0117,1.312,2.2,1,0,Visibility first
1,2,2,12.0231,12.0231,1.0724,5,1,0,Visibility first
1,1,1,0.0117,0.0117,1.7031,0,1,0,Visibility first
1,2,2,12.0231,12.0231,1.0619,5.5,1,0,Visibility first
1,1,1,4.5513,3.7001,1.4801,5,1,0,Visibility first
1,2,2,2.9435,1.7141,0.9728,3.9,1,0,Visibility first
1,1,1,2.6598,2.3761,1.5992,0,1,0,Visibility first
1,2,2,6.5374,4.835,2.1802,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8724,5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9757,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,1.1481,5,1,0,Visibility first
1,1,2,3.2273,2.2815,1.0065,2.2,0,0,Visibility first
1,1,2,0.0117,0.0117,1.9368,2.2,0,0,Visibility first
1,1,1,12.0231,12.0231,0.9535,5,1,0,Visibility first
1,2,2,1.7141,0.9575,2.131,3.9,1,0,Visibility first
1,2,2,12.0231,12.0231,1.1315,5.5,1,0,Visibility first
1,1,2,-2.1642,-2.3534,1.4153,3.9,0,0,Visibility first
1,1,2,-2.4479,-2.3534,1.3197,0,0,0,Visibility first
1,2,2,12.0231,12.0231,1.2551,5.5,1,0,Visibility first
1,1,1,0.0117,0.0117,4.0714,0,1,0,Visibility first
1,2,2,12.0231,12.0231,1.3497,5,1,0,Visibility first
1,1,1,12.0231,12.0231,1.626,5.5,1,0,Visibility first
1,2,1,0.0117,0.0117,2.2886,0,0,0,Visibility first
1,2,2,12.0231,12.0231,0.9461,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.7126,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,1.2481,5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8355,5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7365,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.6976,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,1.0162,6.9,1,0,Visibility first
1,1,2,2.0924,1.7141,1.731,3.9,0,0,Visibility first
1,1,2,0.0117,0.0117,1.7894,0,0,0,Visibility first
1,2,2,-2.6371,-2.1642,1.9228,2.2,1,0,Visibility first
1,1,1,12.0231,12.0231,1.4278,6.9,1,0,Visibility first
