Subj_idx,Stimulus,Response,Confidence,RT_dec,Condition,Accuracy,Contrast_pos_LowPE,Contrast_neg_LowPE,Contrast_noise_LowPE,Contrast_pos_HighPE,Contrast_neg_HighPE,Contrast_noise_HighPE
1,1,1,50,0.338695605,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.260733418,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.62468067,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,56,0.228470614,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,53,0.320417263,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,56,0.252492414,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,55,0.28622757,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,54,0.210381529,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,53,0.172051606,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,54,0.24412727,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,52,0.421979753,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,56,0.236007198,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,57,0.212008173,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,57,0.223846336,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,63,0.407831055,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,65,0.127833878,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,57,0.787194062,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,56,0.553071731,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,66,0.215318561,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,69,0.103245912,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,75,0.187091093,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,75,0.099053717,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,80,0.310849859,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,87,0.206788539,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,89,0.354830856,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,65,0.338553181,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,77,0.200553977,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,83,0.192430055,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,64,0.284423216,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.136380579,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,65,0.174239926,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.212277623,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,63,0.252177734,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.708090882,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,75,0.271956978,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,67,0.239942453,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,67,0.26981934,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,67,0.17383543,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,66,0.389803879,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,66,0.313583494,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,61,0.205899033,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,55,0.233739968,2,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,59,0.171455287,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,76,0.27340431,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,84,0.207503545,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,58,0.627405003,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,62,0.437521893,2,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,58,0.211035587,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,56,0.225094789,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,60,0.50111501,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,54,0.118992064,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,52,0.280822529,2,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,0.188794082,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,50,0.312658382,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,50,0.198563895,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,56,0.280654764,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,53,0.216657792,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,56,0.256272735,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,55,0.308485113,2,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,61,0.264205475,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,0.092141359,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,55,0.155939451,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,58,0.28219063,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,51,0.231964163,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,0.209952975,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.515744869,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,0.207879492,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,64,0.205696946,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.031845156,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,70,0.151566981,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,69,0.275645558,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,75,0.185861888,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,75,0.295275962,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,75,0.245326965,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,65,0.483365945,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,87,0.239259846,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,64,0.629147447,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,68,0.123182334,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,1.614910215,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,84,0.296873095,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,57,1.59874834,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,1,50,0.376618144,0,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,64,0.198566461,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,60,0.166532049,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,58,0.080538002,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,78,0.308326971,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,68,0.8642491,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,88,0.204411604,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,93,0.230158206,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,50,0.370158077,2,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,75,0.100226146,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,87,0.209897481,2,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,83,0.119850776,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,86,0.181794794,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,89,0.201695932,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,91,0.233689927,0,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,1,57,0.556530316,1,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,63,0.226693847,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,1,0,60,0.318632797,3,0,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,50,0.260593881,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
1,0,0,55,0.176315975,3,1,0.127935762,0.089555034,0.782509204,0.12330255,0.043155892,0.833541558
