Subj_idx,Stimulus,Response,Confidence,Correct,RT_dec,RT_conf
6,1,1,1,1,4.281895808,0.887511331
6,1,2,1,0,1.247404346,1.616695133
6,2,2,1,1,1.394166141,0.546229112
6,1,1,2,1,0.631973975,0.040074421
6,2,1,1,0,4.481572316,3.260640256
6,2,1,2,0,0.750376839,0.117832299
6,1,1,2,1,0.867369851,0.217647693
6,2,1,2,0,1.780360226,0.728999523
6,2,1,1,0,13.64915066,12.44792667
6,2,2,1,1,0.929046456,0.061047723
6,2,1,2,0,0.657592045,0.034897809
6,1,1,2,1,0.548742773,0.255708572
6,2,1,1,0,4.293632758,1.034831562
6,1,2,1,0,2.907232467,0.194958495
6,2,1,2,0,1.956287582,1.35332288
6,2,1,2,0,0.799743595,0.016247358
6,1,1,2,1,0.702312167,0.31609289
6,1,1,2,1,0.761622534,0.467937058
6,2,1,2,0,0.709295181,0.000373224
6,2,1,2,0,0.734618871,0.039620488
6,1,1,2,1,1.071149487,0.016315938
6,2,2,1,1,2.385999075,8.950116329
6,1,1,2,1,0.930738558,0.535832501
6,1,1,2,1,0.73788691,0.11482365
7,1,2,1,0,1.931294195,0.967040621
7,2,2,2,1,6.070994132,1.953305525
7,2,2,2,1,0.812328696,0.246237556
7,1,2,2,0,1.382011181,0.157651061
7,1,2,2,0,6.137698992,1.114022152
7,2,1,2,0,2.652040344,0.55150696
7,2,1,2,0,2.861711781,0.827974697
7,2,1,2,0,4.095765451,1.097762198
7,2,1,1,0,5.549122994,3.260931837
7,1,2,1,0,2.875165093,0.749051429
7,1,2,2,0,4.75319701,0.729828079
7,2,2,2,1,5.291170882,1.300605975
7,1,1,2,1,5.532700222,2.327293797
7,2,1,2,0,2.506294183,0.89753985
7,2,2,2,1,6.54081457,0.846322837
7,1,2,1,0,1.663981634,0.611549312
7,2,1,1,0,4.146995993,1.94837804
7,1,2,1,0,2.021754272,2.018965359
7,2,2,2,1,3.181753843,0.712815147
7,1,1,2,1,9.329776201,0.986938573
7,1,1,1,1,2.821737197,1.469455145
7,2,2,1,1,4.350710315,1.804587105
7,2,1,1,0,2.761253509,0.649313012
7,1,1,2,1,2.089132801,0.551821868
7,1,2,1,0,1.681771338,0.37087792
7,2,2,2,1,2.585360676,0.135107421
7,2,2,2,1,3.511795033,1.044569433
7,1,1,2,1,2.39196039,0.994933489
7,2,2,2,1,0.871929244,0.227790978
7,1,2,2,0,2.383658963,0.61451504
7,1,1,2,1,1.913658445,0.576560063
7,2,1,2,0,2.393176632,0.615249824
7,2,1,2,0,2.491050331,2.420565182
7,2,1,2,0,2.321383801,0.922919057
7,2,2,1,1,7.225504983,0.508038537
7,1,1,2,1,2.016893968,1.213533835
7,1,1,1,1,3.955716083,1.267043374
7,2,1,2,0,6.335877941,0.78156014
7,1,1,1,1,2.031633502,0.581283208
7,1,1,2,1,2.931170565,0.522428174
7,1,2,2,0,3.962717758,6.00452347
7,1,2,1,0,2.810525093,0.998146012
7,1,1,2,1,2.560733515,5.93200192
7,2,1,2,0,1.716942067,0.672046063
8,1,1,2,1,1.332237144,1.080534662
8,2,1,2,0,0.781052089,0.194909976
8,2,1,2,0,1.366856902,0.495004635
8,1,1,2,1,0.912129628,0.324134459
8,2,1,2,0,1.30527267,0.849051102
8,1,2,2,0,1.865930607,2.28015472
8,2,1,2,0,0.874549274,0.233966429
8,1,1,2,1,1.766308823,0.227058527
8,1,1,2,1,1.286961386,0.08704788
