Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy
1,2,2,6,0.546,1.407,0.62,1
1,1,1,5.975,1.114,0.852,0.6,1
1,1,1,5.9625,0.919,1.096,0.58,1
1,1,2,5.9625,0.692,1.179,0.6,0
1,1,1,6,1.26,1.158,0.62,1
1,1,2,5.84375,0.708,1.171,0.64,0
1,2,2,5.98125,1.013,1.179,0.66,1
1,1,1,6,0.782,1.086,0.64,1
1,1,1,6,1.094,1.034,0.62,1
1,2,2,5.96875,0.773,1.11,0.6,1
1,1,1,5.9875,0.975,1.282,0.58,1
1,1,2,2.0625,0.993,2.576,0.6,0
1,1,1,5.98125,0.95,1.05,0.62,1
1,1,1,5.96875,0.782,1.061,0.6,1
1,1,1,2.46875,1.214,2.442,0.58,1
1,2,2,6,0.685,1.188,0.56,1
1,1,1,6,0.875,1.446,0.54,1
1,2,2,5.99375,0.649,1.366,0.52,1
1,2,1,6,0.932,1.128,0.54,0
1,1,2,1.8625,0.719,1.115,0.56,0
1,1,1,2.6,1.116,1.3,0.58,1
1,1,1,6,0.934,0.987,0.56,1
1,2,2,6,0.642,1.079,0.54,1
1,2,2,6,0.469,1.213,0.52,1
1,2,2,5.95,0.671,1.283,0.5,1
1,2,2,2.16875,0.753,1.433,0.48,1
1,2,2,2.50625,0.772,1.337,0.46,1
1,2,2,5.48125,0.857,1.5,0.44,1
1,2,2,5.03125,0.662,2.228,0.42,1
1,2,2,2.71875,0.795,2.058,0.4,1
10,1,1,1.35625,NaN,5.419,0.59,1
10,2,2,5.8875,0.409,1.531,0.57,1
10,1,1,5.8875,0.622,1.725,0.55,1
10,2,2,5.85,0.905,2.208,0.53,1
10,2,2,5.81875,0.744,1.388,0.51,1
10,1,1,5.8,0.747,1.291,0.49,1
10,1,2,2.0375,1.245,2.353,0.51,0
10,2,2,5.35625,0.69,1.712,0.53,1
10,2,2,4.8875,0.569,1.415,0.51,1
10,2,2,5.975,0.609,1.695,0.49,1
10,2,2,3.63125,0.701,0.97,0.47,1
10,1,1,5.875,0.587,1.621,0.45,1
10,2,2,5.58125,0.781,1.16,0.43,1
10,2,2,4.0875,0.684,1.024,0.41,1
10,1,1,2.2,1.05,1.215,0.39,1
10,1,2,1.75,1.524,1.339,0.41,0
10,2,2,5.99375,0.33,1.558,0.43,1
10,1,2,5.3375,0.798,1.293,0.45,0
10,2,2,4.13125,0.747,1.2,0.47,1
10,2,2,5.94375,0.401,1.835,0.45,1
10,1,1,2.83125,1.328,0.787,0.43,1
10,1,1,3.1625,0.984,0.882,0.41,1
10,2,2,6,0.383,1.288,0.39,1
