Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,Coherence,Condition,Volatility,Training
1,1,1,6,NaN,NaN,1.6166,0,0,0,0
1,0,0,6,NaN,NaN,1.4331,0.1,0,0,0
1,0,1,6,NaN,NaN,1.2498,0.05,0,0,0
1,1,1,6,NaN,NaN,0.78314,0.05,0,1,0
1,0,0,6,NaN,NaN,0.91657,0.4,0,1,0
1,1,1,6,NaN,NaN,0.73323,0.4,0,1,0
1,1,0,5,NaN,NaN,1.4665,0,0,1,0
1,0,0,5,NaN,NaN,1.2165,0.1,0,1,0
1,1,1,5,NaN,NaN,1.2336,0.2,0,0,0
1,1,1,5,NaN,NaN,0.7669,0.1,0,1,0
1,0,0,5,NaN,NaN,0.63318,0.4,0,0,0
1,0,1,5,NaN,NaN,2.5665,0.05,0,1,0
1,0,0,5,NaN,NaN,1.3336,0.1,0,1,0
1,0,0,6,NaN,NaN,1.1003,0,0,0,0
1,1,0,4,NaN,NaN,1.2165,0,0,0,0
1,0,0,6,NaN,NaN,1.1332,0.4,0,1,0
1,0,1,4,NaN,NaN,1.6665,0,0,1,0
1,1,1,5,NaN,NaN,0.96696,0.4,0,0,0
1,0,1,5,NaN,NaN,2.5665,0,0,1,0
1,0,0,6,NaN,NaN,0.98317,0.4,0,0,0
1,0,1,6,NaN,NaN,1.2665,0.05,0,1,0
1,1,1,4,NaN,NaN,1.4166,0.1,0,0,0
1,1,1,4,NaN,NaN,1.5669,0.1,0,0,0
1,0,0,6,NaN,NaN,0.8836,0.4,0,0,0
1,1,0,4,NaN,NaN,1.3332,0.05,0,0,0
1,0,0,5,NaN,NaN,1.8002,0.05,0,0,0
1,0,0,4,NaN,NaN,1.4832,0.1,0,0,0
1,1,1,6,NaN,NaN,1.5669,0.2,0,1,0
1,0,0,6,NaN,NaN,1.5498,0,0,0,0
1,1,1,6,NaN,NaN,1.2165,0.4,0,0,0
1,0,0,4,NaN,NaN,1.9831,0.05,0,0,0
1,1,1,4,NaN,NaN,0.98361,0.05,0,0,0
1,1,1,6,NaN,NaN,1.9332,0.2,0,0,0
1,1,1,6,NaN,NaN,2.0836,0.1,0,1,0
