Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Condition,Training
1,2,2,4,0.25147727500007,0.288237873999833,0.03,1,0
1,1,1,4,0.256758966000007,0.245898477000082,0.02,1,0
1,2,2,4,0.26787539399993,0.272172812999997,0.02,1,0
1,2,1,4,0.269175544000063,0.241553242999998,0.02,1,0
1,1,2,4,0.259936718000063,0.264083918000097,0.03,1,0
1,2,1,4,0.329773423999995,0.20352911000009,0.04,1,0
1,1,2,4,0.255178562000083,0.260449409000103,0.05,1,0
1,2,2,4,0.25363881699991,0.274789270000156,0.06,1,0
1,1,1,1,0.938550835999877,0.371605061999844,0.05,0,0
1,1,1,1,0.612641965999956,0.250448129999995,0.05,0,0
1,1,1,1,1.2682414379999,0.223385923000023,0.03,0,0
1,1,2,1,0.598537555000121,0.493269726000108,0.03,0,0
1,1,1,2,0.657289265000145,0.373880766000184,0.05,0,0
1,1,1,2,0.694913869000175,0.265382889999955,0.05,0,0
1,2,2,2,0.458401362000131,0.359149551999963,0.04,0,0
1,1,1,3,1.38870847900012,0.29115114199999,0.04,0,0
1,2,1,2,0.471427608000113,0.339705487999936,0.03,0,0
1,1,2,2,0.533453141000109,0.447045322000122,0.04,0,0
1,2,2,3,0.860836817000063,0.616554837999956,0.05,0,0
1,1,1,3,0.550946381000358,0.367721005000021,0.05,0,0
1,2,1,3,0.31669415999977,0.286881793999783,0.04,0,0
1,1,1,3,0.651260659999934,0.319524497999737,0.05,0,0
1,2,1,2,1.52653634000035,0.535342922999916,0.05,0,0
1,1,1,1,0.349390133999805,0.366428224000174,0.06,0,0
1,2,2,2,0.603298152000207,0.737870269999803,0.06,0,0
1,1,1,2,0.259563563000029,0.359921867000139,0.05,0,0
1,1,1,2,0.445332468999823,0.2979978139997,0.05,0,0
1,1,1,2,0.28656140000021,0.209968970999853,0.04,0,0
1,1,1,2,0.000187224000001152,0.0531633979999242,0.04,0,0
1,2,1,2,0.102839301000131,0.113973486999839,0.03,0,0
1,2,1,2,0.23821247900014,0.0677748320003957,0.04,0,0
1,1,2,1,0.237159001999771,0.178759262999847,0.05,0,0
1,2,1,1,0.316238940999938,0.190173257999959,0.06,0,0
1,2,2,1,0.402906167999845,0.289542755000184,0.07,0,0
1,2,1,1,0.109844691000035,0.168458701999953,0.07,0,0
1,1,2,1,0.23738163500002,0.22709443299982,0.08,0,0
1,1,1,4,0.346150272000159,0.298861349000163,0.09,0,0
1,2,2,3,1.72728421400006,0.263519029000236,0.09,0,0
1,1,1,4,0.253298253999674,0.22613312500016,0.08,0,0
1,2,2,4,0.245209823000096,0.234349838999606,0.08,0,0
1,1,1,4,0.0968365530002302,0.284234718000334,0.07,0,0
