Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy
2,R,R,329.03,0.397,3.812,Congr,1
2,L,L,283.46,0.546,6.153,Neutr,1
2,R,R,284.82,0.36,4.538,Congr,1
2,R,R,281.39,0.485,2.055,Neutr,1
2,R,R,338.96,0.455,5.773,Incongr,1
2,L,L,266.46,0.618,8.59,Congr,1
2,L,L,313.27,0.36,4.617,Congr,1
2,L,L,322.1,0.346,2.991,Incongr,1
2,R,R,277.63,0.406,3.239,Congr,1
2,R,R,276.24,0.468,5.914,Congr,1
2,R,R,304.2,1.022,3,Neutr,1
2,R,R,337.55,0.451,4.729,Neutr,1
2,R,R,314.91,0.462,10.576,Congr,1
2,R,R,323.83,0.365,2.605,Congr,1
2,L,L,273.53,0.349,4.816,Congr,1
2,R,L,47.72,0.322,2.747,Neutr,0
2,L,L,267.49,0.419,4.347,Congr,1
2,L,L,333.11,0.398,2.909,Neutr,1
2,L,L,316.71,0.362,4.5,Neutr,1
2,R,R,318.39,0.441,2.15,Incongr,1
2,L,L,282.98,0.412,3.194,Incongr,1
2,R,R,224.69,0.428,5.201,Incongr,1
2,R,R,304.04,0.402,3.271,Neutr,1
2,R,R,316.84,0.43,3.343,Neutr,1
2,L,L,263.36,0.465,1.841,Neutr,1
2,L,L,213.38,0.436,1.701,Congr,1
2,R,R,173.1,0.745,2.436,Neutr,1
2,R,R,292.96,0.372,3.977,Congr,1
2,R,R,267.72,0.4,2.291,Congr,1
2,L,L,222.44,0.433,3.058,Neutr,1
2,L,L,342.53,0.476,4.199,Incongr,1
2,R,R,321.03,0.406,6.065,Incongr,1
2,L,L,267.63,0.42,3.314,Incongr,1
2,R,R,285,0.42,3.223,Neutr,1
2,L,L,296.07,0.439,4.805,Incongr,1
2,L,L,298.09,0.477,3.771,Neutr,1
2,R,R,306.39,0.407,3.062,Congr,1
2,L,L,297.5,0.415,1.995,Congr,1
2,R,R,335.94,0.5,2.636,Neutr,1
2,R,R,352.83,0.424,3.533,Neutr,1
2,L,L,344.57,0.38,3.785,Neutr,1
2,R,R,329.16,0.462,5.769,Neutr,1
2,L,L,157.6,0.469,2.19,Incongr,1
2,R,R,299.27,0.493,3.698,Incongr,1
2,L,L,203.6,0.727,3.688,Congr,1
2,R,R,324.67,0.426,5.133,Incongr,1
2,L,L,341.86,0.413,4.306,Neutr,1
2,R,R,336.64,0.533,4.75,Neutr,1
2,L,L,329.42,0.368,6.501,Incongr,1
2,L,L,340.16,0.615,3.247,Incongr,1
2,R,R,320.04,0.458,4.97,Incongr,1
2,L,L,327.18,0.505,2.306,Neutr,1
2,R,R,273.5,0.356,2.859,Congr,1
2,L,L,339.91,0.356,6.488,Congr,1
2,L,L,265.17,0.609,3.851,Incongr,1
2,R,R,345.3,0.442,4.618,Incongr,1
2,L,L,270.91,0.497,2.691,Neutr,1
2,L,L,310.46,0.353,3.821,Neutr,1
2,R,R,255.73,0.363,3.169,Congr,1
2,L,L,298.34,0.334,3.14,Incongr,1
2,R,R,329.87,0.371,5.197,Neutr,1
2,R,R,321.29,0.433,2.14,Neutr,1
2,L,L,318.66,0.417,1.925,Incongr,1
2,L,L,302.43,0.329,4.007,Congr,1
2,R,R,308.61,0.373,3.018,Neutr,1
2,R,R,351.51,0.487,5.312,Neutr,1
2,L,L,262.73,0.418,1.671,Incongr,1
2,R,R,309.9,0.355,4.302,Congr,1
2,L,L,340.93,0.449,6.328,Congr,1
2,L,L,338.84,0.343,2.628,Congr,1
2,L,L,327.86,0.344,2.065,Neutr,1
2,L,L,329.32,0.388,1.89,Neutr,1
2,L,L,335.47,0.349,4.213,Neutr,1
2,L,L,335.74,0.618,4.724,Congr,1
2,L,L,342.44,0.497,2.816,Congr,1
2,L,L,333.89,0.37,4.043,Neutr,1
2,R,R,276.91,0.435,2.703,Incongr,1
2,L,L,290.05,0.426,2.629,Incongr,1
2,L,L,321.35,0.339,2.166,Congr,1
2,R,R,315.23,0.374,3.875,Congr,1
2,R,R,296.67,0.366,4.734,Congr,1
2,R,R,318.65,0.473,2.044,Incongr,1
2,R,R,316.84,0.46,1.698,Neutr,1
2,L,L,242.93,0.456,1.96,Congr,1
2,R,R,296.04,0.451,5.684,Congr,1
2,R,R,308.34,0.359,4.85,Congr,1
2,L,L,327.83,0.351,3.435,Neutr,1
2,L,L,335.58,0.382,4.187,Neutr,1
2,R,R,319.84,0.434,3.272,Incongr,1
2,R,R,327.52,0.416,5.029,Congr,1
2,L,L,325.47,0.501,5.033,Neutr,1
2,L,L,325.84,0.527,2.533,Incongr,1
2,R,R,296,0.456,2.803,Incongr,1
2,R,R,352,0.462,3.625,Neutr,1
2,L,L,300.7,0.454,3.672,Neutr,1
2,R,R,332.02,0.408,2.262,Neutr,1
2,R,R,322.23,0.413,3.454,Congr,1
2,L,L,227.4,0.571,2.559,Incongr,1
2,R,R,292.13,0.425,2.742,Neutr,1
2,L,L,338.48,0.373,1.747,Congr,1
2,L,L,325.91,0.398,2.076,Incongr,1
2,L,L,352.07,0.381,3.904,Congr,1
2,L,L,351.31,0.339,2.807,Neutr,1
2,L,L,333.73,0.349,4.024,Neutr,1
2,L,L,328.78,0.4,2.95,Incongr,1
2,L,L,342.78,0.35,2.314,Incongr,1
2,R,R,262.53,0.463,2.377,Congr,1
2,R,R,327.51,0.402,3.876,Incongr,1
2,L,L,326.24,0.395,2.587,Congr,1
2,L,L,326.97,0.455,3.871,Incongr,1
2,R,R,306.96,0.437,3.374,Neutr,1
2,R,R,342.03,0.552,2.348,Incongr,1
2,R,R,282.71,0.358,3.527,Neutr,1
2,R,R,340.62,0.302,3.334,Congr,1
2,R,R,339.01,0.439,2.527,Incongr,1
2,L,L,335.5,0.352,4.055,Congr,1
2,L,R,69.39,0.278,2.393,Incongr,0
2,R,R,271.07,0.424,1.755,Incongr,1
2,L,L,284.79,0.381,1.835,Congr,1
2,R,R,312.67,0.425,1.873,Incongr,1
2,R,R,330.83,0.364,2.878,Congr,1
2,R,R,337.12,0.359,2.247,Incongr,1
2,R,R,303.41,0.443,2.364,Incongr,1
2,L,L,336.91,0.47,2.55,Incongr,1
2,R,R,316.34,0.393,2.229,Congr,1
2,R,R,231.8,0.61,2.141,Neutr,1
2,R,R,330.92,0.358,2.82,Neutr,1
2,L,L,344.14,0.439,3.598,Incongr,1
2,L,L,314.01,0.41,2.245,Congr,1
2,R,R,222.85,0.412,4.044,Neutr,1
2,L,L,316.07,0.373,3.324,Neutr,1
2,L,L,324.89,0.364,1.943,Incongr,1
2,L,L,314.22,0.422,3.178,Incongr,1
2,L,L,341.27,0.358,2.673,Congr,1
2,R,R,197.91,0.46,2.978,Incongr,1
2,R,R,306.21,0.473,2.582,Neutr,1
2,R,R,328.87,0.542,3.022,Congr,1
2,R,R,335.41,0.338,2.729,Neutr,1
2,L,L,334.65,0.427,2.017,Congr,1
