Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Task,Catch_trial,ContrastOrTilt
1,0,0,1,0.335,0.405,1,0,5.5
1,0,0,1,0.469,0.416,1,0,5.5
1,1,0,1,0.415,0.366,1,0,5.5
1,0,0,1,0.017,0.433,1,0,5.5
1,1,0,1,0.293,1.613,1,0,5.5
1,1,0,1,0.27,0.433,1,0,5.5
1,1,0,1,0.541,0.509,1,0,5.5
1,1,0,1,0.281,1.449,1,0,5.5
1,0,0,1,0.379,0.272,1,0,5.5
1,1,0,1,0.481,0.292,1,0,5.5
1,0,0,1,0.501,0.352,1,0,5.5
1,1,0,1,0.654,0.447,1,0,5.5
1,0,0,1,0.494,0.336,1,0,5.5
1,0,0,1,0.49,0.351,1,0,5.5
1,1,0,1,0.303,0.31,1,0,5.5
1,1,0,1,0.551,0.336,1,0,5.5
1,0,0,1,0.619,0.312,1,0,5.5
1,0,0,1,0.325,0.328,1,0,5.5
1,1,0,1,0.403,0.527,1,0,5.5
1,1,0,1,0.121,0.391,1,0,5.5
1,1,0,1,0.206,0.431,1,0,5.5
1,0,0,1,0.208,3.731,1,0,5.5
1,0,0,1,19.117,0.319,1,0,5.5
1,1,0,1,0.355,0.311,1,0,5.5
1,0,0,1,0.342,0.351,1,0,5.5
1,1,0,1,0.282,0.351,1,0,5.5
1,0,0,1,0.353,0.351,1,0,5.5
1,0,0,4,2.251,1.271,1,1,15
1,1,0,1,0.645,0.283,1,0,5.5
1,1,0,1,0.384,0.304,1,0,5.5
1,1,0,1,0.309,0.392,1,0,5.5
1,0,0,1,0.409,0.311,1,0,5.5
1,0,0,1,0.359,0.256,1,0,5.5
1,0,0,1,0.363,0.311,1,0,5.5
1,1,0,1,0.402,1.168,1,0,5.5
1,1,0,1,0.38,0.367,1,0,5.5
1,0,0,1,0.056,0.392,1,0,5.5
1,0,0,1,0.356,0.714,1,0,5.5
1,0,0,1,0.378,0.416,1,0,5.5
1,1,0,1,0.397,0.864,1,0,5.5
1,0,0,1,0.442,0.543,1,0,5.5
1,0,0,1,0.311,0.407,1,0,5.5
1,1,0,1,0.328,0.392,1,0,5.5
1,0,0,1,0.399,0.359,1,0,5.5
1,0,0,1,0.083,0.368,1,0,5.5
1,0,0,1,0.521,0.376,1,0,5.5
1,1,0,1,0.327,0.334,1,0,5.5
1,0,0,1,0.314,0.296,1,0,5.5
1,0,0,1,0.29,0.352,1,0,5.5
1,0,0,1,0.355,1.871,1,0,5.5
1,0,0,1,0.398,0.335,1,0,5.5
1,1,0,1,0.488,0.488,1,0,5.5
1,1,0,1,0.382,0.364,1,0,5.5
1,0,0,1,0.344,0.509,1,0,5.5
1,1,0,1,0.033,0.387,1,0,5.5
1,0,0,1,0.197,0.422,1,0,5.5
1,1,0,1,0.411,1.207,1,0,5.5
1,0,0,1,0.373,0.351,1,0,5.5
1,0,0,1,0.036,0.372,1,0,5.5
1,1,1,3,1.297,0.775,1,0,5.5
1,1,0,1,1.151,0.23,1,0,5.5
1,0,0,1,0.33,0.352,1,0,5.5
1,0,0,1,0.343,0.352,1,0,5.5
1,0,0,1,0.302,0.337,1,0,5.5
1,0,0,1,0.546,0.471,1,0,5.5
1,1,0,1,0.393,0.359,1,0,5.5
1,0,0,1,0.551,0.35,1,0,5.5
1,0,0,4,0.793,0.92,1,1,15
1,0,0,2,0.765,0.433,1,0,5.5
1,0,0,3,0.776,0.404,1,0,5.5
1,1,1,3,1.107,0.624,1,0,5.5
1,1,0,1,0.567,0.31,1,0,5.5
1,1,0,2,0.857,0.512,1,0,5.5
1,1,0,2,1.776,0.183,1,0,5.5
1,1,0,1,0.806,0.304,1,0,5.5
1,0,0,2,0.461,1.128,1,0,5.5
1,1,0,1,0.484,0.391,1,0,5.5
1,0,0,1,0.675,0.374,1,0,5.5
1,1,0,1,0.44,0.374,1,0,5.5
1,0,0,1,0.361,0.367,1,0,5.5
1,0,0,2,0.817,0.776,1,0,5.5
1,1,0,1,0.324,0.328,1,0,5.5
1,1,0,1,0.076,0.375,1,0,5.5
1,1,0,1,0.431,0.335,1,0,5.5
1,1,0,1,0.293,0.431,1,0,5.5
1,0,0,1,0.343,0.335,1,0,5.5
1,0,0,2,0.534,0.376,1,0,5.5
1,1,1,4,0.887,0.602,1,1,15
2,0,0,3,1.497,1.495,1,0,5.5
2,0,0,1,1.896,1.39,1,0,5.5
