Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Accuracy,Training
1,1,2,0.9206,1.2335,1.0494,0.0667,0,0
1,1,1,0.7619,0.6169,0.9077,0.1333,1,0
1,2,1,-1,0.8501,1.3495,0.0083,0,0
1,1,1,-0.8125,0.3002,0.7911,0.0083,1,0
1,1,1,-0.836,1.0751,0.8494,0.0167,1,0
1,2,1,-0.6953,1.6584,0.8744,0.0333,0,0
1,1,2,0.5873,1.5334,0.9161,0.0083,0,0
1,2,1,-1,1.6917,0.8911,0.0667,0,0
1,2,1,-1,0.5669,0.8161,0.0333,0,0
1,2,1,-0.6641,0.3585,1.4577,0.0667,0,0
1,1,1,-0.875,1.2752,0.941,0.0333,1,0
1,1,1,-0.8672,1.3502,1.7077,0.0167,1,0
1,2,1,-1,0.9168,1.716,0.0333,0,0
1,2,1,-0.8672,0.9334,0.966,0.0083,0,0
1,2,1,-0.8907,0.3002,1.6827,0.0167,0,0
1,2,2,0.7619,0.6002,2.3993,0.1333,1,0
1,1,2,-0.8672,0.7252,1.5327,0.0167,0,0
1,1,1,0.7143,0.7002,1.4077,0.1333,1,0
1,1,2,-0.9453,0.7169,1.6493,0.1333,0,0
1,2,1,-0.8907,0.7418,1.4993,0.0083,0,0
1,1,1,-0.8907,0.7168,1.0411,0.0333,1,0
1,2,1,-0.7188,1.0335,1.7077,0.0083,0,0
1,1,1,0.7381,0.6502,1.2411,0.1333,1,0
1,2,2,0.6587,0.6418,1.0744,0.1333,1,0
1,1,1,-0.9453,1.0334,1.1578,0.0333,1,0
1,2,1,-0.8985,1.6084,1.3327,0.0167,0,0
1,1,1,-0.8594,0.5834,1.6662,0.0083,1,0
1,2,2,0.9206,0.7168,0.8828,0.1333,1,0
1,1,1,-0.836,1.4251,1.7661,0.0333,1,0
1,1,1,-0.8594,0.8919,1.2993,0.0167,1,0
1,2,1,-1,0.6835,1.716,0.0667,0,0
1,2,1,-0.4453,1.3585,0.8494,0.0083,0,0
1,2,2,0.6587,0.8834,0.9994,0.0667,1,0
1,1,1,-0.6485,1.2834,0.866,0.0167,1,0
1,1,1,-0.7969,1.0002,1.016,0.0083,1,0
1,1,1,0.8968,0.9001,1.2161,0.1333,1,0
1,1,1,1,0.6418,1.2077,0.1333,1,0
1,2,1,-0.9141,1.6084,0.8661,0.0333,0,0
1,2,2,0.8016,0.7835,1.0827,0.1333,1,0
1,1,1,0.6905,1.0251,1.0744,0.0667,1,0
1,1,1,0.8412,0.6085,1.0328,0.1333,1,0
1,2,2,0.9603,0.9918,0.8161,0.0667,1,0
1,1,1,-0.961,0.6169,1.0744,0.0333,1,0
1,1,1,-0.7422,1.3835,1.216,0.0083,1,0
1,1,1,-0.7266,0.8502,1.416,0.0083,1,0
1,1,1,-0.7266,1.5752,2.9159,0.0167,1,0
1,2,1,-0.711,2.0501,0.766,0.0333,0,0
1,1,1,0.6349,0.7335,1.141,0.1333,1,0
1,1,1,0.7778,1.3418,1.1077,0.0083,1,0
1,2,1,0.7222,1.7168,1.0244,0.0667,0,0
