Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Prediction_Success,Trial_count,Block_count,Accuracy
AC,1,1,2,2,0.271040231,0.881732821,0.282511771,2,9,7,1
AC,2,2,1,1,2.233746052,2.529433966,0.68241024,1,10,7,1
AC,1,1,2,1,1.552371979,1.763954997,1.400041699,1,11,7,1
AC,1,1,2,2,0.399467617,1.658101559,0.282485604,1,12,7,1
AC,1,1,1,2,0.246799663,0.65866363,0.305413693,2,13,7,1
AC,1,1,1,1,1.600389123,3.646178007,0.68145889,1,14,7,1
AC,2,2,2,2,0.459287852,1.222822428,0.199029639,1,15,7,1
AC,2,2,1,2,0.611288965,0.482635587,0.128406212,1,16,7,1
AC,2,2,2,1,1.187867641,0.599336565,0.599915206,1,17,7,1
AC,2,2,2,1,1.375009894,1.694279909,0.576512814,2,18,7,1
AC,1,1,1,2,0.327982932,0.528733552,0.247201994,1,19,7,1
AC,1,1,1,1,1.482340336,0.681672156,0.588766277,2,20,7,1
AC,2,2,2,2,0.269201845,0.506195843,0.247082636,2,21,7,1
