Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy
9,p11_rpm.gif,Option 6,60,56.883,2.255,6,1
9,p13_rpm.gif,Option 2,0,40.973,4.51,7,0
9,p15_rpm.gif,Option 5,80,18.785,2.541,8,0
9,p17_rpm.gif,Option 4,40,36.929,1.886,9,0
9,p19_rpm.gif,Option 4,40,44.516,1.851,10,1
9,p21_rpm.gif,Option 5,40,44.883,2.579,11,0
9,p23_rpm.gif,Option 7,60,49.925,1.878,12,1
9,p25_rpm.gif,Option 2,20,62.309,1.267,13,0
9,p27_rpm.gif,Option 5,20,74.419,3.241,14,0
9,p29_rpm.gif,Option 7,0,76,0.861,15,1
9,p31_rpm.gif,Option 5,20,168.004,2.634,16,1
9,p33_rpm.gif,Option 5,0,144.089,5.315,17,0
9,p34_rpm.gif,Option 4,20,81.812,1.036,18,0
9,p35_rpm.gif,Option 2,NaN,41.565,NaN,19,0
9,p36_rpm.gif,NaN,NaN,NaN,NaN,20,NaN
10,p1_rpm.gif,Option 9,80,16.33,5.292,1,0
10,p3_rpm.gif,Option 8,100,21.046,1.903,2,1
10,p5_rpm.gif,Option 4,100,30.618,1.731,3,1
10,p7_rpm.gif,Option 7,80,34.422,4.812,4,1
10,p9_rpm.gif,Option 9,20,62.983,1.86,5,1
10,p11_rpm.gif,Option 6,100,32.507,1.79,6,1
10,p13_rpm.gif,Option 3,80,33.253,1.443,7,1
10,p15_rpm.gif,Option 3,80,34.018,5.287,8,1
10,p17_rpm.gif,Option 7,80,28.137,3.384,9,1
10,p19_rpm.gif,Option 6,20,79.701,1.783,10,0
10,p21_rpm.gif,Option 9,60,35.68,3.771,11,1
10,p23_rpm.gif,Option 6,60,65.72,1.774,12,0
10,p25_rpm.gif,Option 5,60,51.67,2.61,13,0
10,p27_rpm.gif,Option 7,20,67.759,1.25,14,0
10,p29_rpm.gif,Option 7,60,107.5,2.269,15,1
10,p31_rpm.gif,Option 6,80,40.106,3.142,16,0
10,p33_rpm.gif,Option 7,60,125.25,2.693,17,0
10,p34_rpm.gif,Option 6,20,45.527,1.966,18,0
10,p35_rpm.gif,Option 5,0,83.165,1.216,19,0
10,p36_rpm.gif,Option 6,40,50.08,3.293,20,0
11,p1_rpm.gif,Option 6,60,12.108,4.65,1,1
11,p3_rpm.gif,Option 8,100,12.232,1.968,2,1
11,p5_rpm.gif,Option 4,80,16.017,3.624,3,1
11,p7_rpm.gif,Option 3,40,20.486,1.574,4,0
11,p9_rpm.gif,Option 9,60,19.457,2.114,5,1
11,p11_rpm.gif,Option 6,100,21.167,1.53,6,1
11,p13_rpm.gif,Option 6,100,9.416,1.788,7,0
11,p15_rpm.gif,Option 3,80,16.95,2.142,8,1
11,p17_rpm.gif,Option 7,60,11.481,2.344,9,1
