"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Condition"
"1",1,1,22.6399739583333,1.325,1.632949768,0.36,"congruent"
"1",1,0,90.9635416666667,1.391,1.766122787,0.41,"incongruent"
"1",1,0,35.3624131944444,0.834,1.249765407,0.36,"incongruent"
"1",1,0,3.5986328125,3.162,1.015235552,0.36,"incongruent"
"1",0,1,85.4269748263889,1.303,1.36631443,-0.31,"incongruent"
"1",1,0,63.251953125,1.343,1.665923061,0.31,"incongruent"
"1",0,1,97.0871310763889,0.989,0.865288867,-0.26,"incongruent"
"1",0,1,95.8702256944444,0.619,0.965998402,-0.15,"incongruent"
"1",1,0,76.6238064236111,2.651,2.499707323,0.27,"incongruent"
"1",0,1,76.0172526041667,1.451,1.648834546,-0.21,"incongruent"
"1",0,1,87.1652560763889,1.341,1.299303434,-0.26,"incongruent"
"1",0,1,82.1430121527778,1.524,1.132640015,-0.29,"congruent"
"1",0,1,84.1200086805556,0.773,1.932880331,-0.16,"incongruent"
"1",1,1,65.1833767361111,0.578,1.181699046,0.23,"congruent"
"1",0,1,93.8932291666667,0.746,1.3158477,-0.16,"incongruent"
"1",0,1,77.5,1.231,1.215898033,-0.2,"congruent"
"1",0,1,86.7898220486111,0.698,1.216206597,-0.24,"incongruent"
"1",0,1,82.4332682291667,0.711,1.198819005,-0.16,"congruent"
"1",0,1,67.1327039930556,1.307,1.699020424,-0.16,"incongruent"
"1",0,1,85.9716796875,0.684,0.999201929,-0.27,"congruent"
"1",0,1,79.5627170138889,1.329,1.332181992,-0.24,"incongruent"
"1",1,1,70.6439887152778,1.564,1.399310766,0.21,"congruent"
"1",0,1,85.2517361111111,1.335,1.548974793,-0.16,"incongruent"
"1",0,1,71.3161892361111,1.341,1.699142864,-0.16,"incongruent"
"1",0,1,81.7371961805556,1.237,1.599522692,-0.16,"incongruent"
"1",1,0,72.0762803819444,1.072,2.115825367,0.28,"incongruent"
"1",0,1,77.0686848958333,1.404,2.316516841,-0.16,"incongruent"
"1",0,1,95.2777777777778,0.682,1.432617004,-0.36,"incongruent"
"1",0,1,84.1449652777778,0.757,1.166017409,-0.16,"incongruent"
"1",0,1,82.958984375,1.21,1.315746963,-0.24,"congruent"
"1",0,1,96.0237630208333,1.309,1.749378503,-0.16,"incongruent"
"1",1,1,63.1553819444444,1.327,1.43235034,0.16,"incongruent"
"1",1,0,100,3.652,1.299477425,0.46,"congruent"
"1",1,1,64.3793402777778,0.919,1.516296712,0.21,"incongruent"
"1",1,1,83.4597439236111,0.803,1.382806688,0.26,"congruent"
"1",0,1,98.8639322916667,1.314,1.266169848,-0.26,"incongruent"
"1",1,1,16.7274305555556,1.514,1.298770646,0.39,"congruent"
"1",0,1,68.3289930555556,1.565,1.315799411,-0.26,"incongruent"
"1",0,1,72.7229817708333,0.589,1.265687095,-0.22,"congruent"
"1",0,1,74.1254340277778,1.377,1.715561879,-0.16,"incongruent"
"1",0,1,34.5665147569444,1.343,1.115503403,-0.21,"incongruent"
"1",0,1,85.7937282986111,0.937,1.048792263,-0.56,"congruent"
"1",0,1,75.8913845486111,1.358,1.465542206,-0.15,"incongruent"
"1",0,1,85.6005859375,1.322,1.182001926,-0.51,"congruent"
"1",1,1,22.9155815972222,2.777,2.549751383,0.16,"incongruent"
"1",0,1,32.2151692708333,2.445,1.299354961,-0.21,"incongruent"
"1",0,1,94.2144097222222,1.195,1.18279228,-0.29,"incongruent"
"1",1,0,85.2880859375,2.007,1.049229044,0.37,"congruent"
"1",1,0,43.4971788194444,0.79,1.533141505,0.18,"incongruent"
"1",1,1,80.8637152777778,1.588,1.032643559,0.16,"congruent"
"1",0,1,83.6735026041667,2.201,1.532655968,-0.15,"incongruent"
"1",1,1,53.5091145833333,2.216,1.432314841,0.16,"incongruent"
"1",0,1,83.896484375,0.745,1.983488542,-0.21,"incongruent"
"1",1,1,82.1620008680556,0.687,2.616119972,0.23,"congruent"
"1",1,1,32.8168402777778,1.577,2.049971251,0.21,"incongruent"
"1",0,1,73.5590277777778,0.723,2.26622422,-0.26,"incongruent"
"1",0,1,83.2367621527778,0.857,1.649221605,-0.16,"congruent"
"1",0,1,95.6944444444444,1.17,1.249239365,-0.16,"incongruent"
"1",0,1,100,0.711,1.032410342,-0.16,"incongruent"
"1",1,0,99.4390190972222,1.276,0.816000236,0.56,"congruent"
"1",0,1,91.4474826388889,0.621,1.332871719,-0.56,"congruent"
"1",0,1,92.4603949652778,1.138,1.115840856,-0.15,"incongruent"
"1",1,0,77.8580729166667,1.323,1.049166856,0.16,"incongruent"
"1",1,0,84.9251302083333,1.961,1.615183382,0.29,"congruent"
"1",1,0,92.9503038194444,0.469,1.282628566,0.51,"congruent"
"1",0,0,6.51258680555556,1.912,0.96590247,-0.16,"incongruent"
"1",1,0,85.8582899305556,1.049,1.732229964,0.47,"congruent"
"1",0,1,86.2445746527778,1.233,1.399440524,-0.46,"congruent"
"1",1,0,26.6954210069444,1.493,1.899161139,0.21,"incongruent"
"1",0,1,100,1.209,1.132314394,-0.46,"congruent"
"1",1,0,73.9474826388889,1.256,1.682266035,0.21,"incongruent"
"1",1,1,81.0411241319444,0.793,1.78306555,0.16,"incongruent"
"1",1,1,14.2306857638889,2.601,1.249544927,0.21,"incongruent"
"1",1,0,34.5822482638889,1.002,2.049733104,0.26,"incongruent"
"1",1,1,67.2216796875,1.72,1.866066005,0.19,"congruent"
"1",1,0,86.1203342013889,2.74,2.1330296,0.26,"incongruent"
"1",1,1,15.3434244791667,2.679,1.89900163,0.21,"incongruent"
"1",1,0,100,1.161,0.965292616,0.46,"congruent"
"1",1,1,16.5760633680556,5.7,1.348588615,0.26,"congruent"
"1",0,1,64.5567491319444,0.614,1.015759021,-0.22,"congruent"
"1",0,1,98.1575520833333,0.579,1.516039215,-0.46,"congruent"
"1",1,1,4.10970052083333,4.241,0.899055634,0.15,"congruent"
"1",1,0,91.3888888888889,0.667,0.94890021,0.16,"incongruent"
"1",1,1,36.2358940972222,2.346,1.282426505,0.31,"incongruent"
"1",1,1,73.2052951388889,0.766,1.532236774,0.36,"incongruent"
"1",0,1,77.4717881944444,0.89,2.116674814,-0.46,"congruent"
"1",0,1,87.0713975694444,1.336,1.482508495,-0.22,"congruent"
