Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy,Feedback,Study
1,1,1,0.8,0.835947,0.683772,1,1,0,1
1,1,1,0.7,1.26755,0.303142,2,1,0,1
1,2,2,0.8,0.997151,0.819875,1,1,0,1
1,2,1,0.7,1.21698,0.787247,2,0,0,1
1,1,1,0.6,1.24622,1.38687,1,1,0,1
1,2,2,0.7,1.22496,0.491101,2,1,0,1
1,1,1,0.8,1.08106,0.279542,1,1,0,1
1,2,1,0.8,1.09616,0.932205,2,0,0,1
1,1,1,0.7,1.125,1.45661,1,1,0,1
1,2,1,0.6,2.18413,0.500904,2,0,0,1
1,1,1,0.7,1.23902,0.620101,2,1,0,1
1,1,1,0.6,1.22105,0.356353,2,1,0,1
1,1,2,0.6,2.90089,0.459554,2,0,0,1
1,1,1,0.7,1.18167,0.332729,1,1,0,1
1,1,1,1,1.11041,0.612104,1,1,0,1
1,2,2,0.9,1.05753,0.31086,1,1,0,1
1,1,1,0.8,1.58016,0.451209,1,1,0,1
1,2,2,0.7,1.42853,0.491417,1,1,0,1
1,2,2,0.8,1.22892,0.627178,1,1,0,1
1,2,2,0.8,1.05649,1.64703,1,1,0,1
1,1,1,0.8,1.06025,0.940327,1,1,0,1
1,2,2,0.9,1.05659,0.495305,1,1,0,1
1,1,1,0.8,1.09096,0.356233,2,1,0,1
1,1,1,0.7,0.969753,0.244441,2,1,0,1
1,2,2,0.8,1.04714,1.39267,1,1,0,1
1,1,2,0.6,2.02006,0.651276,1,0,0,1
1,2,1,0.5,2.02555,0.64374,2,0,0,1
1,2,2,0.7,1.00295,0.86714,1,1,0,1
1,1,1,0.7,0.651352,1.19551,1,1,0,1
1,2,1,0.6,1.00242,0.8046,2,0,0,1
1,2,2,0.8,1.05175,0.235286,1,1,0,1
1,2,2,0.9,0.574802,0.276591,1,1,0,1
1,2,2,0.8,0.703677,0.274299,1,1,0,1
1,2,2,0.7,1.0435,0.345139,2,1,0,1
1,2,2,0.8,0.724322,0.963726,1,1,0,1
1,1,2,0.7,0.963324,0.346558,2,0,0,1
1,1,2,0.6,1.63605,0.291534,2,0,0,1
1,1,1,0.8,0.655014,1.28257,1,1,0,1
1,2,1,0.7,1.29934,0.411004,2,0,0,1
1,2,2,0.7,1.0656,0.885515,2,1,0,1
1,1,1,0.7,1.00074,0.503079,1,1,0,1
1,2,2,0.8,0.737837,0.365727,2,1,0,1
1,2,2,0.8,0.946294,1.10629,1,1,0,1
1,1,1,0.7,0.977473,1.18715,1,1,0,1
1,2,1,0.6,0.925034,0.993472,2,0,0,1
1,1,1,0.8,0.708761,0.559971,1,1,0,1
1,1,1,0.7,0.796315,0.771783,1,1,0,1
1,1,1,0.7,0.892038,0.89558,1,1,0,1
1,2,2,0.7,0.711687,1.00308,1,1,0,1
1,2,2,0.5,1.14838,0.532481,2,1,0,1
1,1,1,0.6,1.15876,2.12763,1,1,0,1
1,1,1,0.7,1.47685,0.346561,2,1,0,1
