Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Trial_number,Skin_site,raw_Confidence_NotReverseCoded,raw_Response,logTransformed_RT_dec_NaNOutlier,logTransformed_RT_conf_NaNOutlier
7,44,6.93,96.08,2152,1216,15,7,3.92,6.93,7.674152921,7.103322063
7,42.5,7.88,98.76,3631,1817,16,8,1.24,7.88,8.197263371,7.504942068
7,43.5,8.41,94.42,1596,6468,17,1,5.58,8.41,7.375255778,8.774622221
7,43.5,8.41,95.92,2493,3203,18,2,4.08,8.41,7.821242084,8.07184315
7,43,7.97,97.02,1409,2703,19,3,2.98,7.97,7.250635512,7.902117546
7,41.5,7.93,94.49,1276,2043,20,4,5.51,7.93,7.151485464,7.622174595
7,43,3.97,97.42,1201,1409,21,5,2.58,3.97,7.090909822,7.250635512
7,41.5,7.93,96.23,1526,1215,22,6,3.77,7.93,7.330405212,7.102499356
7,42.5,8.51,96.31,1451,2328,23,7,3.69,8.51,7.280008253,7.752764809
7,42.5,7.94,96.15,1153,1353,24,8,3.85,7.94,7.05012252,7.210079628
8,41,2.25,NaN,3596,21064,1,1,28.51,2.25,8.187577396,NaN
8,44,3.69,79.95,3041,5081,2,2,20.05,3.69,8.019941688,8.533263372
8,47,6.29,61.69,2263,2368,3,3,38.31,6.29,7.724446646,7.769800996
8,45.5,7.4,77.74,2013,4468,4,4,22.26,7.4,7.607381426,8.40469616
8,41.5,4.73,70.86,2263,2073,5,5,29.14,4.73,7.724446646,7.636752112
8,46.5,7.88,62.32,2006,1846,6,6,37.68,7.88,7.603897969,7.520776415
8,41,4.97,85.25,944,2007,7,7,14.75,4.97,6.850126166,7.604396349
8,46.5,7.99,77.74,2985,3878,8,8,22.26,7.99,8.001355026,8.263074836
8,43.5,6.95,90.23,2097,2652,9,1,9.77,6.95,7.648263031,7.883069351
8,40.5,2.19,87.46,1486,1849,10,2,12.54,2.19,7.303843225,7.522400231
8,40.5,4,76.55,2304,2719,11,3,23.45,4,7.742402022,7.908019445
8,46,7.89,70.38,1464,2431,12,4,29.62,7.89,7.288927695,7.796057974
8,43,3.04,95.68,2638,3488,13,5,4.32,3.04,7.877776333,8.157083785
8,43.5,6.97,92.52,2160,4497,14,6,7.48,6.97,7.677863501,8.411165787
8,46,7.93,89.83,2478,2303,15,7,10.17,7.93,7.815207062,7.7419679
8,40.5,5.95,65.72,2491,2460,16,8,34.28,5.95,7.820439515,7.807916629
8,45.5,7.48,54.18,1499,2782,17,1,45.82,7.48,7.312553498,7.930925372
8,45.5,6.97,66.51,1262,3845,18,2,33.49,6.97,7.140453043,8.254528882
8,42.5,7.53,40.98,1659,2352,19,3,59.02,7.53,7.41397029,7.763021309
8,38.5,3.5,71.49,2332,5127,20,4,28.51,3.5,7.754481547,8.542275972
8,46.5,7.97,55.52,2075,3521,21,5,44.48,7.97,7.637716433,8.166500319
8,37,5.93,61.06,1611,2674,22,6,38.94,5.93,7.384610383,7.891330758
8,41,4.98,90.38,2159,3982,23,7,9.62,4.98,7.677400431,8.289539485
8,41,7.43,54.42,3145,2319,24,8,45.58,7.43,8.053569169,7.748891337
9,41,0.94,89.99,1506,7728,1,1,10.01,0.94,7.317212408,8.952605376
9,44,1.94,90.3,1110,2887,2,2,9.7,1.94,7.012115294,7.96797318
9,47,7.96,NaN,2416,69701,3,3,8.11,7.96,7.789868559,NaN
9,45,6.92,70.54,4006,35724,4,4,29.46,6.92,8.295548516,10.48357801
9,42.5,0.95,94.02,1777,1369,5,5,5.98,0.95,7.482681828,7.221835825
9,46,7.95,89.91,5874,33342,6,6,10.09,7.95,8.678291112,10.41457314
9,43,0.99,67.85,1125,17528,7,7,32.15,0.99,7.025538315,9.771554881
9,46,8.92,91.02,2402,8751,8,8,8.98,8.92,7.784057003,9.076923259
9,44.5,1.95,92.04,1090,16485,9,1,7.96,1.95,6.993932975,9.710206156
9,43,0.93,91.96,1590,1112,10,2,8.04,0.93,7.371489295,7.013915475
9,43.5,0.98,91.17,1513,3199,11,3,8.83,0.98,7.321849714,8.07059354
9,46,7.97,NaN,16839,2856,12,4,10.72,7.97,NaN,NaN
9,44.5,1,89.75,1895,1008,13,5,10.25,1,7.546974118,6.915723449
9,45,0.96,93.55,2034,1126,14,6,6.45,0.96,7.617759577,7.026426809
