Subj_idx,Stimulus,Response,Confidence,Difficulty,Item
30,2,2,3,1,Item 12111541
30,2,2,3,1,Item 12111551
30,1,2,3,1,Item 12111560
30,2,2,3,1,Item 12111571
30,2,2,4,1,Item 12111581
30,1,1,1,1,Item 12111590
30,1,1,1,1,Item 12111600
34,2,1,2,1,Item 12111011
34,2,2,2,1,Item 12111021
34,1,1,3,1,Item 12111030
34,1,1,3,1,Item 12111040
34,1,1,2,1,Item 12111050
34,1,1,2,1,Item 12111060
34,2,1,3,1,Item 12111071
34,2,1,2,1,Item 12111081
34,1,1,4,1,Item 12111090
34,1,1,2,1,Item 12111100
34,2,1,2,1,Item 12111111
34,1,2,2,1,Item 12111120
34,2,1,2,1,Item 12111131
34,2,1,2,1,Item 12111141
34,2,2,2,1,Item 12111151
34,2,1,2,1,Item 12111161
34,1,1,2,1,Item 12111170
34,2,2,2,1,Item 12111181
34,2,2,4,1,Item 12111191
34,2,1,3,1,Item 12111201
34,1,1,2,1,Item 12111210
34,1,1,3,1,Item 12111220
34,1,1,2,1,Item 12111230
34,2,1,2,1,Item 12111241
34,1,1,3,1,Item 12111250
34,1,1,2,1,Item 12111260
34,2,1,3,1,Item 12111271
34,2,1,2,1,Item 12111281
34,1,1,2,1,Item 12111290
34,2,1,2,1,Item 12111301
34,1,1,2,1,Item 12111310
34,1,2,2,1,Item 12111320
34,2,1,2,1,Item 12111331
34,2,1,2,1,Item 12111341
34,1,1,3,1,Item 12111350
34,2,2,3,1,Item 12111361
34,1,1,2,1,Item 12111370
34,1,1,2,1,Item 12111380
34,1,1,2,1,Item 12111390
34,2,NaN,2,1,Item 12111401
34,2,1,3,1,Item 12111411
34,2,2,2,1,Item 12111421
34,2,2,2,1,Item 12111431
34,1,2,2,1,Item 12111440
34,1,1,2,1,Item 12111450
34,1,1,2,1,Item 12111460
34,2,1,2,1,Item 12111471
34,1,1,3,1,Item 12111480
34,1,1,2,1,Item 12111490
34,1,1,2,1,Item 12111500
34,2,2,4,1,Item 12111511
34,1,1,4,1,Item 12111520
34,2,2,3,1,Item 12111531
34,2,2,3,1,Item 12111541
34,2,2,2,1,Item 12111551
34,1,1,2,1,Item 12111560
34,2,2,2,1,Item 12111571
34,2,2,3,1,Item 12111581
34,1,2,2,1,Item 12111590
34,1,2,2,1,Item 12111600
38,2,1,4,1,Item 12111011
38,2,2,4,1,Item 12111021
38,1,1,4,1,Item 12111030
38,1,1,4,1,Item 12111040
38,1,1,4,1,Item 12111050
38,1,1,3,1,Item 12111060
38,2,2,3,1,Item 12111071
38,2,1,3,1,Item 12111081
38,1,1,4,1,Item 12111090
38,1,1,2,1,Item 12111100
38,2,2,3,1,Item 12111111
38,1,1,3,1,Item 12111120
38,2,2,3,1,Item 12111131
38,2,1,1,1,Item 12111141
38,2,2,3,1,Item 12111151
38,2,1,2,1,Item 12111161
38,1,1,3,1,Item 12111170
38,2,1,3,1,Item 12111181
38,2,2,4,1,Item 12111191
38,2,1,2,1,Item 12111201
38,1,1,2,1,Item 12111210
38,1,1,2,1,Item 12111220
38,1,1,3,1,Item 12111230
38,2,2,1,1,Item 12111241
38,1,2,2,1,Item 12111250
38,1,1,3,1,Item 12111260
38,2,1,3,1,Item 12111271
38,2,2,3,1,Item 12111281
38,1,1,3,1,Item 12111290
38,2,1,2,1,Item 12111301
38,1,1,4,1,Item 12111310
38,1,2,3,1,Item 12111320
38,2,2,3,1,Item 12111331
38,2,2,3,1,Item 12111341
38,1,1,1,1,Item 12111350
38,2,2,4,1,Item 12111361
38,1,1,2,1,Item 12111370
38,1,1,2,1,Item 12111380
38,1,1,3,1,Item 12111390
38,2,2,2,1,Item 12111401
38,2,1,3,1,Item 12111411
38,2,1,4,1,Item 12111421
38,2,2,3,1,Item 12111431
