Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,ContrastLevel,BlockNumber
1,0,0,2,0.646875424,0.408009387,0.070789491,3,4
1,1,1,3,0.50619857,0.240020853,0.053092118,2,4
1,0,1,3,0.698153071,0.231904613,0.053092118,2,4
1,0,1,1,1.146711623,0.360077364,0.035394745,1,4
1,0,1,3,1.468293307,0.279851316,0.053092118,2,4
1,0,1,2,0.620443691,0.528013823,0.053092118,2,4
1,0,0,3,0.964512756,0.239943873,0.070789491,3,4
1,0,1,2,0.849871895,0.44794509,0.053092118,2,4
1,0,0,4,1.124008043,0.447963507,0.070789491,3,4
1,0,1,1,0.834821666,0.391012961,0.070789491,3,4
1,0,1,1,0.974494988,0.201051691,0.035394745,1,4
1,1,1,4,0.638284148,0.207923297,0.070789491,3,4
1,0,1,2,0.978204238,0.207976007,0.035394745,1,4
1,1,1,1,1.416041018,0.407986376,0.035394745,1,4
1,0,1,1,1.069167692,0.303899226,0.035394745,1,4
1,0,1,3,0.683964298,0.159883387,0.035394745,1,4
1,0,1,2,0.759791355,0.400071502,0.035394745,1,4
1,1,1,4,0.623291253,0.183922642,0.070789491,3,4
1,0,1,2,1.164496343,0.375971961,0.035394745,1,4
1,1,1,4,0.724588435,0.192027917,0.035394745,1,4
1,1,1,2,0.781243545,0.279939345,0.035394745,1,4
1,1,1,4,0.584563509,0.160049201,0.070789491,3,4
1,0,0,3,0.888484095,0.631952664,0.070789491,3,4
1,1,1,4,0.85737653,0.215939467,0.035394745,1,4
1,1,1,4,0.603991957,0.175968024,0.053092118,2,4
1,0,0,3,0.746667858,0.343859345,0.070789491,3,4
1,0,1,2,0.82064075,0.375925165,0.053092118,2,4
1,1,1,4,0.602664106,0.184026186,0.070789491,3,4
1,0,1,2,0.768692619,0.303961913,0.070789491,3,4
1,1,1,4,0.547235022,0.144075176,0.070789491,3,4
1,1,1,3,0.71718843,0.311787243,0.035394745,1,4
1,1,1,4,0.481858537,0.191998241,0.070789491,3,4
1,1,1,2,0.62846282,0.51986576,0.053092118,2,4
1,0,0,1,1.124356884,0.616039825,0.035394745,1,4
1,0,1,2,0.796611243,0.263934373,0.035394745,1,4
1,0,1,3,0.71196389,0.207962048,0.035394745,1,4
1,1,1,2,1.008647481,0.479903309,0.070789491,3,4
1,1,1,1,0.698744108,0.359948595,0.035394745,1,4
1,0,0,3,0.550100994,0.311916005,0.070789491,3,4
1,1,0,1,1.705409358,0.191865483,0.053092118,2,4
1,1,1,1,0.691642032,0.29598228,0.053092118,2,4
1,1,1,2,1.25758223,0.935967421,0.035394745,1,4
1,1,1,2,0.696004936,0.575905257,0.035394745,1,4
1,1,1,2,0.842698023,1.271983899,0.053092118,2,4
1,0,1,1,1.379742131,0.183942921,0.035394745,1,4
1,1,1,3,1.107217452,0.175995167,0.070789491,3,4
1,1,1,3,0.461262223,0.21598476,0.053092118,2,4
1,1,1,4,0.583905175,0.20778578,0.053092118,2,4
1,0,0,3,0.781769286,0.336018116,0.070789491,3,4
1,1,1,3,1.414540432,0.607753098,0.070789491,3,4
1,0,1,1,1.091506138,0.199859661,0.053092118,2,4
1,1,1,2,1.269561918,0.167982884,0.070789491,3,4
1,0,0,3,1.049718748,0.215980662,0.070789491,3,4
1,0,1,2,0.700383475,0.304035438,0.053092118,2,4
1,1,1,2,0.873843102,0.319883879,0.053092118,2,4
1,0,1,1,0.839784803,0.191920091,0.070789491,3,4
1,0,1,1,0.587839348,0.159974567,0.035394745,1,4
1,1,1,1,0.667648464,0.184017987,0.035394745,1,4
1,1,1,3,0.647016753,0.191977098,0.070789491,3,4
1,1,1,1,0.698938414,0.199974084,0.053092118,2,4
1,1,1,1,0.884228352,0.583877574,0.035394745,1,4
1,0,1,1,0.903029169,0.151985321,0.035394745,1,4
1,0,1,1,0.754173538,0.184111099,0.070789491,3,4
1,1,1,4,0.58627724,0.208004281,0.070789491,3,4
1,1,1,3,0.776287062,0.207909233,0.053092118,2,4
1,0,1,1,0.686192427,0.240059315,0.053092118,2,4
1,0,1,1,1.070843889,0.288041251,0.053092118,2,4
1,0,1,1,0.678279985,0.256041784,0.053092118,2,4
