Subj_idx,Stimulus,Response,Confidence,RT_dec,NoiseLevel,Condition,Accuracy,Mean_direction,SD_direction
1,0,0,75,0.984034061,0.715584993,3,1,-47.4789482,39.23462595
1,0,0,73,1.085387945,0.715584993,1,1,-48.83574996,36.79689745
1,1,1,62,0.367328882,0.715584993,1,1,47.06375604,38.93549303
1,1,0,74,1.235387087,0.715584993,1,0,46.03479456,39.98096876
1,0,0,65,0.803158998,0.715584993,1,1,-45.35331092,37.3728008
1,0,0,71,0.65732193,1.160643953,4,1,-45.22140919,58.44093568
1,0,0,71,0.387099028,0.715584993,1,1,-49.47259715,40.49561032
1,1,1,76,0.337131023,0.715584993,1,1,45.16566837,37.42819933
1,1,1,73,0.479123116,0.715584993,1,1,48.17079808,42.07386477
1,0,1,74,0.234941959,1.160643953,4,0,-40.29307327,57.24716483
1,1,1,80,0.576860905,0.715584993,1,1,43.2920466,37.51384641
1,0,0,68,0.758785009,0.715584993,1,1,-46.15564072,39.35542214
1,0,0,75,0.642842054,1.160643953,4,1,-45.66667967,58.06316456
1,0,1,79,1.042779207,0.715584993,1,0,-45.99290178,39.09885963
1,1,1,73,0.946541071,0.715584993,1,1,37.81674662,36.58645203
1,1,0,77,1.07683301,1.160643953,4,0,40.30440205,54.74929544
1,1,1,55,0.696580172,0.715584993,1,1,51.80730011,35.17495403
1,1,1,53,0.638422012,0.715584993,1,1,41.29614741,37.72888824
1,1,1,59,0.846395969,0.715584993,1,1,43.13331712,39.36584112
1,0,0,61,0.762175798,0.715584993,1,1,-44.26071199,38.43160717
1,0,0,53,1.378277063,1.160643953,4,1,-43.45682892,55.65744432
1,1,0,71,0.994112968,0.715584993,1,0,40.64448163,39.99866964
1,0,1,59,1.630063057,0.715584993,1,0,-46.93466296,37.19469396
1,0,1,51,1.155890942,0.715584993,1,0,-43.32520034,40.11261686
1,1,1,80,0.759819984,0.715584993,1,1,47.71545451,38.57648378
1,1,1,79,0.753998995,0.715584993,1,1,47.4854566,37.74770394
1,1,0,65,1.181773186,0.715584993,1,0,43.84857261,38.78942608
1,1,1,64,0.987652063,0.715584993,1,1,42.24670975,39.72502964
1,0,0,64,1.401659966,0.715584993,1,1,-43.68723962,40.85651257
1,0,1,66,0.709554911,1.160643953,4,0,-46.22767464,57.45245241
1,0,0,69,0.859488964,0.715584993,1,1,-43.28433113,38.57893219
1,0,0,66,1.01935792,0.715584993,1,1,-45.99144603,37.27086474
1,0,1,61,0.921245813,1.160643953,4,0,-41.66789911,54.5149756
1,0,0,62,0.855499029,0.715584993,1,1,-48.08741455,34.77983697
1,1,1,57,1.345325947,1.160643953,4,1,37.97070906,55.81543808
1,0,0,59,0.623077869,0.715584993,1,1,-52.57902062,36.54056925
1,0,0,77,0.574985027,0.715584993,1,1,-45.73873151,35.9261276
1,1,1,76,0.532972813,0.715584993,1,1,47.48735207,39.23174754
1,1,0,58,1.194920063,1.160643953,4,0,45.22038579,55.1075561
1,1,1,83,0.670977116,0.715584993,1,1,45.0281459,39.11093585
1,1,1,78,0.633016109,0.715584993,1,1,49.78256377,37.88292436
1,0,0,75,0.328732014,0.715584993,1,1,-48.84024661,36.26200627
1,0,0,80,0.646751165,0.715584993,1,1,-54.05034666,40.27178274
1,0,0,84,0.452641964,0.715584993,1,1,-44.03189637,37.77088789
1,1,1,71,1.802587986,0.715584993,1,1,47.27544314,39.11714592
1,0,0,85,0.416621208,0.715584993,1,1,-45.95822593,39.33077132
1,0,0,89,0.252500057,0.715584993,1,1,-44.37905929,39.32000979
1,1,1,82,0.368370056,1.160643953,4,1,36.92626232,53.96950965
1,0,0,94,0.316349983,0.715584993,1,1,-45.16409138,38.49380272
1,1,1,84,0.696416855,1.160643953,4,1,44.93945304,56.92527646
1,1,0,86,0.456370115,0.715584993,1,0,46.43036356,37.43872014
1,1,1,69,0.448184967,0.715584993,1,1,44.65787802,40.46297576
1,1,1,54,1.438186169,0.715584993,1,1,44.32210365,39.64778037
1,0,0,77,0.359997034,1.160643953,4,1,-39.19394117,59.13442996
1,0,0,72,0.439942122,0.715584993,1,1,-41.437525,38.43730776
1,1,0,74,0.327900171,1.160643953,4,0,55.40962735,59.1594408
1,1,1,72,0.428058147,1.160643953,4,1,49.27544527,55.14323595
1,0,0,78,1.769155025,0.715584993,1,1,-46.07711194,35.45534419
1,1,0,58,1.562901974,0.715584993,1,0,45.50011221,37.51866994
1,1,1,63,0.288876057,0.715584993,1,1,46.02921845,37.46248139
1,1,1,59,0.626769781,1.160643953,4,1,40.55197722,57.03875481
1,0,0,73,0.420691013,0.715584993,1,1,-47.95350637,38.55864619
1,0,0,80,0.490631819,0.715584993,1,1,-47.87511047,37.73282885
1,0,0,83,0.90277791,0.715584993,1,1,-43.67835934,35.49759674
1,0,0,76,1.208662987,0.715584993,1,1,-42.91415429,39.36382262
1,0,0,78,0.532594919,0.715584993,1,1,-41.63981543,34.18687348
1,0,0,90,0.306557894,0.715584993,1,1,-45.47280863,37.88121765
1,1,1,83,0.41862607,1.160643953,4,1,46.11681032,51.82293987
1,1,1,53,1.214273214,1.160643953,4,1,43.61018712,56.94272481
1,1,1,56,0.706244946,1.160643953,4,1,42.99105359,56.07861523
1,1,1,80,0.344161034,0.715584993,1,1,49.22260649,39.59654203
1,1,1,83,0.444218159,0.715584993,1,1,50.81483063,38.42468056
1,1,1,86,0.640379906,0.715584993,1,1,51.26029935,37.23242533
1,0,0,68,0.364130974,0.715584993,1,1,-47.54428751,42.21485097
1,0,0,53,0.707963943,1.160643953,4,1,-51.97862793,54.48803129
1,0,0,68,0.289816856,0.715584993,1,1,-46.51416516,38.83757367
1,0,0,72,0.715914965,1.160643953,4,1,-49.50324238,58.27829502
1,0,0,64,0.293864965,0.715584993,1,1,-46.00365905,40.31004527
1,1,0,63,0.70788908,1.160643953,4,0,44.47645106,54.84388118
1,0,1,68,0.495605946,1.160643953,4,0,-40.92475649,54.68125098
1,1,1,63,0.587579012,0.715584993,1,1,43.06016466,38.91090737
1,1,1,73,0.87752986,0.715584993,1,1,42.25197489,38.28273758
1,1,1,89,0.449768782,0.715584993,1,1,42.788976,38.61751032
1,1,1,89,0.23542881,0.715584993,1,1,44.37058112,37.52900569
1,0,1,92,0.791368008,0.715584993,1,0,-48.70551346,38.87347691
1,1,1,82,0.569363117,0.715584993,1,1,46.61148234,39.32147987
1,0,0,76,0.303271055,0.715584993,1,1,-43.63225503,38.77783098
1,0,0,76,0.387307882,0.715584993,1,1,-45.12298535,36.88843637
1,1,1,77,0.301347017,0.715584993,1,1,40.81919166,41.19995746
1,0,0,80,0.255093098,0.715584993,1,1,-48.85251724,38.3745883
1,1,1,82,0.387046814,1.160643953,4,1,45.21397223,55.21556241
1,1,1,86,0.433211088,0.715584993,1,1,47.04755675,39.5272657
1,1,1,87,0.334952831,0.715584993,1,1,44.7494595,38.39147028
1,1,1,86,0.351027012,0.715584993,1,1,47.62253009,36.27571065
1,0,0,83,0.22887516,0.715584993,1,1,-46.37504683,38.19915637
1,0,0,74,0.236934185,0.715584993,1,1,-41.07695012,41.26178505
1,0,0,86,1.06475997,0.715584993,1,1,-47.37563636,37.76504052
1,0,0,84,0.576945066,1.160643953,4,1,-47.30108732,55.39792272
1,0,1,53,1.250675917,1.160643953,4,0,-44.00901187,53.32248127
1,1,1,83,0.778739929,0.715584993,1,1,42.01850223,39.6840769
1,0,0,82,0.464640856,0.715584993,1,1,-47.90842,36.99824132
1,1,1,68,0.97850585,1.160643953,4,1,41.23818021,59.05711664
