Subj_idx,Stimulus,Response,Confidence,RT_dec,Error,Condition,Delay
1,25,214.53125,3,2.41605417800019,-9.53124999999998,0.5,9.15
1,82,81.703125,4,2.4368532350004,0.296875000000006,1,3.45
1,14,32.3515625,2,3.18748914800017,-18.3515625,1,9.15
1,151,140.734375,3,2.95308204300045,10.265625,0.5,6.3
1,13,200.9609375,3,1.95982569600028,-7.96093750000001,1,12
1,154,322.21875,4,2.85159629999998,11.78125,0.5,3.45
1,93,273.1640625,4,2.96913745099982,-0.164062500000009,1,0.6
1,45,40,4,1.93665776700027,5,1,0.6
1,128,131.140625,3,5.13237591000052,-3.14062500000001,0.5,6.3
1,111,273.5546875,3,3.81197965300044,17.4453125,0.5,6.3
1,111,315.5546875,3,2.31522984999992,-24.5546875,1,6.3
1,6,91.8046875,2,3.0487922719999,-85.8046875,0.5,3.45
1,65,94.796875,2,2.50477038100007,-29.796875,0.5,6.3
1,84,90.6171875,2,2.12605117400017,-6.61718749999999,1,12
1,103,305.40625,3,2.48514502700027,-22.4062499999999,1,9.15
1,43,222.9609375,3,3.08229583599996,0.0390624999999829,0.5,9.15
1,69,238.6328125,4,2.05564269200022,10.3671875,0.5,12
1,22,228.1171875,3,1.85548079299997,-26.1171875,0.5,6.3
1,93,260.8828125,4,3.07038296900009,12.1171875,1,3.45
1,7,47.2578125,1,2.71446362700044,-40.2578125,1,0.6
1,108,103.1640625,2,1.99421101899998,4.8359375,1,6.3
1,5,172.5,3,2.71243171300011,12.5,1,3.45
1,43,50.234375,3,2.48191442699999,-7.234375,0.5,3.45
1,13,123.03125,3,2.85541080600024,69.96875,0.5,6.3
1,163,347.7578125,3,2.50975846700021,-4.75781250000001,0.5,6.3
1,125,130.796875,4,2.65482928000029,-5.79687499999998,0.5,12
1,20,36.84375,3,3.61919742200007,-16.84375,0.5,9.15
1,115,127.7421875,4,1.83902711500014,-12.7421875,1,0.6
1,170,155.1640625,2,1.5571495500003,14.8359375,0.5,0.6
1,105,297.65625,3,2.04859796300025,-12.65625,0.5,0.6
1,120,129.7734375,3,2.18128721299991,-9.77343750000003,0.5,9.15
1,24,171.015625,1,2.58224319800001,32.984375,0.5,9.15
1,180,34.0234375,2,1.79757525900004,-34.0234375,1,0.6
1,75,71.296875,3,2.0155223820002,3.703125,0.5,3.45
1,3,349.875,1,2.72949793299995,13.125,1,3.45
1,133,128.9921875,3,1.70039630800011,4.00781249999999,0.5,6.3
1,1,208.5,3,2.01001039400035,-27.5,0.5,9.15
1,3,193.140625,3,2.67528758000026,-10.140625,0.5,3.45
1,89,248.0859375,3,1.82821158200022,20.9140625,1,0.6
1,90,263.703125,3,1.76885057700019,6.29687500000001,1,0.6
1,76,247.1640625,3,2.46344086500039,8.83593750000001,1,9.15
1,147,314.453125,3,2.95926729700022,12.546875,1,6.3
1,129,121.140625,2,2.24880714200026,7.85937499999999,1,3.45
1,37,226.5859375,3,1.89338966400055,-9.58593750000001,0.5,0.6
1,103,311.2109375,1,2.20086154000046,-28.2109375,0.5,3.45
1,78,65.2734375,2,1.85701257400024,12.7265625,0.5,3.45
1,129,316.5625,3,2.31953319600007,-7.56249999999996,0.5,0.6
1,125,303.2109375,3,1.85009947500021,1.7890625,1,0.6
1,3,260.8828125,2,1.41708369700018,-77.8828125,0.5,0.6
1,149,318.28125,3,3.9863491430001,10.71875,1,9.15
