Subj_idx,Stimulus,Response,Confidence,Order,Scale
157,1,1,4,DS,P
157,1,1,3,DS,P
157,1,1,3,DS,P
157,1,1,3,DS,P
157,2,2,4,DS,P
157,2,1,3,DS,P
157,1,1,4,DS,P
157,1,1,4,DS,P
157,2,2,4,DS,P
157,1,2,3,DS,P
157,2,2,3,DS,P
157,2,1,2,DS,P
157,2,1,3,DS,P
157,2,2,3,DS,P
157,1,1,4,DS,P
157,2,1,3,DS,P
157,2,2,4,DS,P
157,2,2,3,DS,P
157,1,1,2,DS,P
157,1,1,4,DS,P
157,1,1,3,DS,P
157,2,2,3,DS,P
157,1,1,3,DS,P
157,1,1,4,DS,P
157,2,2,4,DS,P
157,2,1,2,DS,P
157,1,2,2,DS,P
157,2,1,4,DS,P
157,1,1,2,DS,P
157,1,1,3,DS,P
157,2,2,3,DS,P
157,2,2,3,DS,P
157,1,2,3,DS,P
157,2,2,2,DS,P
157,1,1,3,DS,P
157,1,1,4,DS,P
157,1,1,3,DS,P
157,2,2,4,DS,P
157,2,2,4,DS,P
157,2,2,2,DS,P
157,2,2,3,DS,P
157,1,1,2,DS,P
157,1,1,3,DS,P
157,1,2,2,DS,P
157,2,1,3,DS,P
157,1,1,3,DS,P
157,1,2,2,DS,P
157,1,2,2,DS,P
157,2,2,3,DS,P
157,1,2,3,DS,P
157,2,2,3,DS,P
157,2,1,3,DS,P
157,2,2,2,DS,P
157,1,2,3,DS,P
157,2,1,4,DS,P
157,2,2,3,DS,P
157,1,1,4,DS,P
157,1,1,4,DS,P
44,2,1,4,DS,P
44,2,2,3,DS,P
44,1,1,4,DS,P
44,1,1,2,DS,P
44,1,1,3,DS,P
44,1,2,2,DS,P
44,2,2,3,DS,P
44,2,2,3,DS,P
44,1,1,4,DS,P
44,1,2,3,DS,P
44,2,2,4,DS,P
44,1,2,3,DS,P
44,2,2,4,DS,P
44,2,2,3,DS,P
44,2,2,3,DS,P
44,2,2,3,DS,P
44,1,2,2,DS,P
44,2,1,4,DS,P
44,2,2,4,DS,P
44,2,2,3,DS,P
44,1,1,2,DS,P
44,1,1,2,DS,P
44,1,2,2,DS,P
44,2,2,2,DS,P
44,1,1,2,DS,P
44,1,1,3,DS,P
44,2,2,3,DS,P
44,2,2,4,DS,P
44,1,2,3,DS,P
44,2,1,1,DS,P
44,1,2,2,DS,P
44,1,2,3,DS,P
44,2,2,3,DS,P
44,2,1,2,DS,P
44,1,2,1,DS,P
44,2,2,4,DS,P
44,1,2,3,DS,P
44,1,2,3,DS,P
44,1,2,1,DS,P
44,2,2,2,DS,P
44,2,2,3,DS,P
44,2,1,4,DS,P
44,2,1,3,DS,P
44,1,1,4,DS,P
44,1,2,1,DS,P
44,1,2,3,DS,P
44,2,2,4,DS,P
44,1,2,3,DS,P
44,1,2,2,DS,P
44,1,2,2,DS,P
44,2,2,2,DS,P
44,1,1,2,DS,P
44,2,1,2,DS,P
44,2,2,2,DS,P
44,2,2,2,DS,P
44,1,1,3,DS,P
44,2,2,3,DS,P
44,2,2,4,DS,P
44,1,1,3,DS,P
