Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Prompt_time
2,2,2,95,1.2805,2.4842,0.08,0.05
2,1,1,83,1.2344,3.9154,0.08,1.5
2,1,1,56,1.7323,4.3394,0.04,1.5
2,2,1,53,1.1491,3.1202,0.02,0.75
2,2,2,55,1.4214,3.2818,0.08,0.75
2,2,2,53,1.3166,3.1032,0.04,0.75
2,1,1,54,1.5083,2.8843,0.04,0.05
2,1,1,54,1.3521,2.5435,0.04,0.05
2,2,1,53,1.3963,3.9296,0.04,1.5
2,1,2,52,1.4873,2.7279,0.02,0.05
2,1,1,54,1.6247,4.3179,0.08,1.5
2,2,2,53,1.457,3.1528,0.02,0.05
2,1,1,56,1.2839,2.6277,0.08,0.75
2,1,1,98,0.92519,2.536,0.16,1.5
2,1,1,94,1.0654,2.183,0.16,0.05
2,1,1,73,1.3621,2.7551,0.04,0.75
2,1,1,95,1.1282,2.1597,0.16,0.05
2,1,1,75,1.1086,2.2678,0.16,0.75
2,2,1,65,1.0842,2.251,0.02,0.05
2,2,2,66,1.1168,2.8506,0.08,1.5
2,1,1,76,0.93277,2.1289,0.16,0.75
2,1,1,55,1.1912,3.0762,0.02,0.75
2,2,2,98,0.98199,3.5645,0.16,1.5
2,2,1,16,1.7982,4.3192,0.08,1.5
2,1,1,64,1.3668,2.8658,0.04,0.05
2,2,2,85,0.98324,2.2853,0.04,0.05
2,1,1,53,1.587,4.3663,0.02,1.5
2,2,2,84,1.6304,3.5647,0.08,0.75
2,2,1,55,1.5476,4.1055,0.04,1.5
2,1,2,54,1.788,4.3705,0.02,1.5
2,2,2,75,1.5306,3.4279,0.08,0.75
2,2,2,55,1.5833,3.0085,0.08,0.05
2,1,1,54,1.5649,3.6345,0.04,0.75
2,2,2,63,1.386,2.7989,0.08,0.05
2,2,2,55,1.7955,3.1714,0.02,0.05
2,2,1,54,1.3514,2.9376,0.04,1.5
2,2,2,60,1.4489,3.3339,0.02,0.75
2,1,1,64,1.3775,3.2331,0.04,0.05
2,1,1,84,0.85673,2.631,0.16,0.75
2,1,1,85,1.1156,3.6981,0.02,1.5
2,1,1,84,1.0431,2.3821,0.08,0.05
2,1,1,75,0.98565,3.4943,0.08,1.5
2,1,1,74,1.5113,3.3102,0.02,0.75
2,1,1,66,1.5629,4.0962,0.08,1.5
2,1,1,76,2.1565,3.311,0.08,0.05
2,2,2,72,1.1168,2.4312,0.16,0.05
2,2,2,96,0.8712,3.343,0.16,1.5
2,2,2,85,1.2466,2.9594,0.04,0.75
2,2,2,74,1.8923,3.9003,0.04,0.75
2,1,2,54,1.6022,4.3324,0.02,1.5
2,1,1,60,1.099,2.475,0.16,0.05
2,2,2,57,0.99277,2.8409,0.08,0.75
2,1,1,54,1.4482,3.1732,0.08,0.75
2,1,1,64,1.0956,2.9929,0.16,0.75
2,2,2,54,1.6689,3.5048,0.02,0.75
2,2,2,53,1.7324,2.973,0.02,0.05
2,2,2,55,1.8214,4.5269,0.04,1.5
2,2,2,87,1.029,3.6238,0.16,1.5
2,1,1,55,1.4152,3.9238,0.04,1.5
2,2,2,55,1.1219,2.8299,0.04,0.05
2,2,2,72,1.3771,2.6792,0.02,0.05
2,2,2,72,1.2465,3.1315,0.04,0.75
2,1,1,96,0.91131,3.5307,0.16,1.5
2,2,2,75,1.3404,3.2623,0.08,0.75
2,2,2,83,1.8503,4.3467,0.08,1.5
2,1,1,74,1.7537,3.0681,0.04,0.05
2,1,2,53,1.8966,4.6637,0.02,1.5
2,2,2,57,2.3005,4.3577,0.04,0.75
2,1,1,54,1.5777,4.3693,0.02,1.5
2,2,2,64,1.3482,3.2579,0.02,0.75
2,2,2,93,1.2108,2.4637,0.16,0.05
2,1,1,96,0.79571,3.3782,0.16,1.5
2,1,1,66,1.2231,3.7441,0.08,1.5
2,2,2,75,1.2972,3.3052,0.16,0.75
2,1,1,80,0.97587,2.3764,0.08,0.05
2,1,1,53,1.8204,3.9023,0.02,0.75
2,1,2,45,1.8494,4.5918,0.04,1.5
2,2,2,54,2.1095,3.7314,0.02,0.05
2,2,1,44,2.7667,5.7183,0.04,1.5
2,2,2,62,1.9625,4.0689,0.16,0.75
2,2,1,55,1.6211,2.9724,0.04,0.05
2,1,1,74,1.531,2.7839,0.16,0.05
2,1,2,63,1.6204,3.3284,0.02,0.05
2,1,1,56,1.4136,2.728,0.08,0.05
2,2,2,55,1.4915,3.3273,0.08,0.75
2,1,1,56,1.1632,2.4776,0.04,0.05
2,2,2,54,1.0909,2.8406,0.02,0.75
2,2,1,55,0.92905,3.3516,0.04,1.5
2,1,1,96,0.83069,2.0713,0.16,0.05
2,1,1,85,0.88557,2.5492,0.08,0.75
2,1,1,95,1.157,2.4222,0.08,0.05
2,2,1,65,1.3605,2.5396,0.02,0.05
2,1,2,52,1.5098,3.8955,0.04,1.5
2,2,2,73,0.93986,3.3748,0.16,1.5
2,1,1,62,1.4762,2.7414,0.08,0.05
2,1,1,75,0.9451,3.4661,0.16,1.5
2,2,2,52,1.8961,3.8057,0.04,0.75
2,1,1,65,1.3243,3.9437,0.02,1.5
