Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,cond,Int.Block,five_s_to,exclude_subj
101,0,1,10,3.543374463,0.383838439,0.256,0,0,Expt,Pre,TRUE,FALSE
101,0,1,10,2.68919891,0.532647785,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,1,10,4.022662048,0.548828364,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.3691811,0.502309765,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,0,10,4.327084607,1.19921574,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.599254077,0.615994929,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,3.113422838,0.948388236,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.800874218,0.633240206,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,10,2.862824153,0.533179983,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,10,3.376594444,0.63503996,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.842470813,0.600576875,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,1,10,3.323342314,0.615076336,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,2.644880346,0.652902866,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,10,3.368713502,0.516391738,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.312801286,0.718559472,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,10,3.44306097,0.467828266,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,1,10,2.909177628,0.41909635,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,0,10,3.365738867,1.01437841,0.256,0,0,Expt,Pre,TRUE,FALSE
101,1,0,10,4.043861834,0.634375844,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,10,3.860425185,0.830777544,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,1.811521806,0.518148022,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,30,2.998386198,1.118209906,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,1.890602308,0.68296407,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,40,2.39807014,0.666926879,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,1.78666727,0.801759605,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,2.059166686,0.682901281,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.644047786,0.483550001,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.0939733,0.850203536,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.681738474,0.349650056,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.573011237,0.366885976,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.599139366,0.534427011,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.192429079,0.514627303,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.201154656,0.535605213,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,40,2.429400409,0.714145215,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.261306346,0.517044986,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.760818372,0.517589561,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.14402258,1.182387044,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,4.205207272,0.768186134,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.441686552,0.998946471,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.410529557,0.565575554,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,40,2.786324345,0.46716415,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,3.104215777,1.032582731,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.295080864,0.50120854,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.585299192,0.466382304,0.256,0,0,Expt,Pre,TRUE,FALSE
101,0,0,50,2.27175802,0.847234335,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,3.513996091,1.187119775,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.937888263,0.94997336,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.909103368,1.016904767,0.256,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.48314157,0.499092123,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.843866664,0.516645309,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.797961164,0.599021033,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,40,2.503242546,0.499300112,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.820194556,0.882515792,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.990676115,1.331140242,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,4.224934834,1.116645007,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,1.966728701,0.682108266,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.91452044,0.781890164,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,30,3.395099731,1.003133117,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.54027908,0.332684915,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.648043349,0.551220388,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.878669655,0.467459078,0.256,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.911199861,0.433212736,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.489093557,0.617948335,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,1,20,3.527616805,0.814371769,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.665870935,0.433129118,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,1.698253828,0.85137238,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.38176519,0.4831464,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,40,1.918729426,0.501735003,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,1.308557888,1.452627559,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.758700748,0.518354502,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,30,2.178203718,0.683776404,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,2.768980959,0.500150181,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.768086214,0.503041802,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.011372984,0.584779974,0.032,1,0,Expt,Pre,TRUE,FALSE
101,0,0,40,1.751013305,0.433417404,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.141830998,0.752885508,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.661723833,0.465758337,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,30,1.497515452,0.735819843,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.871360155,0.41911899,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.167305576,0.516196125,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.265448014,0.734897628,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.904820425,0.416425095,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,3.319170761,0.416553993,0.064,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.129485386,0.567448059,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,1,20,2.288917567,0.518976658,0.128,0,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.502556091,0.501360985,0.128,0,0,Expt,Pre,TRUE,FALSE
