Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Visual_search_accuracy
1,0,1,0,1.21593331,0.4179852,0.05490375,6,0,1
1,1,1,0,1.605089753,0.919532,0.05490375,6,1,0
1,1,NaN,0,NaN,1.069983,0.05490375,6,0,1
1,1,1,1,1.136972808,1.191661,0.05490375,6,1,1
1,1,1,1,1.320879795,0.4848778,0.05490375,6,1,1
1,1,1,0,0.931707614,1.074646,0.05490375,6,1,1
1,1,1,0,1.337576516,0.3725398,0.05490375,5,1,1
1,1,1,1,1.287455621,0.5229785,0.05490375,5,1,1
1,0,1,NaN,1.371039149,NaN,0.05490375,5,0,1
1,0,0,1,0.852814813,0.4895181,0.05490375,5,1,0
1,0,1,1,0.802638324,0.4895111,0.05490375,5,0,1
1,1,1,0,1.032012913,1.141515,0.05490375,5,1,1
1,0,1,0,1.399800719,0.4227224,0.05490375,5,0,0
1,0,1,0,1.600442421,0.6520505,0.05490375,5,0,1
1,1,1,1,0.88625342,1.00775,0.05490375,5,1,0
1,1,0,1,1.25402614,0.4895158,0.05490375,5,0,1
1,1,1,1,1.93943206,1.18701,0.05490375,5,1,0
1,0,0,1,0.668893672,0.4227071,0.05490375,5,1,1
1,1,0,1,0.869528948,0.6567108,0.030991736,3,0,NaN
1,0,0,1,0.652199744,0.5182793,0.030991736,3,1,NaN
1,1,0,0,0.652182889,0.4728277,0.030991736,3,0,NaN
1,0,1,0,1.989583871,0.8646856,0.030991736,3,0,NaN
1,1,0,0,0.635492965,0.5517478,0.030991736,3,0,NaN
1,1,1,1,0.814687062,0.7068809,0.030991736,3,1,NaN
1,1,0,1,0.485029056,0.5397158,0.030991736,3,0,NaN
1,0,0,0,0.551872374,0.6399973,0.030991736,3,1,NaN
1,1,1,0,1.387735592,0.8072057,0.030991736,3,1,NaN
1,1,0,0,0.80267857,0.3678283,0.030991736,3,0,NaN
1,1,0,0,0.551892582,0.5350669,0.030991736,3,0,NaN
1,1,0,0,0.535182823,0.3678294,0.030991736,3,0,NaN
1,1,0,0,0.886219617,0.6520197,0.030991736,2,0,NaN
1,0,0,0,0.719068298,0.4895114,0.030991736,2,1,NaN
1,1,0,0,1.019949276,0.3725175,0.030991736,2,0,NaN
1,1,0,0,0.518462542,0.1505482,0.030991736,2,0,NaN
1,1,0,1,0.518453788,0.4393941,0.030991736,2,0,NaN
1,0,0,1,1.036668068,0.4728277,0.030991736,2,1,NaN
1,1,0,1,0.585313217,0.6065598,0.030991736,2,0,NaN
1,0,0,0,0.501737063,0.802462,0.030991736,2,1,NaN
1,0,0,0,0.614106541,0.5062845,0.030991736,2,1,NaN
1,1,0,1,0.468317062,0.4394302,0.030991736,2,0,NaN
1,0,0,1,0.702321198,0.5396935,0.030991736,2,1,NaN
1,0,0,1,0.485033991,0.4059753,0.030991736,2,1,NaN
1,1,1,0,1.817715193,0.5731111,0.030991736,1,1,NaN
1,0,0,0,0.902972209,0.8238871,0.030991736,1,1,NaN
1,0,0,1,0.535158798,0.01679403,0.030991736,1,1,NaN
1,0,0,1,0.49707528,0.4227076,0.030991736,1,1,NaN
1,1,0,1,0.647540679,0.5229553,0.030991736,1,0,NaN
1,0,0,0,0.434869049,0.3725535,0.030991736,1,1,NaN
1,0,0,1,0.497076118,0.3892567,0.030991736,1,1,NaN
1,0,0,0,0.480366359,0.5396658,0.030991736,1,1,NaN
1,1,0,0,0.551864925,0.4560901,0.030991736,1,0,NaN
1,0,0,1,0.497080029,0.5851777,0.030991736,1,1,NaN
1,0,0,1,0.485006055,0.7570219,0.030991736,1,1,NaN
1,0,1,0,0.981856446,0.4393874,0.030991736,1,0,NaN
1,0,0,0,0.969803145,0.3846087,0.05490375,4,1,1
1,0,NaN,0,NaN,1.136882,0.05490375,4,0,1
1,0,0,0,0.719074072,0.5898509,0.05490375,4,1,1
1,1,NaN,1,NaN,1.709902,0.05490375,4,0,0
1,0,0,0,1.354339168,0.3892439,0.05490375,4,1,1
1,0,0,0,0.647517677,0.8740524,0.05490375,4,1,1
1,0,1,0,1.354327156,0.4059329,0.05490375,4,0,1
1,0,1,0,1.984918753,0.8860749,0.05490375,4,0,1
1,1,1,0,1.287428802,0.4012711,0.05490375,4,1,1
1,1,1,1,0.953087613,0.3846106,0.05490375,4,1,1
1,0,1,0,1.39982372,0.7690424,0.05490375,4,0,0
1,0,0,1,1.170407505,0.4514415,0.05490375,4,1,1
1,0,0,1,0.735776821,0.004431848,0.05490375,4,1,1
1,0,0,1,0.852805877,0.238758,0.05490375,4,1,1
1,1,1,0,1.605049622,0.4895471,0.05490375,4,1,1
1,0,0,1,0.747947857,0.9362383,0.05490375,4,1,1
1,1,1,0,0.948436656,0.3344523,0.05490375,4,1,0
1,0,1,0,1.471349669,0.7068854,0.05490375,4,0,1
1,0,0,1,0.886243646,1.024464,0.05490375,4,1,1
1,1,1,1,0.836063246,0.7189274,0.05490375,4,1,1
1,0,1,0,1.115586576,0.4895513,0.05490375,4,0,0
1,0,0,0,1.270772965,0.8191974,0.05490375,4,1,1
1,0,0,1,0.814676824,0.3557673,0.05490375,4,1,0
1,0,0,0,1.070104259,0.3845821,0.05490375,4,1,1
1,1,0,1,0.919653294,0.8238947,0.030991736,3,0,NaN
1,1,0,1,0.969802405,0.5016314,0.030991736,3,0,NaN
1,1,0,1,0.680939994,1.52601,0.030991736,3,0,NaN
1,1,0,1,0.652172371,0.6353363,0.030991736,3,0,NaN
1,0,0,1,0.76918864,0.5062336,0.030991736,3,1,NaN
1,1,0,1,0.568621993,0.4728528,0.030991736,3,0,NaN
1,1,0,0,0.602053058,0.3511427,0.030991736,3,0,NaN
1,0,0,0,0.451571083,0.6734272,0.030991736,3,1,NaN
1,1,0,1,0.597363635,0.635321,0.030991736,3,0,NaN
1,1,0,1,0.614069484,0.5396703,0.030991736,3,0,NaN
1,1,0,1,0.852810162,0.4681349,0.030991736,3,0,NaN
1,0,0,1,0.451576671,0.6066042,0.030991736,3,1,NaN
1,0,0,0,0.869504089,0.3558014,0.05490375,5,1,1
1,1,1,1,0.948419146,0.6400003,0.05490375,5,1,1
1,0,0,1,1.053419642,0.6901676,0.05490375,5,1,1
1,1,0,0,1.132304808,0.3892193,0.05490375,5,0,1
1,0,0,0,0.769236506,0.2675538,0.05490375,5,1,1
1,0,0,0,0.802632461,0.3390599,0.05490375,5,1,0
1,0,0,0,0.802650994,0.3892685,0.05490375,5,1,1
1,1,0,0,0.680983854,0.4728316,0.05490375,5,0,1
1,1,1,0,1.287435418,0.4560845,0.05490375,5,1,0
1,0,0,0,0.563964607,0.5898644,0.05490375,5,1,1
1,1,0,0,0.747809851,0.5396739,0.05490375,5,0,1
1,1,0,0,0.602020746,0.4728579,0.05490375,5,0,1
1,0,0,0,0.702325299,0.4226777,0.030991736,1,1,NaN
1,0,0,0,0.535181989,0.4394285,0.030991736,1,1,NaN
1,1,0,0,0.43489066,0.5898233,0.030991736,1,0,NaN
1,0,0,0,0.418127821,0.4059262,0.030991736,1,1,NaN
1,0,0,0,0.317863308,0.3343911,0.030991736,1,1,NaN
1,0,0,0,1.30414881,0.8573221,0.030991736,1,1,NaN
1,0,0,1,0.685647202,0.5062928,0.030991736,1,1,NaN
1,1,0,1,0.501757071,0.3892654,0.030991736,1,0,NaN
1,0,0,1,0.497076682,0.6353031,0.030991736,1,1,NaN
1,1,0,1,0.685613399,0.43936,0.030991736,1,0,NaN
1,0,0,0,0.68563938,0.6065341,0.030991736,1,1,NaN
1,0,1,0,0.969830621,0.3725253,0.030991736,1,0,NaN
1,1,0,0,1.571656646,1.258568,0.030991736,2,0,NaN
1,1,0,0,1.504783712,0.8693803,0.030991736,2,0,NaN
1,0,0,0,0.91965292,0.673463,0.030991736,2,1,NaN
1,0,0,1,0.814678685,0.4012543,0.030991736,2,1,NaN
1,1,0,1,0.451581329,0.539668,0.030991736,2,0,NaN
1,0,0,0,0.446940886,0.6734063,0.030991736,2,1,NaN
1,1,0,0,0.568630842,0.3892492,0.030991736,2,0,NaN
1,1,0,1,0.468293973,0.1886279,0.030991736,2,0,NaN
1,0,1,0,0.568617153,0.3725448,0.030991736,2,0,NaN
1,1,0,0,1.304188106,0.5731024,0.030991736,2,0,NaN
1,0,0,0,0.685634166,0.422673,0.030991736,2,1,NaN
1,0,0,0,0.468283263,0.1170964,0.030991736,2,1,NaN
1,1,1,0,0.969828292,0.4179746,0.05490375,6,1,0
1,0,1,0,1.538235359,0.422709,0.05490375,6,0,1
1,1,0,1,0.702320086,0.3892106,0.05490375,6,0,1
1,1,1,0,0.881581881,0.3678792,0.05490375,6,1,1
1,1,1,1,1.220569378,0.5517478,0.05490375,6,1,1
1,0,1,0,1.58837134,1.15824,0.05490375,6,0,1
1,1,0,0,1.120277396,0.4226811,0.05490375,6,0,1
1,1,0,1,0.864837015,0.5183139,0.05490375,6,0,0
1,1,0,0,0.697684022,0.4561113,0.05490375,6,0,1
1,0,0,0,1.287428713,0.5015984,0.05490375,6,1,1
1,1,0,1,0.769203541,0.3892704,0.05490375,6,0,1
1,1,0,0,1.153736861,0.4848778,0.05490375,6,0,1
2,0,0,1,1.003253305,1.393254171,0.02,3,1,NaN
2,1,0,1,0.625987107,0.792975085,0.02,3,0,NaN
2,1,NaN,0,NaN,0.902776191,0.02,3,0,NaN
2,0,0,1,0.77644291,0.635354214,0.02,3,1,NaN
2,1,NaN,0,NaN,1.077190257,0.02,3,0,NaN
2,1,0,1,0.618758814,0.74286704,0.02,3,0,NaN
2,1,0,1,0.501755117,0.558974953,0.02,3,0,NaN
2,1,1,0,1.27074335,0.585139731,0.02,3,1,NaN
2,0,0,0,1.344812079,0.83597189,0.02,3,1,NaN
2,1,0,1,1.120304867,1.010366401,0.02,3,0,NaN
2,1,0,1,0.458790154,0.661543576,0.02,3,0,NaN
2,1,0,1,0.542422856,0.475410702,0.02,3,0,NaN
2,1,0,0,1.053391144,0.778536937,0.024,6,0,NaN
2,0,1,0,1.896511526,0.809736433,0.024,6,0,1
2,1,0,1,1.294694536,1.779291502,0.024,6,0,1
2,1,0,0,1.47857908,0.441980475,0.024,6,0,1
2,1,0,0,1.846361298,0.585162081,0.024,6,0,1
2,0,0,1,1.094051437,1.277848442,0.024,6,1,1
2,1,0,0,1.320914256,0.43473123,0.024,6,0,1
2,1,0,0,1.946650856,0.644827485,0.024,6,0,1
2,1,0,1,0.709579109,0.441946672,0.024,6,0,1
2,1,0,1,0.735767074,0.642530266,0.024,6,0,1
2,0,1,0,1.571655896,0.668734714,0.024,6,0,1
2,1,0,0,1.320861824,0.835972449,0.024,6,0,1
2,1,1,1,1.077356015,0.936236589,0.02,1,1,NaN
2,1,1,0,0.993737287,0.585186385,0.02,1,1,NaN
2,0,1,0,1.294700869,0.659170649,0.02,1,0,NaN
2,0,0,1,1.127524965,1.729184016,0.02,1,1,NaN
2,0,0,1,0.535189347,0.709463354,0.02,1,1,NaN
2,0,0,1,0.508970554,0.702195949,0.02,1,1,NaN
2,0,0,0,0.869530444,0.451414356,0.02,1,1,NaN
2,0,0,1,0.5591328,0.609141385,0.02,1,1,NaN
2,0,0,0,1.16096348,0.475382206,0.02,1,1,NaN
2,1,0,1,0.685627461,0.92678008,0.02,1,0,NaN
2,0,0,0,0.551894725,1.019838555,0.02,1,1,NaN
2,0,0,1,0.468284196,0.60189214,0.02,1,1,NaN
2,0,0,1,0.501750084,0.90284268,0.02,2,1,NaN
2,0,0,1,0.535174169,0.601897448,0.02,2,1,NaN
2,1,0,1,0.542412514,0.678231172,0.02,2,0,NaN
2,0,0,1,0.625995022,0.709398541,0.02,2,1,NaN
2,1,0,1,0.98655649,1.879659286,0.02,2,0,NaN
2,1,0,0,0.542422483,1.144075294,0.02,2,0,NaN
2,0,0,1,0.5591192,0.511107138,0.02,2,1,NaN
2,0,0,1,1.05338146,0.761844033,0.02,2,1,NaN
2,1,NaN,1,NaN,1.22046545,0.02,2,0,NaN
2,1,0,0,1.110819118,0.418038885,0.02,2,0,NaN
2,0,0,1,0.585341531,0.952988438,0.02,2,1,NaN
2,1,1,0,1.645724532,0.575696632,0.02,2,1,NaN
2,1,0,0,0.943609878,0.592433955,0.024,5,0,1
2,0,0,0,1.996786841,0.69496179,0.024,5,1,1
2,0,1,0,1.478590162,0.57571926,0.024,5,0,1
2,0,0,1,1.428415903,1.263378167,0.024,5,1,1
2,0,0,0,1.989594396,0.852638254,0.024,5,1,0
2,1,0,1,0.826564923,0.401290946,0.024,5,0,1
2,0,0,NaN,1.153734908,NaN,0.024,5,1,0
2,1,0,1,1.628991488,0.694977434,0.024,5,0,1
2,0,0,0,1.662447607,0.501592521,0.024,5,1,1
2,1,NaN,0,NaN,0.718907571,0.024,5,0,1
2,1,1,1,1.110760261,0.618610745,0.024,5,1,1
2,1,0,0,1.49526444,0.893310463,0.024,5,0,1
2,0,0,0,1.261225198,0.408543823,0.024,4,1,1
2,0,0,0,1.395001884,0.475415171,0.024,4,1,1
2,1,0,1,1.411723004,1.003117435,0.024,4,0,1
2,0,0,0,1.855852914,0.752331092,0.024,4,1,0
2,1,0,0,1.495305694,1.805581156,0.024,4,0,1
2,0,0,1,1.043925975,0.862132757,0.024,4,1,0
2,0,0,1,0.776416836,0.702201816,0.024,4,1,1
2,0,0,0,0.69282502,0.711688776,0.024,4,1,1
2,0,0,1,1.705366744,0.635333262,0.024,4,1,1
2,1,1,0,0.92687255,0.527779927,0.024,4,1,0
2,0,0,0,1.120307102,1.712429652,0.024,4,1,1
2,0,1,0,1.220565464,0.484886487,0.024,4,0,1
2,0,0,1,0.702353039,0.607598452,0.02,1,1,NaN
2,0,0,1,0.501742635,0.468127374,0.02,1,1,NaN
2,1,1,0,1.277987652,0.692756482,0.02,1,1,NaN
2,0,0,1,1.528738236,0.902808597,0.02,1,1,NaN
2,1,0,1,0.568616125,0.75235875,0.02,1,0,NaN
2,0,0,1,0.869501293,0.785779478,0.02,1,1,NaN
2,1,0,1,0.45160469,0.434721452,0.02,1,0,NaN
2,0,0,1,0.535173979,0.46093484,0.02,1,1,NaN
2,0,0,1,0.45880458,0.89329845,0.02,1,1,NaN
2,0,0,0,0.91016381,0.451470508,0.02,1,1,NaN
2,0,0,1,0.468277488,0.535047611,0.02,1,1,NaN
2,0,0,0,0.542385314,1.110638922,0.02,1,1,NaN
2,1,1,1,0.910209904,0.852618978,0.02,2,1,NaN
2,0,0,0,0.752492093,0.609118198,0.02,2,1,NaN
2,1,0,1,0.458807561,0.67601888,0.02,2,0,NaN
2,1,1,0,0.986521371,0.592373612,0.02,2,1,NaN
2,0,0,0,0.936411193,0.56843705,0.02,2,1,NaN
2,0,0,1,0.475556058,0.508812433,0.02,2,1,NaN
2,0,0,1,0.575810056,0.451445086,0.02,2,1,NaN
2,0,0,0,0.485011729,0.575659476,0.02,2,1,NaN
2,1,0,1,0.635481141,0.501607327,0.02,2,0,NaN
