Subj_idx,Stimulus,Response,Confidence,RT_decConf,Picture_ID,Accuracy,Confidence_raw
105,1,1,2,0.957731363,shapes\slide.292.jpeg,1,8
105,0,0,2,2.790415487,faces\slide015.jpg,1,2
105,1,1,2,5.160074086,faces\slide005.jpg,1,8
105,1,1,2,0.907139268,faces\slide004.jpg,1,8
105,0,1,1,1.631825534,faces\slide018.jpg,0,6
105,1,1,2,1.766162804,faces\slide012.jpg,1,8
105,0,0,2,1.403102713,words\slide33.jpg,1,2
105,1,1,2,0.880880862,words\slide34.jpg,1,8
105,0,0,2,0.847576033,words\slide35.jpg,1,2
105,0,1,2,0.880970298,words\slide36.jpg,0,8
105,1,1,2,0.811452856,words\slide37.jpg,1,8
105,1,1,2,1.410991085,shapes\slide.028.jpeg,1,8
105,0,0,2,1.009902525,shapes\slide.033.jpeg,1,2
105,1,1,2,1.598444098,shapes\slide.023.jpeg,1,8
105,1,1,1,1.648526332,shapes\slide.025.jpeg,1,6
105,0,1,1,1.596710717,shapes\slide.036.jpeg,0,6
105,1,0,1,1.94908498,faces\slide025.jpg,0,4
105,0,0,1,0.940485149,faces\slide035.jpg,1,4
105,0,1,1,1.814020856,faces\slide036.jpg,0,6
105,0,0,1,2.015719196,faces\slide037.jpg,1,4
105,1,1,2,1.243909797,faces\slide026.jpg,1,8
105,0,0,2,1.166995883,words\slide52.jpg,1,2
105,0,0,2,2.097424559,words\slide53.jpg,1,2
105,1,1,2,1.014207573,words\slide48.jpg,1,8
105,0,0,2,4.527211235,words\slide55.jpg,1,2
105,0,0,2,0.96392264,words\slide191.jpg,1,2
105,1,1,1,1.360589958,shapes\slide.042.jpeg,1,6
105,1,1,2,0.957147826,shapes\slide.047.jpeg,1,8
105,0,1,2,1.259939821,shapes\slide.053.jpeg,0,8
105,0,0,2,1.025849711,shapes\slide.054.jpeg,1,2
105,0,0,2,0.891519038,shapes\slide.055.jpeg,1,2
105,0,1,1,1.512323725,faces\slide053.jpg,0,6
105,0,0,2,2.486955652,faces\slide054.jpg,1,2
105,1,1,2,1.108860334,faces\slide041.jpg,1,8
105,0,0,1,1.513387433,faces\slide107.jpg,1,4
105,0,0,1,1.478978577,faces\slide057.jpg,1,4
106,0,0,2,4.089430989,words\slide14.jpg,1,2
106,1,1,2,1.35323564,words\slide7.jpg,1,8
106,0,1,2,3.244953711,words\slide16.jpg,0,8
106,0,0,2,2.417075698,words\slide217.jpg,1,2
106,0,0,2,1.197561536,words\slide18.jpg,1,2
106,1,1,2,1.698066083,shapes\slide.284.jpeg,1,8
106,1,1,2,1.648442761,shapes\slide.288.jpeg,1,8
106,0,1,2,2.218548321,shapes\slide.299.jpeg,0,8
106,0,1,2,2.001723852,shapes\slide.300.jpeg,0,8
106,1,1,2,1.445645891,shapes\slide.292.jpeg,1,8
106,0,0,2,2.387010376,faces\slide015.jpg,1,2
106,1,1,1,5.477735996,faces\slide005.jpg,1,6
106,1,1,2,1.545685368,faces\slide004.jpg,1,8
106,0,0,2,1.665086378,faces\slide018.jpg,1,2
106,1,1,2,1.261721953,faces\slide012.jpg,1,8
106,0,1,2,4.697835894,words\slide33.jpg,0,8
106,1,1,2,0.980885883,words\slide34.jpg,1,8
106,0,0,2,0.830900527,words\slide35.jpg,1,2
106,0,1,2,1.708468572,words\slide36.jpg,0,8
106,1,1,2,1.842029871,words\slide37.jpg,1,8
106,1,1,2,0.705463653,shapes\slide.028.jpeg,1,8
106,0,0,2,1.530088963,shapes\slide.033.jpeg,1,2
106,1,1,2,1.160630131,shapes\slide.023.jpeg,1,8
106,1,1,2,1.800172862,shapes\slide.025.jpeg,1,8
106,0,1,1,3.648385946,shapes\slide.036.jpeg,0,6
106,1,0,2,1.999172346,faces\slide025.jpg,0,2
106,0,0,2,1.109975357,faces\slide035.jpg,1,2
106,0,0,2,0.840602919,faces\slide036.jpg,1,2
106,0,0,2,0.755898135,faces\slide037.jpg,1,2
106,1,1,2,1.410643969,faces\slide026.jpg,1,8
106,0,0,2,1.200391615,words\slide52.jpg,1,2
106,0,0,2,0.691151249,words\slide53.jpg,1,2
106,1,1,2,1.300337256,words\slide48.jpg,1,8
106,0,0,1,4.495010434,words\slide55.jpg,1,4
106,0,0,2,1.133528676,words\slide191.jpg,1,2
106,1,1,2,1.12666076,shapes\slide.042.jpeg,1,8
106,1,0,2,4.939458462,shapes\slide.047.jpeg,0,2
106,0,1,2,0.973867318,shapes\slide.053.jpeg,0,8
106,0,0,2,2.386978487,shapes\slide.054.jpeg,1,2
106,0,0,2,0.991561814,shapes\slide.055.jpeg,1,2
106,0,1,2,1.076378027,faces\slide053.jpg,0,8
106,0,0,2,1.496706794,faces\slide054.jpg,1,2
106,1,0,2,1.175524239,faces\slide041.jpg,0,2
106,0,0,2,0.908171453,faces\slide107.jpg,1,2
106,0,0,2,0.823933278,faces\slide057.jpg,1,2
107,0,0,1,11.20376528,words\slide14.jpg,1,4
107,1,1,1,10.07310663,words\slide7.jpg,1,6
107,0,0,1,9.834635966,words\slide16.jpg,1,4
107,0,0,2,2.400427682,words\slide217.jpg,1,2
107,0,0,2,1.758706587,words\slide18.jpg,1,2
107,1,1,2,2.102498247,shapes\slide.284.jpeg,1,8
107,1,1,2,1.445701239,shapes\slide.288.jpeg,1,8
107,0,0,2,6.603015989,shapes\slide.299.jpeg,1,2
107,0,0,1,4.100086394,shapes\slide.300.jpeg,1,4
107,1,1,1,2.288032408,shapes\slide.292.jpeg,1,6
107,0,0,1,6.269111826,faces\slide015.jpg,1,4
107,1,1,2,1.463366778,faces\slide005.jpg,1,8
107,1,1,2,1.68076782,faces\slide004.jpg,1,8
107,0,0,1,5.073215128,faces\slide018.jpg,1,4
107,1,1,2,1.446723527,faces\slide012.jpg,1,8
107,0,0,2,2.33109791,words\slide33.jpg,1,2
107,1,1,2,1.403114442,words\slide34.jpg,1,8
107,0,0,2,1.26970416,words\slide35.jpg,1,2
107,0,0,1,4.631097213,words\slide36.jpg,1,4
107,1,1,2,1.233713304,words\slide37.jpg,1,8
107,1,1,2,3.107743111,shapes\slide.028.jpeg,1,8
107,0,0,2,1.629010118,shapes\slide.033.jpeg,1,2
107,1,1,2,1.209958386,shapes\slide.023.jpeg,1,8
107,1,1,2,2.016922923,shapes\slide.025.jpeg,1,8
107,0,0,2,1.595620984,shapes\slide.036.jpeg,1,2
107,1,1,2,2.806095463,faces\slide025.jpg,1,8
107,0,0,2,2.655315808,faces\slide035.jpg,1,2
107,0,0,1,2.318408558,faces\slide036.jpg,1,4
107,0,0,1,2.28587347,faces\slide037.jpg,1,4
107,1,1,1,2.016817359,faces\slide026.jpg,1,6
107,0,0,2,1.808868361,words\slide52.jpg,1,2
107,0,0,1,5.612779961,words\slide53.jpg,1,4
107,1,1,2,1.43645226,words\slide48.jpg,1,8
107,0,1,1,1.925353522,words\slide55.jpg,0,6
107,0,0,2,2.350364875,words\slide191.jpg,1,2
107,1,1,1,3.075502356,shapes\slide.042.jpeg,1,6
107,1,0,1,4.369176594,shapes\slide.047.jpeg,0,4
107,0,1,1,3.812904366,shapes\slide.053.jpeg,0,6
107,0,0,2,1.058882931,shapes\slide.054.jpeg,1,2
107,0,0,2,0.943387803,shapes\slide.055.jpeg,1,2
107,0,0,1,4.116298224,faces\slide053.jpg,1,4
107,0,1,1,2.184170621,faces\slide054.jpg,0,6
107,1,1,1,4.151831634,faces\slide041.jpg,1,6
107,0,0,1,2.402554365,faces\slide107.jpg,1,4
107,0,0,1,3.192744428,faces\slide057.jpg,1,4
108,0,0,1,7.323307039,words\slide14.jpg,1,4
108,1,1,1,3.75142741,words\slide7.jpg,1,6
108,0,1,1,3.937653971,words\slide16.jpg,0,6
108,0,0,1,3.17727888,words\slide217.jpg,1,4
108,0,0,1,1.912461105,words\slide18.jpg,1,4
108,1,1,2,1.315286712,shapes\slide.284.jpeg,1,8
108,1,1,1,1.790800357,shapes\slide.288.jpeg,1,6
108,0,1,2,4.636012188,shapes\slide.299.jpeg,0,8
108,0,0,1,4.044547068,shapes\slide.300.jpeg,1,4
108,1,1,1,1.907957025,shapes\slide.292.jpeg,1,6
108,0,1,1,1.987841769,faces\slide015.jpg,0,6
108,1,1,2,1.247345038,faces\slide005.jpg,1,8
108,1,1,2,1.031669314,faces\slide004.jpg,1,8
108,0,0,2,2.491468162,faces\slide018.jpg,1,2
108,1,1,2,1.521374404,faces\slide012.jpg,1,8
108,0,0,2,1.386928271,words\slide33.jpg,1,2
108,1,1,2,1.201352324,words\slide34.jpg,1,8
108,0,0,2,1.642154716,words\slide35.jpg,1,2
108,0,0,1,2.079228266,words\slide36.jpg,1,4
108,1,1,2,1.048601767,words\slide37.jpg,1,8
108,1,1,2,1.263846803,shapes\slide.028.jpeg,1,8
108,0,0,2,1.668966235,shapes\slide.033.jpeg,1,2
108,1,1,1,3.015905766,shapes\slide.023.jpeg,1,6
108,1,1,2,1.487993335,shapes\slide.025.jpeg,1,8
108,0,0,1,1.666171345,shapes\slide.036.jpeg,1,4
108,1,0,1,1.838004863,faces\slide025.jpg,0,4
108,0,0,1,1.6140471,faces\slide035.jpg,1,4
108,0,0,2,3.164766202,faces\slide036.jpg,1,2
108,0,1,1,4.49147366,faces\slide037.jpg,0,6
108,1,1,2,0.924514505,faces\slide026.jpg,1,8
108,0,0,2,1.503859148,words\slide52.jpg,1,2
108,0,0,2,1.402965626,words\slide53.jpg,1,2
108,1,1,1,2.419871321,words\slide48.jpg,1,6
108,0,0,1,1.301844114,words\slide55.jpg,1,4
108,0,0,1,1.419444666,words\slide191.jpg,1,4
