Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,Response_key,Solution,Target,Anagram,Type_of_change,RT_covresp,Trial,Sol_letters,Target_letters
39,0,0,4,0.602,1.09,2,3,1,o,klamerka,kelnerka,ELAMKRKA,changed,890,21,8,8
39,0,0,4,0.526,1.159,1,3,1,o,wanilia,lawina,WLNIAIA,added,699,22,7,6
39,0,0,4,0.599,1.488,1,3,1,o,spotkanie,eksponat,TPNSKAOIE,added,1278,23,9,8
39,1,1,4,1.066,1.682,3,3,1,p,plantacja,plantacja,CJATLANPA,none,951,24,9,9
39,1,NaN,2,NaN,1.9,3,3,1,NaN,korytarz,korytarz,RTZKYARO,none,0,25,8,8
39,1,1,NaN,1.003,NaN,3,3,1,p,mieszkanie,mieszkanie,ZKESIAIENM,none,1490,26,10,10
39,0,0,3,0.95,1.401,1,3,1,o,bratanek,kabaret,RNATBKEA,added,704,27,8,7
39,1,0,NaN,1.426,NaN,3,3,0,o,kurczak,kurczak,CKRAZKU,none,0,28,7,7
39,1,1,2,1.653,2.696,3,3,1,p,lakomstwo,lakomstwo,TLKOASOWM,none,1470,29,9,9
39,1,1,1,1.299,1.48,3,3,1,p,trucizna,trucizna,CNRIZAUT,none,1520,30,8,8
39,0,0,2,0.796,2.706,1,3,1,o,stolnica,stolica,ILOTNCSA,added,1125,31,8,7
39,0,0,4,1.1,1.144,0,3,1,o,sliniak,slimak,IALNKIS,added&changed,1446,32,7,6
39,1,0,2,1.023,1.479,3,3,0,o,dzielnica,dzielnica,NZLDIACIE,none,2003,33,9,9
39,1,1,4,0.708,1.127,3,3,1,p,dinozaur,dinozaur,OIDZUARN,none,588,34,8,8
39,0,0,4,0.877,0.889,2,3,1,o,zmiennik,ziemniak,NZIEKNMI,changed,803,35,8,8
39,0,0,2,1.695,1.333,1,3,1,o,uzdrowisko,skorowidz,ISDRKWOZUO,added,2697,36,10,9
39,0,0,4,0.734,1.248,2,3,1,o,bratowa,watroba,TRWAOBA,changed,873,37,7,7
39,0,0,4,1.146,1.217,2,3,1,o,koniczyna,zakonnica,NYNICZKOA,changed,966,38,9,9
39,1,1,3,1.031,1.404,3,3,1,p,tabletka,tabletka,KTALAETB,none,873,39,8,8
39,1,1,2,0.628,1.727,3,3,1,p,bankomat,bankomat,AKMOTABN,none,1698,40,8,8
39,0,0,2,0.953,1.638,1,3,1,o,katalog,lokata,KTGALOA,added,2254,41,7,6
39,0,0,4,0.825,0.777,2,3,1,o,czujnik,czajnik,KZIJUNC,changed,1741,42,7,7
40,0,NaN,NaN,NaN,NaN,1,2,0,NaN,korytarz,aktorzy,RTZKYARO,added,NaN,3,8,7
40,0,NaN,2,NaN,2.928,1,2,0,NaN,bakteria,bateria,AREIAKTB,added,NaN,4,8,7
40,0,0,NaN,0.323,NaN,1,2,1,p,tabletka,baletka,KTALAETB,added,NaN,5,8,7
40,0,0,4,1.463,1.365,0,2,1,p,mieszkanie,zamieszki,ZKESIAIENM,added&changed,NaN,6,10,9
40,0,1,3,2.218,1.98,2,2,0,o,dzielnica,niedziela,NZLDIACIE,changed,NaN,7,9,9
