Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
5,2,1,3,1.691,1.243,1,0,25,2,7,7,248,248,0
5,1,1,2,1.122,1.616,1,1,26,2,8,7,962,408,2
5,1,1,2,0.938,3.072,1,1,27,2,8,6,455,457,2
5,2,1,2,0.926,1.777,1,0,28,2,9,9,653,653,0
5,1,1,2,0.993,1.829,1,1,29,2,9,9,2212,100,2
5,1,1,3,0.835,2.549,1,1,30,2,8,6,896,100,2
5,2,2,3,1.741,1.743,1,1,31,2,7,7,212,212,0
5,2,2,3,1.431,2.036,1,1,32,2,7,7,920,920,0
6,1,1,4,2.969,4.287,1,1,1,0,NaN,NaN,NaN,NaN,NaN
6,2,2,3,0.65,2.125,1,1,2,0,NaN,NaN,NaN,NaN,NaN
6,1,2,2,0.892,3.053,1,0,3,1,8,7,104,100,1
6,2,1,4,0.551,1.425,1,0,4,1,7,7,613,613,0
6,2,1,1,1.338,3.162,1,0,5,1,8,8,248,248,0
6,1,1,3,1.631,2.068,1,1,6,1,8,7,857,227,1
6,1,1,2,1.114,2.209,1,1,7,1,8,7,1022,556,1
6,1,1,2,1.505,2.702,1,1,8,1,8,7,272,12786,0
6,2,2,3,0.992,2.091,1,1,9,1,7,7,126,126,0
6,2,1,2,1.207,2.072,1,0,10,1,8,8,1124,1124,0
6,1,1,4,1.235,1.452,1,1,11,1,8,7,134,196,1
6,2,2,2,0.88,2.762,1,1,12,1,9,9,707,707,0
6,1,1,2,1.152,1.714,1,1,13,1,7,7,618,1644,1
6,2,1,1,1.181,2.454,1,0,14,1,8,8,162,162,0
6,1,1,2,1.335,1.854,1,1,15,1,8,8,594,100,1
6,1,2,2,1.27,2.632,1,0,16,1,8,9,3412,100,1
6,1,2,2,1.069,1.258,1,0,17,1,7,7,177,236,1
6,1,1,2,1.347,1.599,1,1,18,2,9,9,120,1042,1
6,2,2,3,1.23,2.897,1,1,19,2,8,8,1026,1026,0
6,2,1,2,1.144,1.539,1,0,20,2,6,6,422,422,0
6,2,2,2,1.421,1.964,1,1,21,2,8,8,2183,2183,0
6,2,1,1,1.106,1.839,1,0,22,2,7,7,248,248,0
6,2,1,2,1.142,2.769,1,0,23,2,8,8,328,328,0
6,1,1,1,2.55,2.152,1,1,24,2,8,6,896,100,2
6,1,1,4,1.111,2.261,1,1,25,2,8,7,976,283,2
6,2,1,2,1.232,2.333,1,0,26,2,9,9,653,653,0
6,1,1,2,1.403,1.625,1,1,27,2,8,6,175,160,2
6,2,1,1,0.936,1.839,1,0,28,2,7,7,212,212,0
6,1,2,4,1.96,2.21,1,0,29,2,8,6,455,457,2
6,2,2,2,1.558,1.294,1,1,30,2,7,7,920,920,0
6,1,1,2,1.206,1.789,1,1,31,2,9,9,2212,100,2
6,1,1,3,1.035,2.462,1,1,32,2,8,7,962,408,2
7,1,1,4,2.568,6.28,1,1,1,0,NaN,NaN,NaN,NaN,NaN
7,2,2,4,2.12,2.313,1,1,2,0,NaN,NaN,NaN,NaN,NaN
7,2,2,4,0.111,2.299,1,1,3,1,8,8,162,162,0
7,1,1,4,1.958,1.573,1,1,4,1,8,7,272,12786,0
