Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Prompt_time
2,2,2,53,3.4629,0.02,1.5
2,1,1,54,3.3537,0.02,1.5
2,2,2,53,3.62,0.04,1.5
2,2,2,63,2.2862,0.04,0.05
2,1,1,62,2.5099,0.02,0.05
2,1,1,72,2.2286,0.04,0.05
2,2,2,74,3.306,0.04,1.5
2,1,2,51,2.7956,0.08,0.75
2,2,2,66,3.3863,0.08,0.75
2,2,2,54,2.4466,0.02,0.05
2,2,1,56,2.836,0.02,0.75
2,1,1,55,3.6443,0.04,1.5
2,2,1,64,2.5472,0.02,0.05
2,2,1,55,2.6238,0.04,0.75
2,1,1,56,2.2472,0.04,0.05
2,1,1,63,2.3885,0.08,0.05
2,2,2,55,3.4835,0.08,1.5
2,2,2,65,2.134,0.02,0.05
2,1,1,56,2.7654,0.16,0.05
2,2,2,55,3.1311,0.02,1.5
2,2,2,83,2.88,0.08,0.75
2,2,2,75,3.3408,0.08,1.5
2,2,2,97,3.4695,0.16,1.5
2,2,1,54,3.0131,0.02,0.75
2,2,2,65,2.2095,0.04,0.05
2,2,2,75,3.3184,0.16,1.5
2,1,1,55,2.1687,0.08,0.05
2,1,2,53,3.5219,0.02,1.5
2,1,1,98,2.9385,0.16,0.75
2,1,1,86,3.314,0.04,1.5
2,1,1,99,2.5733,0.16,0.75
2,1,1,99,1.9633,0.16,0.05
2,2,1,74,2.7196,0.04,0.75
2,2,2,67,2.1892,0.08,0.75
2,2,2,75,2.4905,0.02,0.75
2,2,2,71,3.6812,0.04,1.5
2,1,1,73,3.4018,0.08,0.75
2,2,2,74,4.2185,0.02,1.5
2,1,2,73,2.4845,0.02,0.05
2,2,2,64,3.8976,0.02,1.5
2,2,1,62,2.5465,0.02,0.05
2,2,2,74,2.3135,0.08,0.05
2,2,2,55,3.8686,0.04,1.5
2,2,1,54,3.0161,0.02,0.75
2,1,1,65,3.8466,0.08,1.5
2,2,2,73,3.374,0.16,1.5
2,1,1,96,2.2172,0.16,0.05
2,1,2,53,2.4305,0.04,0.05
2,1,1,63,2.9226,0.04,0.75
2,1,1,57,2.6081,0.16,0.75
2,1,1,54,2.1655,0.08,0.05
2,2,2,73,2.4973,0.08,0.75
2,1,1,75,2.7772,0.16,0.75
2,2,2,75,3.7543,0.08,1.5
2,1,1,84,3.6085,0.16,1.5
2,2,2,56,2.7841,0.04,0.75
2,2,2,95,1.9473,0.16,0.05
2,2,2,63,2.1805,0.04,0.05
2,1,1,85,2.7719,0.16,0.75
2,2,1,55,3.7634,0.02,1.5
2,2,2,54,2.9466,0.02,0.75
2,2,2,53,3.9623,0.04,1.5
2,1,1,84,2.7299,0.16,0.75
2,2,2,74,3.9909,0.08,1.5
2,2,1,55,3.9998,0.02,1.5
2,1,2,53,3.4704,0.04,0.75
2,1,2,51,3.2165,0.04,0.05
2,1,1,64,3.8479,0.04,1.5
2,2,1,62,3.4873,0.04,0.75
2,1,1,55,4.0754,0.02,0.05
2,2,1,54,3.0124,0.04,0.05
2,1,1,95,2.5612,0.16,0.05
2,1,1,65,2.3702,0.02,0.05
2,1,1,97,2.0391,0.16,0.05
2,1,1,54,2.4209,0.08,0.05
2,2,2,54,3.5125,0.08,1.5
2,1,1,95,2.272,0.08,0.05
2,1,1,54,2.7981,0.02,0.75
2,2,2,68,3.2428,0.16,1.5
2,2,2,55,2.9522,0.08,0.75
2,2,2,83,3.2823,0.16,1.5
2,1,1,74,2.7409,0.08,0.75
2,1,1,81,2.9398,0.16,0.75
2,1,2,52,3.3302,0.04,1.5
2,2,2,66,2.5988,0.04,0.05
2,2,2,53,3.2818,0.08,1.5
2,1,2,54,2.636,0.04,0.05
2,1,2,64,3.3455,0.02,1.5
2,1,1,85,2.3269,0.16,0.05
2,2,2,54,2.8501,0.04,0.75
2,1,1,73,3.3103,0.16,1.5
2,2,2,89,1.9032,0.16,0.05
2,1,1,64,2.0449,0.08,0.05
2,2,2,81,2.1839,0.08,0.05
2,2,2,54,3.7811,0.04,1.5
2,1,1,55,2.8371,0.02,0.75
2,2,2,54,3.0264,0.02,0.75
2,2,2,64,3.1775,0.08,0.75
2,2,2,64,3.5583,0.02,1.5
2,2,2,94,3.1023,0.16,1.5
2,1,1,56,3.7825,0.04,0.75
2,1,2,53,3.3749,0.02,0.05
2,2,2,96,2.5324,0.16,0.75
2,1,1,57,2.6417,0.08,0.75
2,2,2,57,3.8906,0.08,1.5
2,2,2,57,2.8762,0.02,0.05
2,2,1,53,2.7844,0.04,0.75
2,1,1,64,3.0353,0.04,0.75
2,1,1,85,2.3461,0.16,0.05
2,1,1,66,1.8735,0.04,0.05
2,2,1,63,3.0501,0.02,0.75
2,2,2,55,2.0217,0.08,0.05
2,1,1,55,2.8286,0.02,0.05
2,2,2,66,3.5298,0.08,1.5
2,1,2,65,3.84,0.08,0.75
2,2,2,75,2.6461,0.16,1.5
2,1,1,55,4.2387,0.02,1.5
2,2,2,66,2.6007,0.02,0.05
2,1,1,67,3.864,0.04,1.5
2,2,2,74,2.4926,0.08,0.05
2,2,1,53,3.2003,0.04,0.05
2,2,2,68,2.6999,0.08,0.75
2,2,2,92,3.5155,0.16,1.5
2,2,2,65,3.3484,0.02,0.75
2,1,1,98,2.7564,0.16,0.75
2,2,2,74,3.51,0.04,1.5
2,1,1,96,3.7034,0.08,1.5
2,1,1,95,2.3821,0.16,0.05
2,2,2,84,2.7505,0.16,0.75
2,2,2,52,3.8529,0.02,1.5
2,2,2,67,3.4832,0.04,1.5
2,2,2,59,3.8478,0.08,1.5
2,1,1,73,4.0234,0.08,1.5
2,2,2,63,2.2638,0.16,0.05
2,1,2,76,2.2785,0.02,0.05
2,2,2,97,2.5009,0.16,0.75
2,2,2,95,1.893,0.04,0.05
2,1,1,62,2.5349,0.04,0.75
2,1,2,62,3.0362,0.08,0.75
2,1,1,74,3.1641,0.16,1.5
2,2,1,54,2.4699,0.02,0.05
2,2,2,67,2.9282,0.16,0.75
2,1,2,54,3.8365,0.02,1.5
2,1,1,73,3.0016,0.08,0.75
2,1,1,65,2.8167,0.02,0.75
2,1,1,58,2.3007,0.16,0.05
2,2,2,65,3.3555,0.16,1.5
2,2,1,55,3.9348,0.02,1.5
2,1,2,52,3.1497,0.04,0.75
2,2,1,53,2.2934,0.04,0.05
2,2,1,50,2.3856,0.04,1.5
2,2,2,55,2.126,0.08,0.05
2,2,2,54,2.3683,0.02,0.75
2,2,2,55,2.2338,0.08,0.05
2,2,2,55,3.0978,0.08,0.05
2,2,2,65,2.5963,0.08,0.75
2,1,1,83,1.928,0.08,0.05
2,1,1,65,2.7464,0.08,0.75
2,2,2,81,2.3986,0.16,0.75
2,2,1,66,3.0804,0.02,1.5
2,2,2,73,2.9909,0.08,1.5
2,1,2,76,3.6647,0.02,0.75
2,1,1,76,1.9204,0.16,0.05
2,1,1,92,3.8943,0.16,1.5
2,2,2,70,5.1598,0.02,1.5
2,2,2,54,3.9646,0.04,0.75
2,2,2,59,3.6037,0.02,0.05
2,2,2,56,3.7564,0.04,0.75
2,2,2,66,3.9994,0.08,1.5
2,2,1,61,2.7116,0.04,0.05
2,2,2,60,2.8727,0.02,0.05
2,2,1,56,3.7785,0.04,1.5
2,2,2,55,4.5183,0.04,1.5
