Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
15,3,70,190,3,0.6141,3.0594,3,2.5831,1,0.12951
15,3,71,191,3,0.71463,2.8082,3,1.357,0,2.1124
15,3,72,192,3,0.84568,2.9922,3,4.6968,0,0.10697
15,3,73,193,1.5,0.65079,1.7703,3,3.8318,0,0.16198
15,3,74,194,1.5,0.46292,1.8454,2,1.6147,1,0.12601
15,3,75,195,1.5,0.48712,1.41,3,1.4644,1,0.26409
15,3,76,196,1.5,0.40781,1.6893,3,0.66001,0,0.16602
15,3,77,197,1.5,0.40629,1.4751,3,1.2004,0,0.15456
15,3,78,198,1.5,0.37914,1.4318,3,1.7772,0,0.11349
15,3,79,199,1.5,0.32322,1.289,2,1.1357,0,0.10693
15,3,80,200,3,0.44701,2.9709,3,1.5666,0,0.25271
15,3,81,201,1.5,0.41372,1.5912,3,1.1617,0,0.11539
15,3,82,202,1.5,0.4269,1.204,2,1.4845,0,0.12923
15,3,83,203,3,0.56972,2.4468,3,5.4233,0,0.16415
15,3,84,204,3,0.49045,2.264,2,7.3119,0,0.11465
15,3,85,205,1.5,0.52618,1.6905,3,1.2355,0,0.082293
15,3,86,206,1.5,0.43726,1.1357,3,1.4452,0,0.12837
15,3,87,207,1.5,0.47573,1.902,2,0.7186,1,0.17076
15,3,88,208,3,1.2833,2.9789,3,1.85,0,0.12738
15,3,89,209,1.5,0.75836,1.7654,3,1.6516,0,0.10469
15,3,90,210,3,0.47854,2.418,3,1.8028,1,0.80622
16,1,1,1,3,3.0301,2.7002,3,2.1625,0,2.8893
16,1,2,2,3,2.4626,2.1388,3,1.4573,1,1.3618
16,1,3,3,3,3.45,2.3149,2,2.2369,1,2.3794
16,1,4,4,3,1.7972,2.5045,2,2.8173,1,0.7806
16,1,5,5,3,1.5097,2.4511,3,1.8516,1,2.3917
16,1,6,6,3,1.2256,2.2631,3,6.9861,0,0.94324
16,1,7,7,3,1.6295,2.2416,3,2.7231,0,3.1307
16,1,8,8,3,0.87881,2.2191,2,2.2287,0,0.77596
16,1,9,9,3,0.71075,2.3796,2,2.2265,1,0.59939
16,1,10,10,3,0.62105,2.7104,3,1.8613,1,1.9011
16,1,11,11,3,0.97252,1.7745,2,2.5859,0,0.58962
16,1,12,12,3,0.81525,1.6919,3,0.98733,0,0.69626
16,1,13,13,3,0.73111,2.5831,3,2.3137,1,0.8644
16,1,14,14,3,0.63236,2.3431,2,2.7737,1,0.70625
16,1,15,15,3,1.2606,2.7401,2,1.3064,0,2.4242
16,1,16,16,3,0.74937,1.5546,2,1.3081,0,0.73842
16,1,17,17,3,0.75979,2.2139,1,2.5625,0,1.2636
16,1,18,18,3,0.55463,2.4987,2,1.1497,1,0.56685
16,1,19,19,3,0.57128,2.6358,3,2.0274,0,1.0134
16,1,20,20,3,0.72921,2.4815,2,1.2406,0,0.89865
16,1,21,21,3,0.75683,2.6634,3,2.2378,0,0.9693
16,1,22,22,3,0.63106,2.1791,3,2.5261,1,2.8615
16,1,23,23,3,1.0639,2.1442,1,2.5376,0,0.54287
16,1,24,24,3,0.94304,2.8654,3,1.1743,1,1.237
16,1,25,25,3,0.74369,3.128,3,0.98532,0,1.2449
16,1,26,26,3,0.67409,2.6522,3,1.7776,1,0.56286
16,1,27,27,3,0.60312,2.3085,2,1.0234,1,0.53579
16,1,28,28,3,2.695,2.374,2,2.6466,0,1.3521
16,1,29,29,3,0.35392,2.0859,3,2.6668,0,0.80447
16,1,30,30,3,1.2105,2.5533,3,1.6161,1,0.72824
16,1,31,31,3,0.60865,3.2275,3,1.2223,1,0.62285
16,1,32,32,3,0.67246,2.6743,3,1.2584,0,1.1134
16,1,33,33,3,0.63917,2.9872,3,1.441,1,2.6616
16,1,34,34,3,0.97428,3.4756,3,1.6182,1,2.243
16,1,35,35,3,0.85884,3.0531,3,1.7387,1,0.92175
16,1,36,36,3,0.64541,2.0562,2,3.4583,0,1.0066
16,1,37,37,3,1.4372,2.4201,2,1.4418,0,0.58716
16,1,38,38,3,1.0963,2.2931,2,1.2735,0,0.69797
16,1,39,39,3,1.7352,2.5299,1,1.0266,1,3.041
16,1,40,40,3,1.6986,3.2684,3,2.0255,1,1.648
16,1,41,41,3,1.3468,2.9555,3,2.0177,1,0.76554
16,1,42,42,3,1.1068,3.2864,2,1.1521,1,0.54419
16,1,43,43,3,0.97793,1.817,1,1.5403,0,0.52361
16,1,44,44,3,0.67355,3.0875,2,1.2526,1,0.45836
16,1,45,45,3,0.47611,3.1788,3,1.7616,1,1.3889
16,1,46,46,3,1.1867,3.2841,2,1.2984,1,0.54053
16,1,47,47,3,0.58627,2.4231,3,1.4068,1,0.98609
16,1,48,48,3,0.63822,2.6121,2,2.3244,1,0.56029
16,1,49,49,3,0.87768,2.5041,2,2.1934,1,0.81187
16,1,50,50,3,1.256,2.9728,2,2.731,0,3.777
16,1,51,51,3,2.474,2.7717,1,2.6543,1,0.76694
16,1,52,52,3,0.73861,2.3611,2,2.1123,0,1.089
16,1,53,53,3,0.65937,2.7784,2,1.2243,0,0.54968
16,1,54,54,3,0.51735,2.7951,2,1.2241,0,4.0504
16,1,55,55,3,0.83759,2.7475,1,1.5012,0,0.60531
16,1,56,56,3,1.0094,3.24,3,1.6297,1,0.68014
16,1,57,57,3,0.82186,2.5732,3,3.8454,0,1.2587
16,1,58,58,3,0.57003,3.2342,3,1.3625,1,0.71712
16,1,59,59,3,0.71209,3.1686,3,1.0634,0,1.3774
16,1,60,60,3,0.62591,2.2146,1,0.86289,0,0.71403
16,2,1,61,1.5,1.6645,1.1432,2,6.2262,0,0.70344
16,2,2,62,1.5,2.2635,1.7027,3,4.0815,1,1.2993
16,2,3,63,1.5,1.9292,1.4027,3,2.2951,0,1.1499
16,2,4,64,1.5,0.9653,1.6544,3,1.9066,1,0.82269
16,2,5,65,1.5,0.93087,1.7568,3,4.6471,1,0.45895
16,2,6,66,1.5,0.88435,1.2816,3,1.2518,0,0.94394
16,2,7,67,1.5,0.51491,1.3048,3,1.06,0,1.139
16,2,8,68,1.5,0.65971,1.5779,3,1.2366,0,0.932
16,2,9,69,1.5,0.57039,1.5472,3,1.1504,0,0.50599
16,2,10,70,1.5,0.71189,1.8927,2,1.5494,1,1.1286
16,2,11,71,1.5,0.92618,1.5911,3,3.4854,0,0.62934
16,2,12,72,1.5,0.66679,1.6575,3,1.2098,0,0.57697
16,2,13,73,1.5,0.65374,1.3715,2,1.3216,0,0.5472
16,2,14,74,1.5,0.7494,1.231,3,1.2272,0,0.50119
16,2,15,75,1.5,1.3482,1.6563,2,1.4484,1,0.48992
16,2,16,76,1.5,1.5882,1.4453,2,1.6376,1,0.42031
16,2,17,77,1.5,0.74128,1.4378,3,1.3972,0,0.78884
16,2,18,78,1.5,0.65271,1.1466,3,1.2385,0,0.39773
16,2,19,79,1.5,0.70604,1.6628,3,1.1242,0,0.51269
16,2,20,80,1.5,0.75926,1.7026,3,1.1312,0,2.0409
16,2,21,81,1.5,0.84922,1.6923,3,1.0248,0,1.4763
16,2,22,82,1.5,0.87196,1.5865,2,1.37,1,0.50707
16,2,23,83,1.5,1.1355,1.4704,1,2.0201,0,0.78095
16,2,24,84,1.5,0.8543,1.3238,1,1.4739,1,0.49829
16,2,25,85,1.5,0.75004,1.7804,1,1.6249,1,0.39906
16,2,26,86,1.5,0.9245,1.6769,1,3.8511,0,1.0891
16,2,27,87,1.5,1.3858,1.5807,2,2.9894,0,0.50575
16,2,28,88,1.5,0.6589,1.3652,1,1.9036,1,1.1189
16,2,29,89,1.5,0.88903,1.5355,3,1.1306,1,0.95231
16,2,30,90,1.5,0.87282,1.3994,3,1.0916,0,0.51264
16,2,31,91,1.5,1.9772,1.3502,1,1.6175,0,1.0036
16,2,32,92,1.5,3.3013,2.8901,1,1.5572,1,1.3994
16,2,33,93,1.5,1.0049,1.435,2,1.6686,0,1.0302
16,2,34,94,1.5,1.0619,1.7173,2,1.3538,1,0.55769
