Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,TMSsite
1,2,2,4,0.98173,0.07,2
1,1,1,4,1.0781,0.07,2
1,1,1,4,0.85118,0.07,2
1,1,1,4,1.3694,0.07,2
1,2,2,3,1.3539,0.07,2
1,1,1,2,1.2744,0.07,2
1,2,1,1,1.5034,0.07,2
1,2,2,3,1.892,0.07,3
1,1,1,4,1.2501,0.07,3
1,2,2,4,1.2242,0.07,3
1,2,2,3,1.2784,0.07,3
1,2,2,2,1.4584,0.07,3
1,1,2,2,1.5834,0.07,3
1,1,1,4,0.99883,0.07,3
1,2,2,2,2.2793,0.07,3
1,1,1,3,1.3945,0.07,3
1,1,1,4,1.027,0.07,3
1,2,2,4,1.1216,0.07,3
1,1,1,2,1.5644,0.07,3
1,1,1,2,2.4052,0.07,3
1,1,1,3,1.6747,0.07,3
1,2,2,3,1.3901,0.07,3
1,1,1,4,1.423,0.07,3
1,2,2,3,1.5967,0.07,3
1,1,1,1,2.1643,0.07,3
1,1,1,3,1.4606,0.07,3
1,1,1,4,0.94585,0.07,3
1,1,2,2,2.0201,0.07,3
1,1,2,1,2.3934,0.07,3
1,2,2,3,1.2472,0.07,3
1,2,2,2,1.5256,0.07,3
1,2,2,4,1.4874,0.07,3
1,2,2,4,1.1159,0.07,3
1,1,1,4,1.655,0.07,3
1,2,2,4,1.0196,0.07,3
1,2,2,4,1.2744,0.07,3
1,2,2,3,1.2623,0.07,3
1,1,1,4,1.0285,0.07,3
1,2,2,3,1.1382,0.07,3
1,1,1,3,1.613,0.07,3
1,1,1,3,1.2992,0.07,3
1,1,1,4,1.159,0.07,3
1,2,2,4,0.97745,0.07,3
1,2,2,1,3.2019,0.07,3
1,2,2,2,1.0631,0.07,3
1,2,2,2,0.99689,0.07,3
1,1,2,1,2.2281,0.07,3
1,2,2,2,2.2803,0.07,2
1,1,1,2,1.431,0.07,2
1,1,1,2,2.5016,0.07,2
1,2,2,3,1.7192,0.07,2
1,2,2,3,1.1135,0.07,2
1,1,2,1,1.7491,0.07,2
1,1,1,4,1.302,0.07,2
1,1,2,2,1.6254,0.07,2
1,1,1,1,1.4386,0.07,2
1,2,2,1,1.3892,0.07,2
1,1,1,2,1.1648,0.07,2
1,2,2,1,1.4135,0.07,2
1,2,2,4,1.5409,0.07,2
1,2,2,4,1.5334,0.07,2
1,1,1,4,0.85576,0.07,2
1,1,1,3,1.149,0.07,2
1,1,1,3,1,0.07,2
1,1,2,2,1.3996,0.07,2
1,1,1,2,1.1916,0.07,2
1,1,1,3,1.2155,0.07,2
1,1,2,2,1.3665,0.07,2
1,1,1,2,1.5755,0.07,2
1,1,1,1,1.9511,0.07,2
1,2,2,3,1.4635,0.07,2
1,1,1,1,1.6063,0.07,2
1,2,2,2,1.1645,0.07,2
1,2,2,3,1.3484,0.07,2
1,2,2,4,1.3992,0.07,2
1,2,2,4,1.4938,0.07,2
1,2,1,1,1.4099,0.07,2
1,2,2,4,1.4902,0.07,2
1,1,1,3,1.757,0.07,2
1,2,1,1,1.5336,0.07,2
1,2,2,1,1.3994,0.07,2
1,1,2,3,1.4958,0.07,2
1,2,2,3,1.1067,0.07,2
1,2,2,4,0.89396,0.07,2
1,2,2,4,1.0592,0.07,2
1,2,2,4,1.233,0.07,2
1,1,1,1,1.6233,0.07,2
1,2,2,1,2.3551,0.07,1
1,1,2,1,3.1013,0.07,1
1,2,2,2,1.9756,0.07,1
1,2,2,2,1.2156,0.07,1
1,1,2,2,2.0065,0.07,1
1,1,2,2,3.0526,0.07,1
