"Subj_idx","Condition","Stim_idx","Stimulus","Response","Confidence","RT_decConf","Resp_raw"
14,"face","face_27","2","1","1","4.406","4"
14,"face","face_19","1","1","3","1.043","6"
14,"face","face_210","1","1","2","3.337","5"
14,"face","face_79","1","1","3","1.386","6"
14,"face","face_11","1","1","3","1.811","6"
15,"face","face_124","1","1","3","1.939","6"
15,"face","face_10","1","2","3","1.776","1"
15,"face","face_201","1","1","3","1.667","6"
15,"face","face_51","2","2","1","3.123","3"
15,"face","face_63","1","1","2","1.704","5"
15,"face","face_47","1","1","3","1.239","6"
15,"face","face_15","2","2","3","1.56","1"
15,"face","face_99","2","2","3","1.444","1"
15,"face","face_69","2","1","3","1.509","6"
15,"face","face_93","1","1","3","0.947","6"
15,"face","face_182","1","1","3","0.92","6"
15,"face","face_107","2","1","3","1.503","6"
15,"face","face_138","1","1","3","0.773","6"
15,"face","face_192","1","1","1","1.882","4"
15,"face","face_14","2","2","3","2.249","1"
15,"face","face_87","1","1","3","1.433","6"
15,"face","face_183","2","2","3","1.554","1"
15,"face","face_91","2","2","3","1.391","1"
15,"face","face_33","2","2","2","2.019","2"
15,"face","face_139","1","1","3","1.468","6"
15,"face","face_28","1","1","3","0.852","6"
15,"face","face_75","1","2","1","1.669","3"
15,"face","face_181","2","2","2","2.021","2"
15,"face","face_207","2","1","1","2.246","4"
15,"face","face_167","2","1","1","1.806","4"
15,"face","face_212","1","1","2","1.825","5"
15,"face","face_162","1","1","1","1.635","4"
15,"face","face_205","2","2","2","2.484","2"
15,"face","face_131","2","2","2","1.946","2"
15,"face","face_189","1","1","3","1.51","6"
15,"face","face_119","1","1","3","0.931","6"
15,"face","face_50","1","1","2","1.561","5"
15,"face","face_101","1","2","3","1.541","1"
15,"face","face_196","2","2","3","1.179","1"
15,"face","face_170","2","2","3","2.878","1"
15,"face","face_2","2","2","3","1.236","1"
15,"face","face_164","2","2","3","1.053","1"
15,"face","face_8","2","2","3","1.062","1"
15,"face","face_25","2","2","3","1.511","1"
15,"face","face_62","2","1","1","1.949","4"
15,"face","face_52","1","2","3","1.249","1"
15,"face","face_203","1","1","3","3.842","6"
15,"face","face_115","2","2","3","2.274","1"
15,"face","face_9","2","2","2","1.201","2"
15,"face","face_22","2","2","3","1.276","1"
15,"face","face_1","1","1","3","1.467","6"
15,"face","face_20","1","2","1","2.572","3"
15,"face","face_64","1","1","2","2.375","5"
15,"face","face_100","1","1","3","1.034","6"
15,"face","face_17","2","2","3","1.78","1"
15,"face","face_152","1","1","3","1.335","6"
15,"face","face_158","1","1","3","1.068","6"
15,"face","face_98","2","2","2","2.957","2"
15,"face","face_148","1","1","3","1.512","6"
15,"face","face_135","2","2","3","2.046","1"
15,"face","face_175","1","1","3","1.311","6"
15,"face","face_149","1","1","3","0.789","6"
15,"face","face_67","2","1","1","2.673","4"
15,"face","face_150","1","1","3","0.719","6"
15,"face","face_143","2","2","3","1.51","1"
15,"face","face_110","1","2","2","2.212","2"
15,"face","face_76","2","1","1","1.813","4"
15,"face","face_169","1","2","3","1.71","1"
15,"face","face_130","1","1","3","1.228","6"
15,"face","face_36","2","2","1","2.398","3"
15,"face","face_199","2","2","3","1.4","1"
15,"face","face_65","1","1","3","1.603","6"
15,"face","face_209","1","1","3","0.797","6"
15,"face","face_31","2","2","3","1.336","1"
15,"face","face_171","2","1","3","2.23","6"
15,"face","face_96","1","1","2","3.815","5"
15,"face","face_24","1","1","2","2.639","5"
15,"face","face_198","2","2","1","2.368","3"
15,"face","face_5","1","2","3","2.683","1"
15,"face","face_132","1","2","2","1.481","2"
15,"face","face_108","2","2","2","1.337","2"
15,"face","face_59","2","2","2","1.15","2"
15,"face","face_46","2","2","2","1.195","2"
