Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,Condition
1,1,2,1,0.85554,1,1
1,1,1,2,0.83867,1,1
1,2,2,2,0.82223,1,1
1,2,2,1,0.84683,2,1
1,1,1,2,0.71947,1,1
1,2,1,2,0.8071,2,1
1,2,2,2,0.68633,2,1
1,2,2,2,0.6865,3,1
1,1,1,2,0.67918,3,1
1,1,1,2,0.71138,3,1
1,1,1,2,0.90328,3,1
1,1,1,2,0.57468,3,1
1,1,2,2,0.77547,3,1
1,2,1,2,0.63869,1,1
1,1,1,2,0.63902,3,1
1,2,2,2,0.63864,2,1
1,1,1,2,0.54348,3,1
1,1,1,2,0.56687,2,1
1,1,1,2,0.69471,1,1
1,2,2,2,0.75146,3,1
1,2,2,1,0.78353,3,1
1,1,1,1,0.63819,3,1
1,1,1,2,0.64674,2,1
1,2,2,1,0.759,2,1
1,1,1,1,0.7588,1,1
1,2,2,2,0.75066,3,1
1,2,1,2,0.70343,1,1
1,2,2,1,0.79133,1,1
1,1,1,2,0.73534,3,1
1,1,1,1,1.1035,1,1
1,2,2,1,0.71924,1,1
1,1,1,2,0.81466,3,1
1,1,1,2,0.61559,3,1
1,2,2,1,0.8784,2,1
1,2,2,2,0.83001,1,1
1,2,2,1,1.0781,1,1
1,2,2,2,0.74998,2,1
1,1,2,1,1.126,2,1
1,1,1,2,0.63077,3,1
1,2,2,2,0.73551,3,1
1,1,1,2,0.83833,2,1
1,2,2,2,0.83925,3,1
1,1,1,2,0.66286,3,1
1,1,1,2,0.68672,2,1
1,1,1,2,0.60679,2,1
1,2,2,2,0.93475,3,1
1,1,1,2,0.61452,2,1
1,1,2,1,0.93476,1,1
1,2,2,1,1.1101,3,1
1,1,1,2,1.2634,3,1
1,2,2,1,1.0866,1,1
1,2,2,1,0.95136,1,1
1,1,1,1,0.84614,3,1
1,2,2,1,0.66314,2,1
1,2,2,2,0.73485,2,1
1,2,2,1,0.8234,1,1
1,1,1,2,0.63111,3,1
1,2,2,2,0.80671,3,1
1,2,2,2,0.83058,3,1
1,2,2,1,0.83862,1,1
1,2,1,1,0.81523,2,1
1,2,2,1,0.65532,3,1
1,1,1,1,0.72635,1,1
1,1,1,1,1.1434,2,1
1,2,1,1,1.2074,3,1
1,2,1,1,0.8715,1,1
1,1,1,1,0.78251,1,1
1,1,1,1,0.79844,2,1
1,1,1,1,0.77512,1,1
1,2,NaN,NaN,NaN,3,1
1,1,2,2,0.95537,1,1
1,1,1,2,0.77963,3,1
1,1,2,2,0.73037,1,1
1,1,1,2,0.835,2,1
