"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Coherence","Accuracy","Training"
172,1,0,10,1.55880188343697,0.501282954573864,0.128,0,0
172,1,1,10,3.19650577510591,0.931849754848285,0.064,1,0
172,1,1,40,1.91301024612761,0.715727453354746,0.256,1,0
172,1,1,20,2.88024147318164,0.400261903856415,0.128,1,0
172,1,1,50,1.48416320872819,0.565930280929198,0.256,1,0
172,1,1,50,1.63761182081164,0.902770759263076,0.256,1,0
172,1,1,50,1.37516157680703,1.04822822463745,0.256,1,0
172,0,1,50,1.03047485016752,0.765166787112132,0.032,0,0
172,1,1,40,2.06874976227479,1.13305386054539,0.064,1,0
172,0,1,30,1.44763673729892,0.681874961133813,0.032,0,0
172,1,1,50,3.44867336459528,1.6144534341821,0.256,1,0
172,1,0,10,2.01426705861557,0.582677517142612,0.032,0,0
172,1,1,50,1.16148534141411,0.563867893713992,0.256,1,0
172,0,0,10,1.60180410581757,0.547650442273123,0.064,1,0
172,0,1,10,2.0300054397285,0.566783370252,0.032,0,0
172,0,0,10,3.30773763488466,0.551202566151973,0.128,1,0
172,1,1,20,1.28300257254881,0.615373539017979,0.032,1,0
172,0,0,50,1.30723743353505,0.819000768564176,0.128,1,0
172,0,0,10,1.58015236066608,0.598930589439813,0.128,1,0
172,1,1,50,2.95443518905831,0.932781934550731,0.256,1,0
172,0,0,50,1.42048458854691,0.850499265545281,0.128,1,0
172,0,0,20,2.23137859355495,0.632679539681645,0.128,1,0
172,0,0,50,1.41605824432569,0.869782827487215,0.128,1,0
172,0,0,50,1.23222443796112,0.616005054538604,0.064,1,0
172,1,0,10,2.62351984775905,0.665179344974691,0.032,0,0
172,1,0,20,1.14670298786392,0.466396853771526,0.032,0,0
172,1,0,20,1.3119179536954,0.467500798451481,0.064,0,0
172,1,0,20,1.98651841145335,0.398601609700592,0.064,0,0
172,0,1,10,4.72528954020725,1.10038440337661,0.064,0,0
172,0,0,10,2.97658622994274,0.850797212879173,0.128,1,0
172,1,0,20,1.84710019060178,1.01713604691764,0.064,0,0
172,0,0,20,2.59194497724809,0.599027792117326,0.064,1,0
172,0,1,10,1.6785812394009,0.832355872884393,0.064,0,0
172,0,0,50,1.99404135521036,0.982159384617349,0.032,1,0
172,0,0,40,1.6830715804135,0.467051009671064,0.256,1,0
172,0,0,10,2.56012740191724,0.56491236967477,0.032,1,0
172,0,0,20,1.5762802528243,0.667832193162991,0.032,1,0
172,1,0,20,1.33298135097162,0.670653183869785,0.064,0,0
172,1,1,50,2.50282340567885,0.431884168219753,0.128,1,0
172,0,0,20,2.02074160208018,0.952894134210423,0.128,1,0
