Subj_idx,Trial,Block,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,madFilter
1,92,1,669.7674419,547.9915433,-121.7758985,3,-1,0.337839083,0.28864387,1,1
1,93,1,466.807611,223.255814,-243.551797,2,-1,0.221982296,0.282870367,1,1
1,94,1,304.4397463,243.551797,-60.88794926,2,-1,0.23006557,0.280287277,1,1
1,95,1,669.7674419,547.9915433,-121.7758985,2,-1,0.839427936,0.275814089,1,1
1,96,1,304.4397463,263.8477801,-40.59196617,2,-1,0.255578661,0.292546552,1,1
1,97,1,669.7674419,527.6955603,-142.0718816,3,-1,0.484948444,1.403699454,1,1
1,98,1,669.7674419,568.2875264,-101.4799154,2,-1,1.272368043,0.301491152,1,1
1,99,1,466.807611,20.29598309,-446.5116279,1,-1,4.447684499,0.78549613,0,1
1,100,1,304.4397463,385.6236786,81.18393235,2,1,3.30251116,0.591724521,1,1
1,101,1,669.7674419,365.3276956,-304.4397463,1,-1,0.66655594,0.460485685,1,1
1,102,1,669.7674419,487.1035941,-182.6638478,3,-1,0.254852961,1.200753497,1,1
1,103,1,466.807611,365.3276956,-101.4799154,2,-1,1.215013905,0.330133195,1,1
1,104,1,669.7674419,345.0317125,-324.7357294,2,-1,0.895274529,0.311070246,1,1
1,105,1,466.807611,223.255814,-243.551797,1,-1,0.422076633,0.263055602,1,1
1,106,1,669.7674419,405.9196617,-263.8477801,3,-1,0.544318685,0.245532421,1,1
1,107,1,669.7674419,426.2156448,-243.551797,2,-1,0.247935952,0.607022427,1,1
1,108,1,304.4397463,304.4397463,-3.98E-13,3,-1,0.484123466,0.267673827,1,1
1,109,1,669.7674419,466.807611,-202.9598309,2,-1,1.009096408,0.240827417,1,1
1,110,1,304.4397463,345.0317125,40.59196617,2,-1,1.060091063,0.211465547,1,1
1,111,1,669.7674419,527.6955603,-142.0718816,2,-1,0.805721175,0.655195588,1,1
1,112,1,466.807611,507.3995772,40.59196617,3,-1,0.587111286,0.265411618,1,1
1,113,1,466.807611,324.7357294,-142.0718816,2,1,1.633321953,1.057483509,1,1
1,114,1,669.7674419,385.6236786,-284.1437632,2,-1,1.568475369,0.976485273,1,1
1,115,1,669.7674419,20.29598309,-649.4714588,1,-1,2.214383739,0.53084467,0,1
1,116,1,669.7674419,527.6955603,-142.0718816,2,-1,0.698659803,0.199272741,1,1
1,117,1,669.7674419,345.0317125,-324.7357294,3,-1,0.33444845,0.252705721,1,1
1,118,1,304.4397463,223.255814,-81.18393235,3,-1,0.254422549,0.287816123,1,1
1,119,1,466.807611,263.8477801,-202.9598309,1,1,0.300152099,0.267725201,1,1
1,120,1,304.4397463,284.1437632,-20.29598309,2,-1,1.294002775,0.59253914,1,1
1,121,2,669.7674419,345.0317125,-324.7357294,2,-1,0.298011829,0.324144564,1,1
1,122,2,669.7674419,466.807611,-202.9598309,2,-1,1.132896851,0.241085947,1,1
1,123,2,466.807611,446.5116279,-20.29598309,2,-1,0.340596457,0.251717624,1,1
1,124,2,304.4397463,284.1437632,-20.29598309,3,-1,0.814985913,0.39007433,1,1
1,125,2,669.7674419,345.0317125,-324.7357294,2,-1,0.43814438,2.026610475,1,1
1,126,2,304.4397463,345.0317125,40.59196617,3,-1,0.327513393,0.353541562,1,1
1,127,2,304.4397463,284.1437632,-20.29598309,3,-1,0.259271127,1.308869427,1,1
1,128,2,669.7674419,466.807611,-202.9598309,3,-1,0.819135008,2.62849113,1,1
1,129,2,466.807611,385.6236786,-81.18393235,3,-1,2.296259373,0.953477322,1,1
1,130,2,304.4397463,385.6236786,81.18393235,3,-1,0.346871288,0.53210702,1,1
1,131,2,669.7674419,487.1035941,-182.6638478,2,-1,0.360288979,0.330903485,1,1
1,132,2,669.7674419,385.6236786,-284.1437632,2,1,0.389600987,0.233509052,1,1
1,133,2,304.4397463,324.7357294,20.29598309,3,1,0.299755886,0.3064252,1,1
1,134,2,466.807611,365.3276956,-101.4799154,3,-1,0.257721079,0.548932946,1,1
1,135,2,304.4397463,365.3276956,60.88794926,3,-1,0.26846745,0.610285983,1,1
1,136,2,466.807611,405.9196617,-60.88794926,3,-1,0.44801493,0.271221821,1,1
1,137,2,304.4397463,304.4397463,-3.98E-13,2,1,1.021998518,0.690566934,1,1
1,138,2,669.7674419,487.1035941,-182.6638478,2,1,1.163221541,0.47508861,1,1
1,139,2,304.4397463,324.7357294,20.29598309,3,1,0.913634405,0.335018507,1,1
1,140,2,304.4397463,263.8477801,-40.59196617,2,1,0.921283775,0.476247542,1,1
1,141,2,669.7674419,487.1035941,-182.6638478,3,1,0.326918773,0.248465728,1,1
1,142,2,304.4397463,324.7357294,20.29598309,3,1,1.336719417,0.846947408,1,1
1,143,2,669.7674419,365.3276956,-304.4397463,1,-1,0.332585782,0.345535653,1,1
1,144,2,466.807611,426.2156448,-40.59196617,2,-1,3.336587035,1.041464192,1,1
1,145,2,466.807611,365.3276956,-101.4799154,3,-1,0.520358065,1.013253858,1,1
1,146,2,669.7674419,487.1035941,-182.6638478,3,1,0.430542132,1.223379108,1,1
1,147,2,669.7674419,527.6955603,-142.0718816,3,1,1.20455681,0.977885224,1,1
1,148,2,466.807611,345.0317125,-121.7758985,3,1,0.866897902,0.295651387,1,1
1,149,2,466.807611,405.9196617,-60.88794926,2,-1,0.29150055,0.522167607,1,1
1,150,2,304.4397463,202.9598309,-101.4799154,3,1,0.313648159,0.228524065,1,1
1,151,2,304.4397463,263.8477801,-40.59196617,3,-1,0.324123214,0.474655841,1,1
1,152,2,466.807611,223.255814,-243.551797,2,-1,0.372880192,0.442299176,1,1
1,153,2,304.4397463,243.551797,-60.88794926,3,-1,0.799276425,0.845917858,1,1
1,154,2,304.4397463,304.4397463,-3.98E-13,3,-1,0.357587148,0.262459581,1,1
1,155,2,304.4397463,304.4397463,-3.98E-13,3,1,0.273535604,0.233889532,1,1
1,156,2,466.807611,243.551797,-223.255814,1,-1,0.634660687,0.388614623,1,1
1,157,2,669.7674419,446.5116279,-223.255814,2,1,0.439846095,0.551020284,1,1
1,158,2,466.807611,365.3276956,-101.4799154,2,1,1.320731329,0.306370259,1,1
1,159,2,304.4397463,324.7357294,20.29598309,3,-1,0.923656938,1.172850723,1,1
1,160,2,669.7674419,345.0317125,-324.7357294,1,-1,0.910724985,0.312977695,1,1
1,161,2,466.807611,365.3276956,-101.4799154,2,-1,1.290924303,0.308821352,1,1
