Subj_idx,Stimulus,Response,Confidence,RT_dec,Conf_presses,Condition,Accuracy,Contrast,Orientation
42,1,1,5,0.7833358,3,Discrimination,1,0.055,NaN
42,0,0,6,0.6664182,3,Discrimination,1,0.055,NaN
42,1,0,6,0.7492673,2,Discrimination,0,0.055,NaN
42,1,0,4,1.1817211,2,Discrimination,0,0.055,NaN
42,0,0,4,0.9155836,1,Discrimination,1,0.055,NaN
42,0,1,2,1.0322334,1,Discrimination,0,0.055,NaN
42,1,0,1,1.2656604,0,Discrimination,0,0.055,NaN
42,0,0,6,0.6330499,3,Discrimination,1,0.055,NaN
42,1,0,6,0.6833214,4,Discrimination,0,0.055,NaN
42,1,1,6,0.8660699,2,Discrimination,1,0.055,NaN
42,1,1,6,0.7331375,0,Discrimination,1,0.055,NaN
42,0,0,5,1.0497261,1,Discrimination,1,0.055,NaN
42,1,1,2,0.7992146,0,Discrimination,1,0.055,NaN
42,1,0,3,0.8660336,1,Discrimination,0,0.055,NaN
42,1,0,2,1.0155919,4,Discrimination,0,0.055,NaN
42,0,0,3,0.8330251,2,Discrimination,1,0.055,NaN
42,0,0,2,1.1652996,1,Discrimination,1,0.055,NaN
42,1,1,3,0.9321861,2,Discrimination,1,0.055,NaN
42,1,1,3,0.7820052,3,Discrimination,1,0.055,NaN
42,0,1,3,0.8658248,0,Discrimination,0,0.055,NaN
42,0,1,3,0.8154099,3,Discrimination,0,0.055,NaN
42,0,0,4,1.0655686,2,Discrimination,1,0.055,NaN
42,1,1,6,0.7166284,3,Discrimination,1,0.055,NaN
42,1,1,6,0.6494707,2,Discrimination,1,0.055,NaN
42,0,1,3,0.899066,1,Discrimination,0,0.055,NaN
42,0,1,3,0.9990292,3,Discrimination,0,0.055,NaN
42,1,1,5,0.6492401,1,Discrimination,1,0.055,NaN
42,0,0,6,0.64934,2,Discrimination,1,0.055,NaN
42,0,0,6,0.7817485,1,Discrimination,1,0.055,NaN
42,0,0,6,0.5665495,4,Discrimination,1,0.055,NaN
42,0,0,6,0.6656352,5,Discrimination,1,0.055,NaN
42,0,0,6,0.7326838,1,Discrimination,1,0.055,NaN
42,1,0,5,0.8156705,3,Discrimination,0,0.055,NaN
42,1,0,4,0.8493138,3,Discrimination,0,0.055,NaN
42,1,0,4,0.865776,2,Discrimination,0,0.055,NaN
42,1,0,4,0.915761,1,Discrimination,0,0.055,NaN
42,0,NaN,NaN,NaN,0,Discrimination,NaN,0.055,NaN
42,0,1,4,0.8159728,2,Discrimination,0,0.055,NaN
42,1,0,4,0.7660055,1,Discrimination,0,0.055,NaN
42,0,1,2,0.8271213,2,Discrimination,0,0.055,NaN
42,0,0,2,1.1154405,0,Discrimination,1,0.055,NaN
42,1,1,3,0.8023256,3,Discrimination,1,0.055,NaN
42,1,1,4,0.8991553,2,Discrimination,1,0.055,NaN
42,1,1,3,0.8488024,1,Discrimination,1,0.055,NaN
42,0,1,3,0.8493507,1,Discrimination,0,0.055,NaN
42,0,0,6,0.8658905,5,Discrimination,1,0.055,NaN
42,1,0,3,0.815952,3,Discrimination,0,0.055,NaN
42,0,0,3,0.7826629,3,Discrimination,1,0.055,NaN
42,1,0,5,0.6992186,1,Discrimination,0,0.055,NaN
42,1,0,4,1.0991485,1,Discrimination,0,0.055,NaN
42,0,0,3,0.766294,3,Discrimination,1,0.055,NaN
