Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,coherence,Accuracy,Training,Scale
1,125,29.9176,0,2.7873,0.8891,0.062,95.0824,0,four-point scale
1,38,30.1323,2,1.5023,0.6811,0.125,7.8677,0,four-point scale
1,348,211.1337,0,3.6877,0.8212,0.062,136.8663,0,four-point scale
1,290,151.0012,0,2.5397,0.7192,0.031,138.9988,0,four-point scale
1,114,150.3202,1,1.4717,0.8631,0.016,36.3202,0,four-point scale
1,179,180.0837,0,6.2298,0.7312,0.062,1.0837,0,four-point scale
1,209,210.4528,0,2.9476,0.7894,0.031,1.4528,0,four-point scale
1,15,27.9148,1,2.8232,1.0073,0.5,12.9148,0,four-point scale
1,12,359.9458,3,1.1786,1.267,0.5,12.0542,0,four-point scale
1,329,151.345,2,1.663,2.169,0.125,177.655,0,four-point scale
1,303,151.0012,0,2.3943,0.8751,0.016,151.9988,0,four-point scale
1,51,60.1011,0,3.5574,1.385,0.031,9.1011,0,four-point scale
1,170,151.345,1.74,3.4059,2.2913,0.062,18.655,0,continuous scale
1,273,149.7323,0,1.5291,0.8477,0.016,123.2677,0,continuous scale
1,11,148.9856,0.66,2.9745,1.0482,0.016,137.9856,0,continuous scale
1,248,150.274,0.59,2.3057,1.3578,0.062,97.726,0,continuous scale
1,26,359.9458,2.03,2.4338,0.8483,0.125,26.0542,0,continuous scale
1,199,28.6086,1.87,3.0405,1.2902,0.031,170.3914,0,continuous scale
1,156,238.837,0,2.9288,0.8017,0.016,82.837,0,continuous scale
1,269,270.0542,3,2.8711,1.004,0.25,1.0542,0,continuous scale
1,307,299.0724,3,4.3207,1.0366,0.125,7.9276,0,continuous scale
1,24,299.0724,1.75,2.1903,0.8921,0.062,84.9276,0,continuous scale
1,17,359.9458,1.03,3.2249,1.2259,0.25,17.0542,0,continuous scale
1,344,151.0012,2.01,1.4763,0.9147,0.062,167.0012,0,continuous scale
1,164,150.274,1.47,1.7214,0.9204,0.25,13.726,0,continuous scale
1,151,270.0542,1.1,2.909,0.9799,0.031,119.0542,0,continuous scale
1,51,270.0559,0,2.246,0.9585,0.016,140.9441,0,continuous scale
1,303,299.3997,0,1.9302,1.0016,0.016,3.6003,0,continuous scale
1,49,270.0542,0.95,2.1979,1.1476,0.031,138.9458,0,continuous scale
1,0,89.944,0.61,2.6432,0.7359,0.016,89.944,0,continuous scale
1,314,299.4182,1.86,5.0034,2.0036,0.25,14.5818,0,continuous scale
1,296,300.104,1.16,4.353,5.3922,0.016,4.104,0,continuous scale
1,162,301.1133,1.16,4.1598,1.2458,0.031,139.1133,0,continuous scale
1,129,301.7745,1.14,4.031,1.1146,0.25,172.7745,0,continuous scale
1,205,28.4898,1.13,2.9056,0.858,0.125,176.5102,0,continuous scale
1,187,30.5703,1.16,1.7958,1.8097,0.031,156.4297,0,continuous scale
1,148,28.8849,1.16,2.3378,1.0491,0.031,119.1151,0,continuous scale
1,97,89.9457,1.16,1.8365,1.0008,0.125,7.0543,0,continuous scale
1,358,359.9458,0.73,4.2351,0.7658,0.25,1.9458,0,continuous scale
1,85,89.9457,1.27,4.1561,1.3358,0.125,4.9457,0,continuous scale
1,288,118.655,1.2,1.6468,0.9145,0.031,169.345,0,continuous scale
1,273,89.9457,1,3.7245,0.9807,0.062,176.9457,0,continuous scale
1,256,60.5347,0,5.7273,0.9449,0.125,164.5347,0,continuous scale
1,81,300.4428,0,2.8018,0.8494,0.031,140.5572,0,continuous scale
1,103,119.3405,1.1,1.5644,0.8037,0.016,16.3405,0,continuous scale
1,283,300.4617,0,10.1449,0.7664,0.016,17.4617,0,continuous scale
1,138,151.345,0.53,2.1081,0.7585,0.062,13.345,0,continuous scale
1,19,120.3517,0,1.5321,0.8476,0.016,101.3517,0,continuous scale
1,322,89.9457,0,2.5035,0.8937,0.016,127.9457,0,continuous scale
1,186,180.5111,3,1.9861,0.9813,0.5,5.4889,0,continuous scale
1,51,89.9457,1.1,3.2862,2.1396,0.031,38.9457,0,continuous scale
1,97,89.9457,3,2.6069,1.2491,0.5,7.0543,0,continuous scale
1,21,119.6798,0.95,1.9934,0.892,0.062,98.6798,0,continuous scale
1,309,299.0724,1.27,5.2103,1.1224,0.25,9.9276,0,continuous scale
1,159,150.3202,0.8,2.8678,0.8716,0.5,8.6798,0,continuous scale
1,283,299.4182,0.66,4.6682,1.5138,0.125,16.4182,0,continuous scale
1,251,240.2016,0.95,2.4883,2.8474,0.5,10.7984,0,continuous scale
1,230,241.3914,2,2.7431,2.0791,0.125,11.3914,0,four-point scale
1,70,58.1762,2,2.9933,1.1696,0.25,11.8238,0,four-point scale
1,353,298.0211,0,3.0856,1.153,0.031,54.9789,0,four-point scale
1,210,211.2923,3,3.6174,1.1133,0.5,1.2923,0,four-point scale
1,187,181.8756,3,1.3959,1.055,0.5,5.1244,0,four-point scale
