Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Correct,Stimulus1,Stimulus2,Solution,Confidence_prospective,Training
1,XX-X,1,6,1.257,0.364,1,77,5,71,5,0
1,XXX-XX,1,3,1.483,2.549,1,119,52,77,2,0
1,XXX-XXX,1,4,0.328,0.208,0,263,177,86,2,0
1,XX-XX,1,3,0.803,0.792,0,46,12,34,2,0
1,XXX-XX,1,4,0.255,0.218,1,156,63,83,2,0
1,XX*X,1,2,0.25,0.197,0,75,6,450,1,0
1,XXX-XX,1,3,0.252,0.103,1,172,99,77,2,0
1,XXX-XXX,1,3,0.236,0.136,1,788,699,81,2,0
1,XX-XX,1,3,0.155,0.201,1,35,17,12,2,0
10,XX-X,1,5,1.751,1.447,0,45,4,31,3,0
10,XX*XX,1,3,1.875,1.134,0,13,13,168,3,0
10,XX*X,0,3,1.594,0.56,1,15,7,90,3,0
10,XXX-XXX,1,4,1.677,1.056,0,677,160,527,4,0
10,XXX-XX,1,4,1.858,1.261,0,465,22,447,4,0
10,XXX-XXX,1,2,1.867,2.454,0,784,431,357,5,0
10,XX*XX,1,2,1.136,2.248,1,50,21,1050,3,0
10,XXX-XX,1,5,2.272,2.059,0,888,62,836,3,0
10,XXX-XX,1,3,1.607,1.9,0,148,56,82,4,0
10,XX-X,1,6,1.517,0.934,0,45,9,34,2,0
10,XXX-XXX,1,4,2.08,0.69,1,576,225,351,4,0
10,XXX-XX,1,5,2.506,0.844,1,105,22,83,4,0
10,XX-XX,1,4,1.968,0.295,1,66,29,37,3,0
10,XXX-XX,0,4,1.53,0.482,0,888,62,826,4,0
10,XXX-XX,1,4,2.284,0.374,1,148,56,92,4,0
10,XX-XX,0,4,1.633,0.453,1,52,16,26,4,0
10,XX*X,1,4,1.164,0.37,1,16,4,64,4,0
10,XXX-XX,1,4,1.605,0.315,0,119,52,77,4,0
10,XX-X,NaN,NaN,NaN,1.087,NaN,94,8,84,4,0
10,XX-X,1,4,1.222,0.33,1,31,9,22,4,0
10,X*XX,0,3,1.552,1.96,0,4,56,224,4,0
10,XXX-XXX,1,4,0.168,0.982,1,339,111,228,6,0
10,XXX-XX,0,4,0.802,0.583,1,398,66,322,3,0
10,XX*X,0,4,1.943,0.479,0,75,6,450,3,0
