"Subj_idx","Run","Block","Trial","Difficulty_col","Difficulty_let","Number_blues","Number_os","Stimulus_col","Stimulus_let","Response_col","Response_let","Accuracy_col","Accuracy_let","Confidence_col","Confidence_let","RT_confidence_col","RT_confidence_let","Firstchoice","Location_firstchoice","Location_secondchoice","RT_firstchoice","RT_secondchoice"
1,1,4,22,60,60,42,45,1,1,1,1,1,1,58.5091,50.0456,1.148,2.0144,1,4,2,1.192,0.57247
1,1,4,23,90,60,31,45,2,1,2,1,1,1,56.8815,49.7201,1.414,2.2305,1,3,4,1.1028,0.26057
1,1,4,24,90,90,49,63,1,1,1,1,1,1,65.9961,58.1836,1.0984,1.8649,1,3,2,0.82225,0.43128
1,1,4,25,60,60,42,45,1,1,1,1,1,1,69.7396,59.1602,1.2318,2.1981,1,3,2,0.84951,0.62623
1,2,1,1,60,60,42,35,1,2,1,2,1,1,71.6927,50.8594,2.5813,4.1808,1,3,2,0.73539,0.5336
1,2,1,2,60,90,42,17,1,2,1,2,1,1,55.4167,70.3906,2.3137,1.2975,1,2,3,1.6174,0.40364
1,2,1,3,60,90,38,17,2,2,1,2,0,1,50.2083,85.5273,1.1472,2.4968,1,1,4,1.3774,0.43849
1,2,1,4,90,90,49,17,1,2,1,2,1,1,50.2083,78.6914,1.2317,2.0648,2,4,2,1.1731,0.53022
1,2,1,5,90,90,31,17,2,2,2,2,1,1,60.1367,79.0169,0.74864,1.615,1,3,4,1.3078,0.46933
1,2,1,6,60,60,38,45,2,1,2,1,1,1,62.2526,50.6966,0.81402,1.6138,1,1,3,1.5404,0.40261
1,2,1,7,60,90,38,63,2,1,1,1,0,1,51.3477,63.5547,3.2796,1.397,2,4,1,1.2478,0.49172
1,2,1,8,60,60,42,45,1,1,1,1,1,1,54.4401,50.0456,0.76529,1.7816,1,3,1,1.5931,0.18068
1,2,1,9,60,90,42,17,1,2,1,2,1,1,52.9753,49.7201,0.9977,2.1474,1,3,4,1.0515,0.40346
1,2,1,10,90,90,49,17,1,2,1,2,1,1,59.6484,57.0443,0.79811,1.6645,1,4,1,1.0324,0.55507
1,2,1,11,90,60,49,45,1,1,1,1,1,1,63.3919,50.2083,0.93149,1.5978,2,2,1,1.0068,0.22476
1,2,1,12,90,90,31,17,2,2,2,2,1,1,65.5078,54.7656,0.93192,2.548,1,1,3,0.94519,0.45569
1,2,1,13,60,60,38,35,2,2,2,2,1,1,67.2982,52.6497,0.86531,1.6317,1,3,2,0.738,0.31914
1,2,1,14,90,90,49,17,1,2,2,2,0,1,50.2083,65.1823,1.0141,2.7302,2,4,2,1.9669,0.28336
1,2,1,15,90,60,49,45,1,1,1,1,1,1,73.8086,65.0195,1.715,0.54881,1,3,4,0.70368,0.51897
1,2,1,16,90,60,49,45,1,1,1,2,1,0,55.0911,63.2292,2.1976,1.0814,1,4,1,0.93644,0.42236
1,2,1,17,90,90,31,63,2,1,1,1,0,1,50.5339,73.9714,1.847,1.1307,2,2,3,1.3149,0.37797
1,2,1,18,90,60,31,45,2,1,2,2,1,0,57.6953,51.3477,0.84739,1.6138,1,4,3,1.154,0.26169
1,2,1,19,60,60,42,45,1,1,1,1,1,1,62.5781,51.0221,1.0319,1.665,1,4,1,0.85255,0.54209
1,2,1,20,60,60,38,35,2,2,2,2,1,1,53.4635,50.3711,0.83203,1.5985,1,4,2,0.9729,0.64743
1,2,1,21,90,60,49,45,1,1,1,1,1,1,50.0456,50.0456,1.4476,2.0641,1,4,3,1.0636,0.4485
1,2,1,22,90,60,49,45,1,1,1,1,1,1,63.3919,52.8125,0.66391,1.4804,1,4,3,0.67968,0.49585
1,2,1,23,90,60,49,35,1,2,1,1,1,0,64.2057,49.5573,1.715,1.0486,1,3,2,0.90728,0.44254
1,2,1,24,60,90,42,17,1,2,1,2,1,1,67.7865,51.3477,0.7478,1.7974,1,4,2,0.70713,0.26011
1,2,1,25,60,60,38,45,2,1,1,1,0,1,67.7865,53.138,0.73015,2.5129,1,4,3,0.73549,0.51927
1,2,2,1,90,60,49,35,1,2,1,1,1,0,74.2969,54.1146,1.0141,1.7305,1,3,2,0.97149,0.34375
1,2,2,2,90,60,49,35,1,2,1,1,1,0,72.0182,53.138,0.91404,1.6472,1,4,3,0.66405,0.31536
1,2,2,3,90,60,31,35,2,2,2,2,1,1,50.2083,51.0221,0.91533,2.0317,1,2,3,0.84168,0.31606
1,2,2,4,60,90,42,17,1,2,1,2,1,1,66.9727,49.8828,1.314,2.1638,1,3,2,0.66224,0.43354
1,2,2,5,60,60,38,35,2,2,2,1,1,0,50.0456,49.7201,0.94735,1.7637,1,2,1,1.0607,0.57608
1,2,2,6,90,90,31,63,2,1,2,1,1,1,61.9271,51.1849,2.3147,3.4144,1,2,1,0.92097,0.21393
1,2,2,7,90,60,31,45,2,1,2,1,1,1,49.7201,49.3945,1.0311,1.7809,1,4,2,1.2567,0.47464
1,2,2,8,60,60,42,45,1,1,1,1,1,1,49.7201,50.2083,1.8316,0.96533,1,4,3,0.71255,0.4319
1,2,2,9,90,90,49,17,1,2,1,2,1,1,49.8828,50.2083,3.0799,2.247,1,2,3,1.3124,0.29397
1,2,2,10,60,60,42,35,1,2,1,2,1,1,52.1615,50.3711,1.2807,2.1971,1,3,1,0.84994,0.35542
1,2,2,11,90,60,49,45,1,1,1,2,1,0,66.8099,49.8828,1.2318,2.1816,1,4,3,0.75276,0.51822
1,2,2,12,60,60,38,35,2,2,1,2,0,1,49.7201,50.2083,1.0306,1.5472,1,1,3,1.3,0.43463
1,2,2,13,90,90,31,17,2,2,2,2,1,1,49.8828,56.7188,1.947,1.031,1,3,4,1.1239,0.4602
1,2,2,14,90,90,49,17,1,2,1,2,1,1,61.7643,50.0456,1.0986,2.0149,1,2,3,1.149,0.44746
1,2,2,15,60,90,42,63,1,1,1,1,1,1,55.7422,50.5339,0.81385,1.4303,1,3,2,0.72982,0.54595
1,2,2,16,90,60,49,45,1,1,1,2,1,0,58.0208,49.7201,0.83085,1.664,1,4,3,0.68876,0.30585
1,2,2,17,90,60,31,45,2,1,2,1,1,1,55.4167,50.5339,1.3141,2.297,2,4,3,0.79516,0.49655
1,2,2,18,60,60,38,45,2,1,2,1,1,1,57.3698,49.2318,0.98197,1.7816,1,4,1,0.75862,0.35811
1,2,2,19,60,60,42,45,1,1,1,1,1,1,50.0456,61.276,1.5978,0.76488,2,1,4,1.849,0.21091
1,2,2,20,60,60,38,35,2,2,2,2,1,1,61.6016,50.6966,0.84725,1.8802,1,2,4,0.77219,0.55365
1,2,2,21,60,90,42,63,1,1,1,1,1,1,50.3711,60.1367,1.2985,0.68224,1,3,1,1.298,0.32124
1,2,2,22,90,90,49,63,1,1,1,1,1,1,50.3711,67.1354,1.647,0.71417,1,1,3,0.89645,0.48038
1,2,2,23,90,90,49,17,1,2,1,2,1,1,53.9518,61.4388,3.1801,1.2976,1,3,1,0.94311,0.6683
1,2,2,24,60,90,42,17,1,2,1,2,1,1,54.6029,63.2292,1.8635,0.9973,1,1,2,0.74329,0.42918
1,2,2,25,90,60,31,45,2,1,2,1,1,1,69.7396,50.3711,0.89859,1.9316,1,2,1,0.7154,0.46581
1,2,3,1,60,90,42,17,1,2,1,2,1,1,49.8828,49.8828,16.4426,17.4589,2,3,1,1.1457,0.53368
1,2,3,2,90,90,49,17,1,2,1,2,1,1,58.6719,50.2083,1.4975,2.5639,2,3,2,0.68979,0.55223
1,2,3,3,60,90,38,17,2,2,2,2,1,1,50.2083,50.2083,1.1485,1.9482,1,2,3,3.6967,0.32949
1,2,3,4,60,60,42,35,1,2,2,2,0,1,49.8828,53.4635,0.98103,1.814,2,3,2,1.7517,0.37274
1,2,3,5,90,60,31,35,2,2,1,2,0,1,49.8828,50.5339,1.5471,2.3302,1,1,4,0.70425,0.46404
1,2,3,6,90,60,31,45,2,1,2,2,1,0,53.3008,50.2083,1.0486,1.815,1,2,4,0.90113,0.48511
1,2,3,7,60,60,38,45,2,1,1,1,0,1,55.4167,49.3945,0.73199,1.865,1,1,4,0.79855,0.49752
1,2,3,8,60,90,42,63,1,1,1,1,1,1,65.6706,56.2305,1.2641,2.0638,1,2,3,0.67676,0.52289
1,2,3,9,60,90,42,17,1,2,1,2,1,1,63.7174,54.9284,1.7134,2.5632,1,3,1,0.90194,0.33137
1,2,3,10,90,60,49,35,1,2,1,2,1,1,65.3451,53.138,0.8989,1.9149,1,2,1,0.82204,0.54424
1,2,3,11,60,60,42,45,1,1,1,1,1,1,67.4609,55.2539,0.8808,1.7472,1,3,2,0.76201,0.48014
1,2,3,12,60,60,38,35,2,2,2,2,1,1,59.6484,50.0456,0.96339,1.8964,1,2,1,1.0252,0.46045
1,2,3,13,90,60,31,35,2,2,2,2,1,1,67.2982,50.5339,0.96518,1.6483,1,3,2,1.0359,0.51685
1,2,3,14,60,60,42,35,1,2,1,1,1,0,65.3451,49.5573,1.0305,2.8799,1,4,3,0.94943,0.41311
1,2,3,15,60,90,42,63,1,1,1,1,1,1,50.8594,63.8802,1.4473,0.56437,1,1,3,2.2229,0.4178
1,2,3,16,60,90,42,63,1,1,2,1,0,1,50.5339,56.3932,1.9481,1.2151,2,1,2,1.2881,1.3098
1,2,3,17,90,90,31,63,2,1,2,1,1,1,59.1602,49.7201,1.2485,2.0817,1,2,4,0.70713,0.48078
1,2,3,18,60,90,38,63,2,1,1,1,0,1,50.0456,57.3698,0.84746,3.28,1,4,2,1.1524,0.82109
1,2,3,19,90,60,49,45,1,1,1,2,1,0,58.0208,50.0456,0.93051,1.6303,1,3,1,0.91706,0.38813
1,2,3,20,60,60,38,35,2,2,1,2,0,1,59.3229,50.5339,1.065,2.0147,1,2,4,1.1176,0.51092
1,2,3,21,90,90,49,63,1,1,1,1,1,1,59.6484,49.7201,0.99821,1.9645,1,2,1,0.68115,0.42738
1,2,3,22,60,90,42,63,1,1,1,1,1,1,49.8828,61.1133,1.9468,0.83056,2,1,4,1.6195,0.6142
1,2,3,23,60,90,42,17,1,2,1,2,1,1,54.4401,61.1133,3.8795,1.8803,1,3,4,1.0686,0.26091
1,2,3,24,60,90,42,17,1,2,1,2,1,1,60.9505,49.8828,0.76522,1.6983,1,4,2,1.1134,0.3927
1,2,3,25,60,60,38,45,2,1,1,2,0,0,53.4635,50.0456,0.73132,1.6644,1,4,1,1.4743,0.1721
1,2,4,1,60,60,42,35,1,2,2,2,0,1,57.207,50.0456,0.74876,1.4818,1,1,2,0.90013,0.43542
1,2,4,2,60,60,42,35,1,2,2,2,0,1,50.2083,54.2773,0.89736,2.1803,2,4,1,1.059,0.22737
1,2,4,3,60,60,38,35,2,2,1,2,0,1,49.7201,50.2083,0.91398,1.6471,1,2,1,2.5012,0.49318
1,2,4,4,60,60,42,35,1,2,2,2,0,1,53.3008,49.8828,1.0485,1.665,1,2,4,0.78977,0.4091
1,2,4,5,60,60,38,35,2,2,2,2,1,1,49.7201,49.8828,1.1305,2.0802,1,1,4,3.5637,0.46599
1,2,4,6,60,60,38,45,2,1,1,1,0,1,50.2083,50.2083,1.3808,2.497,1,2,4,1.0221,0.51204
1,2,4,7,60,60,38,45,2,1,1,1,0,1,53.6263,54.1146,1.0152,1.6483,1,4,2,0.95304,0.58063
1,2,4,8,90,60,49,45,1,1,1,1,1,1,62.9036,54.7656,1.0151,1.765,1,4,3,0.93438,0.59578
1,2,4,9,90,60,49,35,1,2,1,1,1,0,71.3672,56.0677,0.98068,1.9138,1,3,2,1.1978,0.46784
1,2,4,10,90,90,49,17,1,2,1,2,1,1,69.2513,59.6484,0.94762,1.6307,1,1,2,0.76511,0.48449
1,2,4,11,90,60,49,45,1,1,1,1,1,1,72.5065,57.3698,0.91527,1.715,1,4,1,0.88287,0.47399
1,2,4,12,60,90,38,17,2,2,1,2,0,1,53.6263,61.1133,2.1641,1.2312,2,4,3,1.1753,0.25228
1,2,4,13,60,90,38,17,2,2,1,2,0,1,49.5573,50.3711,1.3641,2.3138,1,4,3,0.89038,0.60092
1,2,4,14,90,90,49,17,1,2,1,2,1,1,66.9727,62.0898,0.99842,1.7482,1,2,1,0.80989,0.39772
1,2,4,15,90,90,49,63,1,1,1,1,1,1,75.1107,73.4831,0.93121,1.7143,1,2,3,0.61444,0.48896
1,2,4,16,90,60,49,45,1,1,1,1,1,1,74.9479,50.3711,1.1474,2.297,1,2,1,0.88787,0.48724
1,2,4,17,60,60,38,45,2,1,1,1,0,1,50.2083,50.5339,1.0639,1.6304,1,3,2,1.2115,0.52925
1,2,4,18,90,60,31,45,2,1,2,2,1,0,68.6003,49.2318,0.94781,1.8642,1,3,4,0.75867,0.45047
1,2,4,19,90,60,49,45,1,1,1,1,1,1,67.7865,49.7201,1.4632,2.4296,1,3,2,0.65589,0.49707
1,2,4,20,90,60,31,35,2,2,2,2,1,1,58.8346,49.7201,0.81332,1.4965,1,3,1,0.93434,0.41909
1,2,4,21,90,60,49,45,1,1,1,1,1,1,66.1589,52.3242,0.86499,1.6979,1,2,4,0.71518,0.46694
1,2,4,22,60,90,42,63,1,1,1,1,1,1,54.2773,67.6237,2.464,1.5977,2,3,4,1.0321,0.48287
1,2,4,23,90,60,49,35,1,2,1,2,1,1,61.6016,51.1849,1.7475,2.6805,1,2,4,0.84236,0.28339
1,2,4,24,60,60,42,35,1,2,1,1,1,0,51.1849,56.556,1.0141,1.6306,2,1,4,1.277,0.42953
1,2,4,25,60,90,38,63,2,1,1,1,0,1,62.9036,57.8581,1.2651,2.3149,1,4,3,0.70225,0.41396
1,3,1,1,60,60,38,35,2,2,1,2,0,1,50.2083,51.0221,1.615,2.4147,1,4,1,3.7845,0.52383
1,3,1,2,90,90,49,63,1,1,1,1,1,1,55.7422,61.4388,2.8296,2.1632,1,2,4,0.61281,0.27881
1,3,1,3,90,60,31,35,2,2,2,1,1,0,69.9023,49.8828,0.96336,1.7632,1,2,3,0.62377,0.48012
1,3,1,4,90,60,31,45,2,1,2,2,1,0,74.1341,49.8828,0.88197,1.7817,1,4,3,0.66704,0.50186
1,3,1,5,60,90,38,17,2,2,1,2,0,1,68.9258,52.8125,1.1143,1.7474,2,4,1,0.78997,0.39417
1,3,1,6,90,90,31,17,2,2,2,2,1,1,67.1354,50.8594,0.81523,1.5484,1,1,4,1.7942,0.22868
1,3,1,7,60,60,42,35,1,2,1,1,1,0,50.2083,50.0456,1.9469,1.3971,1,4,3,0.90712,0.52037
