Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition
1,2,1,0.084635417,1.237,0.791,16,cpas
1,1,1,0.12890625,0.659,1.488,16,cpas
1,1,1,0.206380208,0.713,1.229,64,cpas
1,2,2,0.346354167,0.858,0.756,128,cpas
1,1,1,0.265625,0.566,2.143,64,cpas
1,1,1,0.259765625,0.654,1.649,32,cpas
1,2,1,0.240234375,0.706,2.382,32,cpas
1,1,1,0.234375,0.732,0.614,32,cpas
1,2,2,0.359375,0.708,1.338,128,cpas
1,1,2,0.108723958,1.286,0.782,16,cpas
1,1,1,0.332682292,0.651,0.678,128,cpas
1,2,1,0.110677083,1.032,1.373,16,cpas
1,1,1,0.212239583,0.617,1.072,16,cpas
1,1,1,0.332682292,1.034,1.637,128,cpas
1,1,1,0.391927083,0.59,0.742,128,cpas
1,1,1,0.304036458,0.704,0.872,16,cpas
1,2,1,0.261067708,0.53,1.634,64,cpas
1,1,1,0.186197917,0.76,0.77,32,cpas
1,2,1,0.149088542,0.693,0.685,32,cpas
1,1,1,0.2578125,0.959,1.471,64,cpas
1,2,1,0.09765625,1.062,0.545,32,cpas
1,2,1,0.129557292,0.662,1.333,32,cpas
1,1,1,0.110026042,0.567,1.288,32,cpas
1,1,1,0.091796875,0.677,0.589,32,cpas
1,1,1,0.367838542,0.87,1.112,128,cpas
1,2,2,0.422526042,0.989,1.008,128,cpas
1,1,1,0.152994792,1.478,0.763,16,cpas
1,1,1,0.341796875,0.708,0.742,64,cpas
1,1,1,0.138020833,0.85,0.603,16,cpas
1,1,1,0.136067708,0.658,0.522,32,cpas
1,1,1,0.117838542,0.945,0.701,32,cpas
1,2,1,0.009114583,1.143,0.897,32,cpas
1,2,1,0.005208333,0.698,2.537,16,cpas
1,2,2,0.4375,0.829,0.874,64,cpas
1,1,1,0.259765625,0.756,1.193,16,cpas
1,1,1,0.434895833,0.61,1.214,128,cpas
1,2,2,0.384114583,0.58,1.218,64,cpas
1,1,1,0.376953125,0.658,1.157,64,cpas
1,1,1,0.25,0.842,0.664,32,cpas
1,1,1,0.239583333,0.76,1.052,32,cpas
1,1,1,0.369140625,0.772,0.818,128,cpas
1,1,1,0.151692708,0.788,0.638,16,cpas
1,2,2,0.352213542,0.736,2.562,64,cpas
1,1,1,0.164713542,1.051,0.802,16,cpas
1,2,2,0.331380208,0.59,1.193,64,cpas
1,2,2,0.270182292,0.703,0.529,32,cpas
1,1,1,0.184895833,0.705,0.731,32,cpas
1,2,2,0.280598958,0.552,0.869,64,cpas
1,1,1,0.143229167,0.819,1.459,16,cpas
1,1,1,0.145833333,0.865,0.781,16,cpas
1,1,1,0.239583333,1.03,2.757,64,cpas
1,2,2,0.288411458,0.915,1.245,128,cpas
1,1,1,0.328776042,0.748,1.469,128,cpas
1,2,2,0.33203125,0.73,1.021,64,cpas
1,1,1,0.361328125,0.683,0.72,64,cpas
1,1,1,0.357421875,1.128,1.214,64,cpas
1,2,2,0.344401042,0.801,0.786,64,cpas
1,1,1,0.361328125,0.722,1.034,128,cpas
1,2,2,0.376302083,0.606,1.234,64,cpas
1,1,1,0.371744792,0.627,1.265,64,cpas
