"Subj_idx","Run","Block","Trial","Difficulty_col","Difficulty_let","Number_blues","Number_os","Stimulus_col","Stimulus_let","Response_col","Response_let","Accuracy_col","Accuracy_let","RT_dec_col","RT_dec_let","Confidence_col","Confidence_let","RT_confidence_col","RT_confidence_let","Taskorder","Locationchoice_col","Locationchoice_let","Initposconf_col","Initposconf_let"
1,1,3,17,90,60,35,36,2,2,2,2,1,1,0.30388,2.8529,75.111,59.4638,0.56647,0.833,2,1,2,56.4675,96.6397
1,1,3,18,90,60,45,36,1,2,1,2,1,1,1.2243,0.84795,69.6733,74.3342,0.79972,0.96627,1,1,2,69.6733,90.8691
1,1,3,19,60,90,39,60,2,1,2,2,1,0,1.8967,0.40262,64.0137,63.6808,0.59978,0.38313,1,2,2,87.429,67.8977
1,1,3,20,90,60,45,44,1,1,1,2,1,0,0.42479,0.84841,68.5636,61.9052,0.61647,0.78304,2,1,2,99.3031,96.4178
1,1,3,21,60,90,41,20,1,2,1,1,1,0,0.88503,0.34921,59.4638,59.0199,0.69974,0.53314,1,1,2,54.9139,64.6795
1,1,3,22,60,60,39,36,2,2,1,2,0,1,0.84937,0.33726,67.3429,74.1122,0.58308,0.86633,1,2,1,77.4414,71.1159
1,1,3,23,60,90,39,60,2,1,1,1,0,1,0.34318,0.77728,74.1122,79.6609,0.6331,0.48315,2,2,2,70.894,75.3329
1,1,3,24,90,90,45,20,1,2,1,2,1,1,0.8052,0.72021,100,92.4228,0.51651,0.73306,1,1,1,93.8654,81.7694
1,1,4,1,90,90,45,20,1,2,1,2,1,1,0.54926,0.38069,98.1934,93.6435,0.51646,0.54976,1,1,2,83.8778,87.6509
1,1,4,2,90,60,35,36,2,2,2,2,1,1,0.53533,1.1234,71.3379,71.7818,0.66645,0.51644,2,2,2,92.6447,85.2095
1,1,4,3,90,90,35,20,2,2,1,2,0,1,0.4773,0.58847,67.3429,84.3217,0.63308,0.6997,2,2,1,66.677,99.1921
1,1,4,4,90,90,35,20,2,2,2,2,1,1,0.7753,0.37418,70.6721,77.5524,0.49981,0.63313,1,2,2,63.3478,54.6919
1,1,4,5,90,90,45,60,1,1,1,1,1,1,1.0763,0.39575,72.1147,82.1023,0.73305,0.9663,1,1,1,56.2456,90.6472
1,1,4,6,90,90,35,60,2,1,1,1,0,1,0.8224,0.71513,67.4538,94.3093,0.61644,0.63312,2,2,1,57.9102,70.6721
