Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,exclude_subj
101,0,1,10,1.793006277,0.647159027,0.032,0,0,FALSE
101,1,0,10,3.041518889,2.969672335,0.032,0,0,FALSE
101,1,0,20,2.331459224,1.318507193,0.256,0,0,FALSE
101,0,1,20,1.647296981,0.551459315,0.128,0,0,FALSE
101,0,0,20,2.155804431,0.854610082,0.256,1,0,FALSE
101,1,0,20,2.028150579,0.966447459,0.032,0,0,FALSE
101,0,0,20,2.636189677,1.052109995,0.256,1,0,FALSE
101,0,1,20,2.061023309,0.683621292,0.256,0,0,FALSE
101,1,0,-20,3.159541882,1.034315065,0.064,0,0,FALSE
101,1,0,10,2.599603645,0.427058413,0.032,0,0,FALSE
101,1,1,20,2.94241016,0.567933263,0.128,1,0,FALSE
101,1,1,30,1.983987309,0.485547826,0.256,1,0,FALSE
101,0,0,20,2.726228724,0.724690998,0.128,1,0,FALSE
101,1,1,10,1.895898644,1.197142197,0.256,1,0,FALSE
101,0,1,30,2.387070609,0.561597315,0.064,0,0,FALSE
101,1,0,-10,2.259319555,0.766883359,0.128,0,0,FALSE
101,1,0,20,1.943659298,0.800925835,0.128,0,0,FALSE
101,0,0,-10,2.216666541,2.164406818,0.032,1,0,FALSE
101,1,0,20,1.455627082,0.852757506,0.032,0,0,FALSE
101,1,0,10,2.233098529,0.575749581,0.064,0,0,FALSE
101,0,1,10,0.924107182,1.002064488,0.064,0,0,FALSE
101,1,1,10,1.607488487,0.467692219,0.128,1,0,FALSE
101,1,0,-20,2.684599954,0.783234144,0.032,0,0,FALSE
101,1,0,20,2.141935318,0.529926329,0.128,0,0,FALSE
101,1,1,10,2.316150494,1.309906013,0.064,1,0,FALSE
101,0,0,10,2.421208174,0.644299413,0.032,1,0,FALSE
101,0,1,-20,2.535208449,0.802515482,0.128,0,0,FALSE
101,0,0,10,2.525204781,1.011813982,0.128,1,0,FALSE
101,0,0,20,2.275165312,0.619983186,0.064,1,0,FALSE
101,0,0,40,1.884348799,0.875888592,0.128,1,0,FALSE
101,0,0,20,2.126481993,0.793764877,0.032,1,0,FALSE
101,0,0,10,2.419282546,0.534738437,0.032,1,0,FALSE
101,0,1,20,1.66072808,0.47698921,0.064,0,0,FALSE
101,0,0,30,1.419082406,1.157921444,0.256,1,0,FALSE
101,0,0,20,2.133030457,0.525231346,0.128,1,0,FALSE
101,0,0,40,1.921601963,0.618583415,0.256,1,0,FALSE
101,0,1,20,2.292065802,0.556744454,0.064,0,0,FALSE
101,1,1,10,1.947012167,0.325353603,0.256,1,0,FALSE
101,0,0,20,2.657714814,0.679001777,0.032,1,0,FALSE
101,0,0,10,2.351106127,0.745609075,0.064,1,0,FALSE
101,0,0,10,1.863949938,0.758750077,0.128,1,0,FALSE
101,0,0,20,2.105268083,0.881191541,0.064,1,0,FALSE
101,1,1,30,1.579927461,0.711557543,0.256,1,0,FALSE
101,0,1,10,2.257148205,0.370722239,0.128,0,0,FALSE
101,0,0,10,1.894375107,0.451498407,0.256,1,0,FALSE
101,1,0,10,2.577174709,0.784653838,0.256,0,0,FALSE
101,0,1,20,3.102741734,0.736360384,0.064,0,0,FALSE
101,0,0,20,1.65876834,0.444790857,0.032,1,0,FALSE
101,1,0,20,1.995679034,0.577062413,0.256,0,0,FALSE
101,1,0,10,2.142709615,0.711176885,0.064,0,0,FALSE
101,1,1,20,2.010612238,0.494315638,0.064,1,0,FALSE
101,1,1,20,1.951723149,0.762506849,0.032,1,0,FALSE
101,0,1,30,1.90076358,0.616617034,0.032,0,0,FALSE
101,1,0,10,1.863681877,0.809173525,0.128,0,0,FALSE
101,1,1,10,1.715902055,1.417890623,0.064,1,0,FALSE
101,0,1,30,2.199939324,0.799514593,0.128,0,0,FALSE
101,1,0,20,2.138054478,0.552408394,0.256,0,0,FALSE
101,0,1,10,1.97443856,0.785541034,0.128,0,0,FALSE
101,0,1,20,1.766815438,0.558599142,0.064,0,0,FALSE
101,1,0,20,2.876966268,0.651522556,0.032,0,0,FALSE
101,0,1,20,1.94117038,0.729337984,0.256,0,0,FALSE
101,1,0,10,2.604322476,0.415168964,0.256,0,0,FALSE
101,1,1,-20,1.634111604,1.194828062,0.032,1,0,FALSE
101,0,0,20,3.236872205,0.744012485,0.128,1,0,FALSE
101,1,0,30,1.733615481,0.635479075,0.128,0,0,FALSE
101,0,0,30,1.800888101,0.461136208,0.256,1,0,FALSE
101,0,0,10,3.412110418,0.846066559,0.032,1,0,FALSE
101,1,1,-10,2.22015827,0.959293443,0.064,1,0,FALSE
101,1,1,20,1.889906828,0.610539487,0.256,1,0,FALSE
101,0,0,20,2.479785431,0.487285691,0.064,1,0,FALSE
101,1,0,20,2.355760056,0.642925603,0.032,0,0,FALSE
101,1,1,-30,2.14505937,0.802013472,0.032,1,0,FALSE
101,1,1,10,1.613871829,0.535660952,0.128,1,0,FALSE
101,1,1,10,1.981301573,0.669123385,0.128,1,0,FALSE
101,1,0,20,2.844085689,0.874408222,0.032,0,0,FALSE
101,1,1,10,2.443656128,0.683550353,0.256,1,0,FALSE
101,1,1,10,2.934684101,2.018782045,0.064,1,0,FALSE
101,0,0,20,2.344290809,0.525677811,0.256,1,0,FALSE
101,1,0,20,3.697116689,0.643534474,0.032,0,0,FALSE
