Subj_idx,Block,Trial,Stimulus,Response,RT_dec,Confidence,RT_conf,ErrorDirectionJudgment,RT_directionJudgment
3,2,281,15,16,2.6697389150504,2,0.652637882041745,-1,0.0288365359883755
3,2,282,18,16,14.8998644700041,2,1.30496372503694,1,1.04728767904453
3,2,283,17,12,5.87322616006713,2,0.8977242030669,1,1.6961329090409
3,2,284,11,12,1.91887049505021,3,0.887324098031968,-1,0.365841110935435
3,2,285,21,25,2.30263480299618,2,0.819533864036202,1,0.0169234280474484
3,2,286,22,30,5.17240932502318,1,0.267867930000648,1,0.0194663690635934
3,2,287,13,21,4.50508314999752,2,0.753214047988877,1,1.10161380004138
3,2,288,5,6,1.85202342504635,3,0.72006960795261,1,0.357186172972433
3,2,289,13,16,3.35378828307148,2,0.845225409953855,1,1.69396635494195
3,2,290,26,24,2.68638872099109,3,2.61306899203919,-1,5.10937046294566
3,2,291,16,23,4.07109666801989,2,0.755698638036847,1,0.76033517497126
3,2,292,29,29,4.48831665492617,2,1.97945159603842,1,0.64602196298074
3,2,293,28,30,9.41037967603188,2,5.47934600198641,-1,1.04832379007712
3,2,294,5,5,1.13456322695129,3,0.208699638023973,1,0.0191159290261567
3,2,295,4,4,1.36826917005237,3,0.172091217944399,1,0.0170582770369947
3,2,296,28,35,2.23582406807691,2,1.38616326195188,-1,0.572618088102899
3,2,297,18,20,4.58848878496792,3,3.1277956579579,1,0.731191371101886
3,2,298,22,27,6.3904901019996,2,0.828046665992588,-1,0.925665881019086
3,2,299,28,36,2.61966115701944,2,4.10307935008314,-1,0.913301039952785
3,2,300,5,5,1.41842436196748,3,0.359917585970834,1,0.892897295998409
3,2,301,4,4,1.08456937002484,3,1.44891989498865,1,0.192527320003137
3,2,302,27,40,2.51956168701872,2,1.30878673493862,1,0.0169797950657085
3,2,303,4,5,1.45172961603384,3,0.206771602039225,1,0.0169367219787091
3,2,304,7,8,2.11894940992352,3,0.951888348092325,1,0.0170681980671361
3,2,305,22,23,5.7564501099987,2,0.724732881993987,1,0.0170260899467394
3,2,306,13,21,3.87095759506337,2,1.03901045501698,1,0.28767902799882
3,2,307,4,5,1.00118602998555,3,0.246761217014864,1,0.0169729149201885
3,2,308,17,23,3.18700961302966,3,1.44387822994031,-1,0.0169865000061691
3,2,309,16,26,4.47169604199007,2,1.05086062499322,1,0.529427414992824
3,2,310,29,26,3.65393884503283,2,0.587758032022975,1,0.0168595700524747
3,2,311,29,23,6.80756216007285,2,0.647271375055425,1,0.0168769330484793
3,2,312,16,24,8.07542376709171,2,2.67553106497508,-1,0.248106665094383
3,2,313,26,28,3.4037835849449,2,3.11190368107054,-1,0.106381997000426
3,2,314,29,36,1.45167011104058,2,1.02694502007216,1,0.930508708930574
3,2,315,23,29,3.871034987038,2,0.96849595499225,1,0.506650666007772
3,2,316,22,34,2.56964757002424,2,0.757846941007301,-1,0.417114754905924
3,2,317,29,29,3.42052762303501,2,2.93200749706011,1,0.623154120985419
3,2,318,16,16,3.07006788800936,2,0.925825610058382,-1,0.0435468780342489
3,2,319,14,19,2.93657816003542,2,0.535414870013483,-1,0.0169472619891167
3,2,320,23,30,2.85317766305525,2,0.270272152032703,1,0.029162849066779
3,2,321,19,24,3.15352779603563,2,0.103227108018473,1,0.0169408279471099
3,2,322,22,26,5.53953605995048,2,0.254437923082151,1,0.455550899961963
3,2,323,16,18,3.28704929503147,2,0.99959254800342,1,0.193453910993412
3,2,324,16,20,5.18916566297412,3,0.317767169093713,-1,0.947656800039113
