Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition
3,4,1,3,0.20838,0.016096,Big
3,6,1,3,0.00053214,0.2833,Big
3,6,1,2,0.00049456,0.28649,Big
3,6,1,2,1.0416,0.079753,Big
3,7,2,3,0.016313,0.22546,Big
3,6,2,2,0.41657,0.043035,Big
3,5,2,2,0.29439,0.001489,Big
3,5,2,2,0.047789,0.095566,Big
3,4,1,3,0.00052423,0.061238,Big
3,7,2,3,0.012306,0.00069263,Big
3,7,2,3,0.00055845,0.013807,Big
3,3,1,2,0.53844,0.01281,Big
3,1,1,3,0.00060626,0.00053572,Big
3,1,1,3,0.081447,0.01594,Big
3,3,1,3,0.00053739,0.008352,Big
3,7,2,3,0.20346,0.075016,Big
3,6,2,2,0.057099,0.027416,Big
3,1,1,3,0.00052657,0.0006631,Big
3,3,1,2,0.47511,0.00054706,Big
3,3,2,2,0.29823,0.12451,Big
3,7,2,3,0.43057,0.29952,Big
3,2,1,3,0.0013789,0.05338,Big
3,5,1,2,0.061729,0.22438,Big
3,4,2,2,0.11558,0.67272,Big
3,3,2,2,0.20128,0.015669,Big
3,1,1,3,0.78946,0.031539,Big
3,1,1,3,0.00048579,0.10541,Big
3,2,1,2,0.64317,0.36294,Big
3,2,1,3,0.21521,0.14436,Big
3,6,2,2,0.19692,0.075488,Big
3,5,1,3,0.04648,0.0944,Big
3,5,2,2,0.53234,0.17339,Big
3,4,1,2,0.28575,0.18955,Big
3,4,2,3,0.23797,0.092294,Big
3,1,1,3,0.00049479,0.015456,Big
3,3,1,3,0.00048857,0.00047758,Big
3,5,1,3,0.29263,0.013772,Big
3,7,2,3,0.20253,0.16085,Big
3,1,1,3,0.33189,0.00047923,Big
3,3,1,3,0.20298,0.00047745,Big
3,4,2,3,0.85813,0.044318,Big
3,2,1,3,0.16879,0.00047809,Big
3,1,2,1,0.00054748,0.71859,Big
3,2,1,3,0.54156,0.12781,Big
3,6,2,3,0.00054581,0.1109,Big
3,5,2,3,0.54219,0.20851,Big
3,2,1,3,0.22095,0.079332,Big
3,4,1,3,0.28783,0.06366,Big
3,2,2,3,0.18573,0.10928,Big
3,7,2,3,0.18744,0.063154,Big
3,6,2,2,0.00053953,0.14077,Big
3,5,2,3,0.00071174,0.12788,Big
3,2,1,3,0.54157,0.047983,Big
3,3,1,3,0.34548,0.12519,Big
3,4,2,3,0.19258,0.1895,Big
3,5,2,3,0.039492,0.094016,Big
3,1,1,3,0.00049967,0.13561,Big
3,3,2,2,0.54672,0.12632,Big
3,5,2,3,0.18941,0.058586,Big
3,7,2,3,0.19384,0.030971,Big
3,6,2,2,0.75152,0.012423,Big
3,4,2,3,0.13155,0.06068,Big
3,7,2,3,0.12644,0.014317,Big
3,3,1,3,0.0020203,0.034717,Big
3,7,1,3,0.13489,0.11381,Big
3,2,1,3,0.0018945,0.06874,Big
3,3,2,2,0.00060675,0.0033157,Big
3,6,2,2,0.38166,0.01402,Big
3,3,1,2,0.17387,0.71904,Big
3,4,1,3,0.0033584,0.0004841,Big
3,6,1,3,0.12229,0.4968,Big
3,6,1,2,0.25577,0.17002,Big
3,2,1,3,0.84142,0.25559,Big
3,7,2,2,0.11223,0.14132,Big
3,1,1,3,0.00049518,0.13741,Big
3,1,1,3,0.067436,0.0004787,Big
3,3,1,3,0.27176,0.00074943,Big
3,6,2,3,0.1826,0.065054,Big
3,7,2,3,0.21489,0.00049429,Big
3,1,1,3,0.079402,0.00048269,Big
3,2,1,3,0.0015322,0.00047332,Big
3,1,1,3,0.00048347,0.00054359,Big
3,1,1,3,0.032541,0.028052,Big
3,4,2,3,0.16764,0.095416,Big
3,7,2,3,0.83997,0.014237,Big
3,4,1,3,0.040061,0.12658,Big
3,5,1,2,0.95889,0.029225,Big
3,2,1,3,0.055286,0.096287,Big
3,4,1,3,0.015444,0.19254,Big
3,3,1,3,0.00047893,0.031594,Big
3,4,1,3,0.000481,0.00047215,Big
3,2,1,3,1.5258,0.12526,Big
3,5,1,3,0.021294,0.033714,Big
3,6,2,3,0.17961,0.029965,Big
3,6,2,3,0.40002,0.1264,Big
3,1,1,3,0.12039,0.014835,Big
3,1,1,3,0.00048085,0.030458,Big
3,7,2,3,0.15824,0.028728,Big
3,4,1,3,0.00047725,0.00046801,Big
3,5,1,2,0.45613,0.04423,Big
3,5,2,3,0.21152,0.012529,Big
3,1,1,3,0.60105,0.00047133,Big
3,7,2,3,0.1733,0.14233,Big
3,2,1,3,0.090549,0.0025745,Big
3,6,1,2,0.57102,0.61997,Big
3,5,2,3,0.19644,0.19336,Big
3,2,1,3,0.18737,0.11115,Big
3,7,2,3,0.44662,0.030257,Big
3,7,2,3,0.13587,0.0013403,Big
3,5,2,2,0.29505,0.080076,Big
3,6,2,3,0.00053504,0.083119,Big
3,1,1,3,0.39973,0.00046469,Big
3,4,1,1,0.77329,0.22224,Big
3,3,1,3,0.47277,0.00047435,Big
3,5,1,2,1.2548,0.27168,Big
3,4,2,3,0.094859,0.17594,Big
3,5,2,3,0.4391,0.10957,Big
3,6,2,3,0.18213,0.048463,Big
3,2,1,3,0.0004662,0.11002,Big
3,1,1,3,0.73715,0.13937,Big
