Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy
1,2,2,2,0.311,0.30516,0.33635,H,1
1,2,2,2,0.36977,0.45708,0.58998,E,1
1,2,2,5,0.24645,0.45141,0.58869,E,1
1,2,2,6,0.3113,0.41619,0.58737,E,1
1,2,2,6,0.53939,0.32832,0.58602,E,1
1,1,1,5,0.39837,0.35148,0.58462,E,1
1,2,2,5,0.30532,0.29906,0.58318,E,1
1,1,1,6,0.59781,0.2165,0.58167,E,1
1,1,2,5,0.29358,0.34001,0.5801,E,0
1,1,1,5,0.4453,0.19329,0.58523,E,1
1,2,2,6,0.49239,0.25271,0.58385,E,1
1,2,2,6,0.4342,0.67439,0.58242,E,1
1,1,1,5,0.43436,0.43354,0.58093,E,1
1,2,2,4,0.52193,0.87321,0.57942,E,1
1,1,1,3,0.55156,0.36376,0.57802,E,1
1,2,2,5,0.24635,0.099724,0.5767,E,1
1,1,1,5,0.317,0.35163,0.57545,E,1
1,1,1,3,0.2636,0.42259,0.57427,E,1
1,2,2,5,0.22872,0.31649,0.57314,E,1
1,2,2,6,0.11727,0.4105,0.57206,E,1
1,1,1,5,0.43431,0.32896,0.57102,E,1
1,2,2,5,0.34644,0.22864,0.57002,E,1
1,1,1,2,0.60378,0.32881,0.56905,E,1
1,2,2,4,0.5388,0.31104,0.56811,E,1
1,1,1,4,0.32865,0.34574,0.56718,E,1
1,1,1,4,0.97933,0.70887,0.56628,E,1
1,2,1,1,0.39868,1.0142,0.56538,E,0
1,1,1,3,0.7391,0.33974,0.56892,E,1
1,1,1,5,0.26429,0.35754,0.56802,E,1
1,1,1,6,0.40436,0.56874,0.56714,E,1
1,1,1,5,0.46327,0.62748,0.56627,E,1
1,1,1,6,0.52787,0.55092,0.56542,E,1
1,1,1,6,0.2934,0.35236,0.56457,E,1
1,2,2,1,1.2191,0.34043,0.56372,E,1
1,1,1,3,1.0084,0.50444,0.56286,E,1
1,1,1,4,0.27015,0.36936,0.56199,E,1
1,1,1,5,0.97347,0.34069,0.56112,E,1
1,2,2,5,0.45196,0.22314,0.56022,E,1
1,1,1,5,0.41091,0.5215,0.55932,E,1
1,2,2,3,1.5999,0.37491,0.55839,E,1
1,1,2,1,0.73993,0.2761,0.55743,E,0
1,2,2,3,0.011625,0.30531,0.5605,E,1
1,2,1,1,1.2661,0.26426,0.55962,E,0
1,1,1,2,0.35811,0.50393,0.56242,E,1
1,1,1,5,0.041315,0.25264,0.5616,E,1
1,1,1,6,0.40496,0.27593,0.56076,E,1
1,2,2,5,0.25812,0.29309,0.55991,E,1
1,1,1,5,0.54484,0.62754,0.55904,E,1
1,2,1,3,0.86748,0.47461,0.55815,E,0
1,1,1,4,0.32825,0.34619,0.56101,E,1
1,1,1,5,0.035475,0.071029,0.56019,E,1
1,1,2,1,0.35204,1.0671,0.33348,H,0
1,1,1,1,0.13483,0.31074,0.33768,H,1
1,1,2,1,0.38108,0.2582,0.3348,H,0
1,2,2,2,0.32284,0.29884,0.339,H,1
1,2,2,3,0.15829,0.31646,0.33611,H,1
1,2,2,3,0.1173,0.30495,0.33332,H,1
1,1,2,1,0.422,0.26977,0.33058,H,0
1,2,1,1,0.68584,0.25231,0.33461,H,0
1,1,1,5,0.32281,0.29298,0.3387,H,1
1,1,1,5,0.31641,0.24638,0.33589,H,1
1,2,1,2,0.69204,0.30529,0.33316,H,0
1,1,2,1,0.66867,0.26446,0.33715,H,0
1,2,2,2,0.3517,0.34608,0.34144,H,1
1,1,2,2,0.34016,0.4167,0.33841,H,0
1,1,2,2,0.17608,0.29324,0.34287,H,0
1,2,2,1,0.070494,0.32292,0.3474,H,1
1,1,1,1,0.59837,0.26375,0.34425,H,1
1,2,2,2,0.32246,0.1881,0.34104,H,1
1,1,1,3,0.38089,0.47482,0.33813,H,1
1,2,2,5,0.076611,0.24607,0.33546,H,1
1,1,1,5,0.32223,0.32255,0.33287,H,1
1,1,1,3,0.26964,0.21712,0.33033,H,1
1,1,2,3,0.37558,0.32822,0.32784,H,0
1,1,2,3,0.14072,0.3576,0.33154,H,0
1,2,2,1,0.70905,0.31649,0.33526,H,1
1,2,2,2,0.48057,0.31654,0.33273,H,1
