Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy,Training
1,L,L,easy,0.433,0.237,Congr,1,main
1,R,R,easy,0.416,0.875,Congr,1,main
1,L,L,easy,0.638,0.201,Incongr,1,main
1,L,L,easy,0.711,0.344,Incongr,1,main
1,R,R,easy,0.503,0.11,Incongr,1,main
1,R,R,easy,0.695,0.111,Congr,1,main
1,R,R,easy,0.504,0.137,Incongr,1,main
1,R,R,easy,0.425,0.195,Incongr,1,main
1,L,L,easy,0.691,0.13,Congr,1,main
1,L,L,easy,0.506,0.234,Congr,1,main
1,L,L,easy,0.486,0.182,Incongr,1,main
1,L,L,easy,0.308,0.179,Congr,1,main
1,L,L,easy,0.337,1.735,Congr,1,main
1,L,L,easy,0.648,0.01,Congr,1,main
1,L,L,diff,0.512,0.11,Incongr,1,main
1,R,R,easy,0.719,0.007,Incongr,1,main
1,R,R,diff,0.683,0.236,Incongr,1,main
1,L,L,easy,0.448,0.049,Congr,1,main
1,L,L,easy,0.444,0.014,Congr,1,main
1,L,L,easy,0.41,0.078,Incongr,1,main
1,R,R,easy,0.489,1.875,Incongr,1,main
1,R,R,easy,0.437,0.744,Incongr,1,main
1,R,R,easy,0.647,0.259,Incongr,1,main
1,R,R,easy,0.524,0.027,Congr,1,main
1,R,R,easy,0.529,0.735,Congr,1,main
1,L,L,easy,0.447,0.194,Congr,1,main
1,L,L,easy,0.391,0.067,Congr,1,main
1,L,L,easy,0.325,0.212,Congr,1,main
1,L,L,easy,0.395,0.245,Incongr,1,main
1,L,L,easy,0.513,0.273,Incongr,1,main
1,R,R,diff,0.802,0.878,Congr,1,main
1,L,L,easy,0.555,0.175,Congr,1,main
1,R,R,easy,0.535,0.26,Incongr,1,main
1,R,R,easy,0.615,0.516,Incongr,1,main
1,L,L,easy,0.971,0.136,Congr,1,main
1,R,R,easy,0.616,0.059,Incongr,1,main
1,R,R,easy,0.431,0.057,Incongr,1,main
1,R,R,easy,0.452,0.837,Incongr,1,main
1,L,L,easy,0.402,0.165,Congr,1,main
1,L,L,diff,0.491,0.292,Incongr,1,main
1,R,R,easy,0.51,0.198,Congr,1,main
1,R,R,easy,0.46,0.414,Incongr,1,main
1,L,L,easy,0.594,0.335,Incongr,1,main
1,L,L,easy,0.445,0.223,Congr,1,main
1,L,L,easy,0.476,0.069,Incongr,1,main
1,R,R,easy,0.487,0.097,Congr,1,main
1,R,R,easy,0.466,0.083,Congr,1,main
1,R,R,easy,0.661,0.175,Incongr,1,main
1,L,L,easy,0.446,0.063,Congr,1,main
1,L,L,diff,0.482,0.107,Incongr,1,main
1,L,L,diff,0.372,0.233,Congr,1,main
1,L,L,easy,0.567,0.082,Congr,1,main
1,R,R,easy,0.622,0.791,Congr,1,main
1,L,L,diff,0.501,0.797,Incongr,1,main
1,L,L,diff,0.635,0.334,Incongr,1,main
1,L,L,diff,0.645,0.57,Incongr,1,main
1,R,R,easy,0.735,0.181,Congr,1,main
1,R,R,diff,0.669,0.957,Incongr,1,main
1,L,L,diff,0.981,0.409,Congr,1,main
1,L,L,easy,0.639,0.114,Incongr,1,main
1,R,R,easy,0.481,0.09,Incongr,1,main
1,R,R,easy,0.565,0.265,Incongr,1,main
1,L,L,easy,0.516,0.275,Incongr,1,main
