Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Trial_count,Block_count,Accuracy
ack,1,2,1,1,3.199351886,0.846370692,2.305857205,5,2,0
ack,1,2,3,3,0.83480289,3.116761416,0.435410733,6,2,0
ack,2,2,3,3,0.3524445,0.26991409,0.8942227209999999,7,2,1
ack,2,2,2,2,1.434795113,1.305083734,0.6000699939999999,8,2,1
ack,1,1,3,2,0.588429426,1.128532499,1.03472843,9,2,1
ack,2,2,3,1,2.599363513,2.893278309,0.45896445,10,2,1
ack,2,2,1,3,0.352325149,1.270024971,6.940834271,11,2,1
ack,2,2,2,2,1.199464307,0.575790161,0.5883512710000001,12,2,1
ack,1,1,3,1,1.187738269,0.634614392,0.341299047,13,2,1
ack,1,2,1,1,1.151471366,2.541324688,0.376572256,14,2,0
ack,1,2,2,1,1.670166344,0.457955357,0.35280332299999995,15,2,0
ack,2,1,2,2,0.740705834,0.681492364,0.45870919299999996,16,2,0
ack,1,1,1,2,1.328829183,1.210980903,1.17655162,17,2,1
ack,1,2,3,1,4.128653775,1.5169158790000001,0.505989878,18,2,0
ack,2,2,3,1,4.7519702530000005,1.364095847,0.44718797600000004,19,2,1
ack,2,2,2,1,3.1527118460000003,2.2700784869999997,0.340812403,20,2,1
ack,1,1,2,1,1.5043158840000002,0.49439974600000003,0.364867008,21,2,1
ack,1,2,1,1,0.9877126279999999,0.598732878,0.329563383,22,2,0
ack,1,2,3,1,0.35242833,2.8580524539999996,0.329556453,23,2,0
ack,2,1,3,2,2.7993414139999997,1.5122608069999999,0.34130366700000003,24,2,0
ack,2,2,3,3,2.022948492,1.152211342,0.47069780299999997,25,2,1
ack,1,2,2,3,0.999587277,1.0109275420000001,0.329537973,26,2,0
ack,2,2,1,1,5.822607917999999,4.152006905,0.36487432299999994,27,2,1
ack,1,2,1,1,1.293570603,0.952236906,0.31777074,28,2,0
ack,2,2,2,1,1.9170876680000002,0.552236059,2.141136344,29,2,1
ack,1,2,1,2,1.599494414,4.293269531,0.44703436,30,2,0
ack,1,2,2,2,1.105356855,2.058083486,0.470712818,31,2,0
ack,2,2,3,2,3.6000684539999996,0.693463264,1.9521964809999999,32,2,1
ack,1,2,2,1,1.528788988,0.9757259429999999,0.364933999,33,2,0
ack,2,2,3,1,0.7170812759999999,0.6699545929999999,0.47071127799999996,34,2,1
ack,2,2,3,1,0.693672321,0.599304222,0.317763425,35,2,1
ack,1,2,1,1,1.35242987,0.493412213,0.341263241,36,2,0
ack,2,2,1,1,1.046546099,0.58758242,0.317780365,37,2,1
ack,1,2,1,2,0.76423029,2.222720801,1.705915418,38,2,0
ack,2,1,2,2,2.092902777,0.6116662860000001,0.423698555,39,2,0
ack,1,2,1,2,2.317034999,1.8698146830000002,9.446477646,40,2,0
ack,2,2,3,3,0.846572048,0.540493081,0.49426461,41,2,1
ack,2,2,3,3,0.65821508,0.5522668589999999,0.458925949,42,2,1
ack,2,2,2,3,0.63489044,2.446131143,0.38838569,43,2,1
ack,1,2,2,1,1.787402854,2.328599336,0.623883202,44,2,0
ack,1,2,3,3,1.4935612090000001,1.046350903,7.117243055,45,2,0
ack,1,2,3,2,1.0348119759999999,2.84619744,0.847132998,46,2,0
ack,2,2,1,1,1.422941639,1.540458046,0.38836259,47,2,1
ack,1,2,2,2,1.1524169340000001,0.740522572,0.023639572,48,2,0
ack,2,2,2,2,1.3288441979999999,0.64626805,1.9294947759999999,49,2,1
ack,1,1,3,2,1.4933475319999998,2.057826304,0.388356045,0,3,1
ack,1,2,2,1,4.528649232,1.316968779,0.517754801,1,3,0
ack,2,2,3,1,3.587503494,2.163921595,0.494215329,2,3,1
ack,2,2,3,2,0.6465633470000001,2.104146791,0.317785755,3,3,1
ack,2,1,2,2,0.422945874,1.658108049,2.682353231,4,3,0
ack,2,1,3,2,0.52897225,0.658083024,0.25887682300000003,5,3,0
ack,1,1,3,3,0.528923354,0.399331712,0.411817361,6,3,1
ack,2,1,1,2,0.881871053,0.552248764,4.858567203,7,3,0
ack,1,2,2,1,1.8111556169999998,4.5755033339999995,0.38836567,8,3,0
ack,1,2,1,1,0.8112526379999999,0.281697879,0.776564633,9,3,0
ack,2,2,1,1,1.787740502,0.775720706,0.400107878,10,3,1
ack,1,1,3,2,0.834275436,1.011751063,8.975778303,11,3,1
ack,1,2,3,1,1.210976283,0.446243179,0.329842511,12,3,0
ack,1,2,1,1,4.36377745,0.411088935,0.353204881,13,3,0
ack,2,2,3,1,0.905300799,0.599318468,0.38844498,14,3,1
ack,2,1,2,1,0.987762678,0.787496025,0.317741865,15,3,0
ack,1,1,2,2,0.952424018,0.775769987,4.141020843,16,3,1
ack,2,2,2,3,1.351740714,1.44699047,0.411885121,17,3,1
ack,1,1,2,2,0.5643625,1.75218778,4.493781816,18,3,1
ack,2,1,3,2,1.305324361,0.658148089,7.7878278970000006,19,3,0
ack,2,1,3,1,2.234697476,3.7167555639999996,0.364833898,20,3,0
ack,1,2,1,3,0.964114635,1.234560415,1.176622846,21,3,0
ack,2,2,2,2,0.7760244740000001,0.82279888,0.36483235799999997,22,3,1
ack,1,2,3,2,0.39948840799999996,0.7993240890000001,0.611915767,23,3,0
ack,1,1,3,3,0.97603741,0.6933362129999999,1.764727329,24,3,1
ack,2,2,3,3,0.752471142,0.599291517,2.2234761769999998,25,3,1
ack,1,2,3,2,0.9994717759999999,0.9522557709999999,1.141230285,26,3,0
ack,2,2,3,2,0.658335586,0.622866024,1.411734585,27,3,1
ack,2,2,1,2,1.164226132,0.975754818,1.5882889,28,3,1
ack,1,2,3,1,0.834658514,0.7522694000000001,0.059061777999999995,29,3,0
ack,1,2,3,1,0.823057987,0.34044742,1.5059267369999998,30,3,0
ack,1,1,2,3,1.552373505,0.975780228,0.8942115559999999,31,3,1
ack,1,1,2,2,1.164279263,2.199100864,0.670675703,32,3,1
ack,2,1,1,1,3.5404738310000003,0.375800325,0.42364581,33,3,0
ack,2,2,1,1,0.68220616,0.9753309290000001,0.34135718200000004,34,3,1
ack,1,2,2,3,0.634831149,1.5521759990000001,0.835401955,35,3,0
ack,2,1,1,2,0.775913593,1.222774702,0.353075905,36,3,0
ack,2,2,3,3,0.8818290879999999,0.51697825,0.37659843600000004,37,3,1
ack,2,1,2,2,0.693748936,1.222707711,3.57632955,38,3,0
ack,1,2,3,3,0.9170430070000001,0.775790007,1.9409909669999998,39,3,0
ack,2,2,3,3,0.6936384409999999,0.6228286789999999,0.258958444,40,3,1
ack,1,1,1,2,0.881822928,2.834450997,1.7059235030000002,41,3,1
ack,2,2,2,1,2.293504382,0.328778362,0.341286341,42,3,1
ack,1,2,2,3,0.940498548,1.046368613,0.32965231899999997,43,3,0
ack,1,2,3,1,0.893544731,0.375828045,0.306065107,44,3,0
ack,2,2,3,2,0.49404169299999995,0.44640334,0.376139513,45,3,1
ack,1,2,1,1,1.470032517,0.96400876,0.329545673,46,3,0
ack,2,2,1,2,1.24658175,2.175666113,3.588091779,47,3,1
ack,1,1,3,2,4.457911081000001,2.128618355,4.1058327189999995,48,3,1
ack,2,2,3,3,0.599556014,0.6923887209999999,1.6118322219999999,49,3,1
ack,1,2,3,3,0.293416217,0.25792394,0.270748392,0,4,0
ack,1,2,2,1,2.822856245,0.24636614899999998,0.106043316,1,4,0
ack,1,2,1,2,0.49358084399999996,0.881663152,1.517694355,2,4,0
ack,2,2,1,1,1.17593985,1.740478297,0.28246365,3,4,1
ack,2,2,3,2,0.6465887570000001,0.8463306509999999,0.306020447,4,4,1
ack,2,2,1,3,0.752687129,0.693180287,0.317755725,5,4,1
ack,1,1,3,2,0.564239299,1.081615642,4.446848789,6,4,1
ack,2,1,1,1,1.046578824,0.211139524,0.8352945390000001,7,4,0
ack,2,2,2,2,0.975993135,0.45794226600000004,0.9294662859999999,8,4,1
ack,1,1,2,1,1.517073345,0.387588349,0.30601043699999997,9,4,1
ack,1,1,3,1,0.940649854,0.964003755,0.329523343,10,4,1
ack,2,1,1,1,0.775937078,0.21111950399999999,0.29426707399999996,11,4,0
ack,2,2,3,2,0.7758273520000001,1.187512272,0.223636723,12,4,1
ack,1,2,2,2,0.905392045,0.269922175,0.070743541,13,4,0
ack,2,2,2,1,1.7876350109999999,1.78747947,0.5412973520000001,14,4,1
ack,2,2,2,2,0.9288233309999999,1.399418337,0.43542767299999996,15,4,1
ack,1,2,1,2,0.728827335,0.928718995,0.0119555,16,4,0
ack,1,2,3,1,2.9875628610000002,1.6580618480000002,0.306016982,17,4,0
ack,1,2,1,1,1.023017408,0.36401114700000003,0.341307517,18,4,0
ack,2,1,1,1,1.364208268,0.881769797,0.317710294,19,4,0
