Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,mean,sd,Condition,Training
1,0,1,39.7875,NaN,NaN,4.5337,0.515,0.1,-1,1
1,1,0,14.706,NaN,NaN,1.6012,0.485,0.1,-1,1
1,1,1,9.15,NaN,NaN,1.8832,0.485,0.1,-1,1
1,0,1,13.235,NaN,NaN,2.59,0.53,0.0333,-1,1
1,0,1,5.065,NaN,NaN,0.8116,0.515,0.1,-1,1
1,0,0,22.549,NaN,NaN,1.0005,0.53,0.1,-1,1
1,0,0,34.314,NaN,NaN,1.3539,0.53,0.0333,-1,1
1,1,0,22.549,NaN,NaN,1.7424,0.485,0.0333,-1,1
1,1,1,29.575,NaN,NaN,0.67014,0.47,0.0333,-1,1
1,1,1,31.6175,NaN,NaN,0.80031,0.47,0.1,-1,1
1,0,0,26.471,NaN,NaN,1.4834,0.53,0.0333,-1,1
1,0,0,20.588,NaN,NaN,1.0471,0.515,0.0333,-1,1
1,1,1,39.7875,NaN,NaN,0.92979,0.47,0.0333,-1,1
1,1,1,41.83,NaN,NaN,1.4363,0.485,0.1,-1,1
1,1,0,16.667,NaN,NaN,1.978,0.47,0.1,-1,1
1,1,1,41.83,NaN,NaN,0.8585,0.47,0.0333,-1,1
1,1,1,15.2775,NaN,NaN,1.8249,0.47,0.0333,-1,1
1,1,1,23.4475,NaN,NaN,4.4389,0.4845,0.1,-1,1
1,1,1,13.235,NaN,NaN,3.0615,0.4845,0.1,-1,1
1,0,0,22.549,NaN,NaN,2.4957,0.53,0.1,-1,1
1,0,0,20.588,NaN,NaN,1.6483,0.53,0.1,-1,1
1,1,1,15.2775,NaN,NaN,0.80032,0.4845,0.0333,-1,1
1,1,1,11.1925,NaN,NaN,0.89446,0.4845,0.0333,-1,1
1,1,0,22.549,NaN,NaN,1.4592,0.47,0.0333,-1,1
1,1,1,35.7025,NaN,NaN,0.8003,0.47,0.0333,-1,1
1,1,1,23.4475,NaN,NaN,0.87048,0.4845,0.0333,-1,1
1,0,1,21.405,NaN,NaN,1.66,0.5155,0.0333,-1,1
1,0,0,32.353,NaN,NaN,0.58828,0.53,0.1,-1,1
1,0,0,26.471,NaN,NaN,0.78852,0.53,0.0333,-1,1
1,0,0,30.392,NaN,NaN,1.7778,0.53,0.0333,-1,1
1,1,1,21.405,NaN,NaN,1.4244,0.47,0.0333,-1,1
1,0,0,14.706,NaN,NaN,0.95339,0.5155,0.1,-1,1
1,1,1,15.2775,NaN,NaN,1.0707,0.4845,0.0333,-1,1
1,1,1,7.10749999999999,NaN,NaN,0.75309,0.47,0.1,-1,1
1,1,1,21.405,NaN,NaN,1.1301,0.4845,0.1,-1,1
1,0,0,22.549,NaN,NaN,1.106,0.5155,0.1,-1,1
1,1,1,3.02249999999999,NaN,NaN,1.2714,0.4845,0.0333,-1,1
1,0,1,5.065,NaN,NaN,2.2371,0.53,0.1,-1,1
1,1,0,4.902,NaN,NaN,1.083,0.47,0.1,-1,1
1,0,1,33.66,NaN,NaN,1.7542,0.5155,0.1,-1,1
1,1,0,30.392,NaN,NaN,1.7424,0.47,0.1,-1,1
1,0,0,22.549,NaN,NaN,1.0004,0.5155,0.0333,-1,1
1,0,0,28.431,NaN,NaN,0.79968,0.5155,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.0241,0.5155,0.0333,-1,1
1,1,1,15.2775,NaN,NaN,1.7425,0.4845,0.1,-1,1
1,1,1,15.2775,NaN,NaN,0.80029,0.47,0.1,-1,1
1,0,0,18.627,NaN,NaN,1.1772,0.5155,0.1,-1,1
1,0,1,19.3625,NaN,NaN,3.4267,0.53,0.0333,-1,1
1,1,1,15.2775,NaN,NaN,2.2841,0.47,0.0333,-1,1
1,0,0,22.549,NaN,NaN,1.0123,0.53,0.0333,-1,1
1,1,0,20.588,NaN,NaN,1.5305,0.4845,0.0333,-1,1
1,1,0,12.745,NaN,NaN,2.1311,0.47,0.1,-1,1
1,1,0,12.745,NaN,NaN,1.2714,0.47,0.1,-1,1
1,0,1,19.3625,NaN,NaN,0.88256,0.5155,0.0333,-1,1
1,0,1,11.1925,NaN,NaN,1,0.5155,0.1,-1,1
1,1,0,32.353,NaN,NaN,1.6595,0.4845,0.1,-1,1
1,1,1,33.66,NaN,NaN,0.96514,0.47,0.0333,-1,1
1,0,0,40.1961,NaN,NaN,1.2826,0.53,0.1,-1,1
1,1,1,39.7875,NaN,NaN,1.2714,0.47,0.0333,-1,1
1,1,0,26.471,NaN,NaN,1.1065,0.4845,0.0333,-1,1
1,0,0,42.1569,NaN,NaN,1.0946,0.53,0.0333,-1,1
1,0,0,24.51,NaN,NaN,1.4599,0.53,0.1,-1,1
1,0,0,20.588,NaN,NaN,1.0947,0.53,0.1,-1,1
1,0,0,26.471,NaN,NaN,0.76429,0.5155,0.1,-1,1
1,1,0,22.549,NaN,NaN,1.8362,0.47,0.1,-1,1
1,0,1,15.2775,NaN,NaN,0.70602,0.5155,0.1,-1,1
1,0,0,30.392,NaN,NaN,0.70607,0.5155,0.0333,-1,1
1,1,0,24.51,NaN,NaN,0.69429,0.4845,0.1,-1,1
1,1,0,32.353,NaN,NaN,0.74082,0.47,0.1,-1,1
1,1,0,24.51,NaN,NaN,0.84736,0.4845,0.1,-1,1
1,0,0,36.275,NaN,NaN,1.6718,0.53,0.0333,-1,1
1,0,1,25.49,NaN,NaN,0.67074,0.53,0.1,-1,1
1,0,1,0.979999999999997,NaN,NaN,2.2254,0.5155,0.1,-1,1
1,0,0,12.745,NaN,NaN,1.1654,0.5155,0.0333,-1,1
1,1,1,21.405,NaN,NaN,1.766,0.47,0.0333,-1,1
1,1,0,22.549,NaN,NaN,0.87096,0.4845,0.1,-1,1
1,0,0,22.549,NaN,NaN,1.8485,0.5155,0.0333,-1,1
1,0,0,16.667,NaN,NaN,1.3421,0.53,0.0333,-1,1
1,1,0,22.549,NaN,NaN,1.4598,0.47,0.0333,-1,1
1,1,0,20.588,NaN,NaN,1.9421,0.4845,0.0333,-1,1
1,0,0,50,NaN,NaN,1.0476,0.53,0.0333,-1,1
1,1,0,12.745,NaN,NaN,4.0032,0.47,0.1,-1,1
1,0,0,22.549,NaN,NaN,1.024,0.513,0.0333,-1,1
1,1,1,13.235,NaN,NaN,0.89445,0.487,0.0333,-1,1
1,0,0,22.549,NaN,NaN,0.64709,0.513,0.1,-1,1
1,0,0,14.706,NaN,NaN,0.6819,0.513,0.0333,-1,1
1,1,0,14.706,NaN,NaN,0.77621,0.487,0.0333,-1,1
1,0,0,20.588,NaN,NaN,0.88272,0.53,0.0333,-1,1
1,0,0,20.588,NaN,NaN,1.0711,0.513,0.1,-1,1
1,0,1,13.235,NaN,NaN,0.75305,0.53,0.0333,-1,1
1,1,0,20.588,NaN,NaN,1.4833,0.47,0.1,-1,1
1,0,1,23.4475,NaN,NaN,1.1182,0.513,0.0333,-1,1
1,1,1,23.4475,NaN,NaN,0.94156,0.487,0.1,-1,1
1,1,1,19.3625,NaN,NaN,1.8368,0.487,0.0333,-1,1
1,1,1,21.405,NaN,NaN,0.72895,0.47,0.1,-1,1
1,0,0,22.549,NaN,NaN,0.62362,0.513,0.1,-1,1
1,1,1,25.49,NaN,NaN,0.89448,0.47,0.1,-1,1
1,1,0,30.392,NaN,NaN,1.5063,0.47,0.1,-1,1
1,1,0,26.471,NaN,NaN,0.59991,0.487,0.1,-1,1
1,1,1,27.5325,NaN,NaN,0.74076,0.47,0.0333,-1,1
1,0,1,27.5325,NaN,NaN,0.98872,0.513,0.1,-1,1
1,0,1,35.7025,NaN,NaN,0.91799,0.53,0.0333,-1,1
1,0,1,29.575,NaN,NaN,0.92938,0.53,0.0333,-1,1
1,1,0,32.353,NaN,NaN,1.4952,0.47,0.1,-1,1
1,0,1,25.49,NaN,NaN,1.4009,0.53,0.1,-1,1
1,1,0,32.353,NaN,NaN,0.81142,0.487,0.0333,-1,1
1,1,1,19.3625,NaN,NaN,0.67073,0.487,0.0333,-1,1
1,1,1,19.3625,NaN,NaN,1.5894,0.47,0.0333,-1,1
1,0,0,34.314,NaN,NaN,1.024,0.53,0.1,-1,1
1,1,1,13.235,NaN,NaN,1.3067,0.487,0.0333,-1,1
1,1,0,26.471,NaN,NaN,0.7179,0.487,0.1,-1,1
1,1,0,22.549,NaN,NaN,0.69436,0.487,0.1,-1,1
1,0,0,24.51,NaN,NaN,0.71775,0.53,0.1,-1,1
1,0,0,26.471,NaN,NaN,0.60007,0.513,0.1,-1,1
1,1,0,22.549,NaN,NaN,0.81151,0.487,0.1,-1,1
1,1,0,22.549,NaN,NaN,0.90563,0.47,0.1,-1,1
1,0,0,22.549,NaN,NaN,1.1065,0.53,0.1,-1,1
1,0,1,21.405,NaN,NaN,0.6119,0.53,0.0333,-1,1
1,1,0,28.431,NaN,NaN,2.2366,0.487,0.1,-1,1
1,0,1,17.32,NaN,NaN,1.2596,0.513,0.0333,-1,1
1,1,1,11.1925,NaN,NaN,2.6728,0.487,0.1,-1,1
1,0,0,32.353,NaN,NaN,0.52879,0.513,0.1,-1,1
1,1,1,11.1925,NaN,NaN,0.74082,0.47,0.0333,-1,1
1,1,1,0.979999999999997,NaN,NaN,0.91795,0.47,0.0333,-1,1
1,0,0,18.627,NaN,NaN,1.8479,0.513,0.1,-1,1
1,1,1,15.2775,NaN,NaN,0.72959,0.487,0.0333,-1,1
1,1,1,5.065,NaN,NaN,0.81206,0.47,0.0333,-1,1
1,0,1,3.02249999999999,NaN,NaN,0.88267,0.513,0.0333,-1,1
1,1,0,30.392,NaN,NaN,2.7194,0.487,0.1,-1,1
1,1,1,11.1925,NaN,NaN,0.77671,0.487,0.0333,-1,1
1,0,0,18.627,NaN,NaN,0.97637,0.53,0.1,-1,1
1,0,0,12.745,NaN,NaN,0.87093,0.53,0.0333,-1,1
1,1,1,35.7025,NaN,NaN,0.92984,0.47,0.0333,-1,1
1,0,1,43.8725,NaN,NaN,1.2237,0.513,0.0333,-1,1
1,1,1,37.745,NaN,NaN,2.5315,0.47,0.0333,-1,1
1,0,0,24.51,NaN,NaN,1.1536,0.53,0.0333,-1,1
1,1,1,29.575,NaN,NaN,0.77678,0.47,0.0333,-1,1
1,0,0,30.392,NaN,NaN,0.72968,0.53,0.1,-1,1
1,1,1,25.49,NaN,NaN,1.024,0.47,0.1,-1,1
1,0,0,38.235,NaN,NaN,0.70604,0.53,0.1,-1,1
1,0,0,20.588,NaN,NaN,1.0235,0.513,0.1,-1,1
1,0,0,24.51,NaN,NaN,1.1653,0.513,0.0333,-1,1
1,0,0,10.784,NaN,NaN,1.6835,0.53,0.1,-1,1
1,0,0,12.745,NaN,NaN,2.1312,0.513,0.0333,-1,1
1,0,0,8.824,NaN,NaN,0.74141,0.53,0.0333,-1,1
1,1,0,8.824,NaN,NaN,3.0374,0.47,0.1,-1,1
1,0,0,12.745,NaN,NaN,0.83561,0.53,0.0333,-1,1
1,0,1,13.235,NaN,NaN,1.5068,0.53,0.0333,-1,1
1,0,1,13.235,NaN,NaN,1.5422,0.53,0.0333,-1,1
1,0,0,18.627,NaN,NaN,0.88271,0.513,0.0333,-1,1
1,1,0,28.431,NaN,NaN,2.1429,0.487,0.1,-1,1
1,0,1,13.235,NaN,NaN,1.5187,0.513,0.1,-1,1
1,1,1,33.66,NaN,NaN,1.0823,0.47,0.1,-1,1
1,0,0,24.51,NaN,NaN,0.87089,0.53,0.1,-1,1
1,0,1,23.4475,NaN,NaN,0.67075,0.53,0.1,-1,1
1,0,0,42.1569,NaN,NaN,0.81205,0.513,0.0333,-1,1
1,1,1,13.235,NaN,NaN,1.2119,0.487,0.1,-1,1
1,0,0,26.471,NaN,NaN,0.77612,0.53,0.1,-1,1
1,1,1,13.235,NaN,NaN,0.77672,0.47,0.0333,-1,1
1,1,1,15.2775,NaN,NaN,0.82384,0.47,0.0333,-1,1
1,1,1,21.405,NaN,NaN,1.2949,0.487,0.0333,-1,1
1,0,0,26.471,NaN,NaN,2.2483,0.53,0.0333,-1,1
1,0,0,22.549,NaN,NaN,1.0947,0.53,0.1,-1,1
1,0,0,32.353,NaN,NaN,1.1765,0.513,0.0333,-1,1
1,0,0,24.51,NaN,NaN,1.1771,0.513,0.0333,-1,1
1,1,1,19.3625,NaN,NaN,1.9186,0.47,0.1,-1,1
1,0,0,24.51,NaN,NaN,0.84739,0.53,0.0333,-1,1
1,0,1,15.2775,NaN,NaN,0.76492,0.53,0.0333,-1,1
1,0,0,30.392,NaN,NaN,0.62367,0.53,0.1,-1,1
1,1,1,13.235,NaN,NaN,0.58774,0.487,0.0333,-1,1
1,1,1,19.3625,NaN,NaN,1.3657,0.487,0.0333,-1,1
1,0,0,32.353,NaN,NaN,0.44695,0.513,0.1,-1,1
1,0,0,24.51,NaN,NaN,0.84734,0.53,0.1,-1,1
1,0,0,18.627,NaN,NaN,1.3421,0.513,0.0333,-1,1
1,1,1,19.3625,NaN,NaN,0.57597,0.47,0.0333,-1,1
1,0,0,30.392,NaN,NaN,0.52887,0.513,0.0333,-1,1
