Subj_idx,Stimulus,Response,Accuracy,Confidence,RT_dec,Difficulty,Condition
7,2,2,1,1,2.458,32,1000
7,1,1,1,1,0.943,16,1000
7,1,1,1,4,0.435,128,1000
7,1,2,0,2,0.706,64,1000
7,1,1,1,3,1.027,128,1000
7,1,1,1,3,1.079,128,1000
7,2,1,0,3,0.927,128,1000
7,2,2,1,2,0.616,64,1000
7,1,1,1,1,0.837,32,1000
7,2,NaN,NaN,2,NaN,128,1000
7,2,2,1,1,2.538,32,1000
7,1,1,1,3,0.546,128,1000
7,2,2,1,4,0.838,128,1000
7,2,2,1,4,0.472,128,1000
7,2,2,1,4,0.552,128,1000
7,2,2,1,4,0.731,64,1000
7,2,2,1,2,1.942,64,1000
7,1,1,1,1,1.438,16,1000
7,2,2,1,2,0.678,64,1000
7,1,2,0,2,0.955,32,1000
7,1,1,1,1,2.641,16,1000
7,2,2,1,2,0.444,128,1000
7,1,1,1,2,0.508,32,1000
7,2,2,1,1,1.732,32,1000
7,1,1,1,1,1.588,16,1000
7,2,1,0,1,0.711,64,1000
7,2,2,1,1,0.608,64,1000
7,1,2,0,2,0.874,64,1000
7,2,2,1,1,1.948,64,1000
7,1,1,1,4,0.521,128,1000
7,2,1,0,1,1.709,16,1000
7,1,1,1,1,1.493,16,1000
7,1,2,0,1,0.806,16,1000
7,1,1,1,1,1.429,32,1000
7,2,2,1,1,0.499,16,1000
7,2,NaN,NaN,2,NaN,32,1000
7,2,2,1,4,1.196,128,1000
7,1,1,1,2,0.655,64,1000
7,1,2,0,1,0.614,128,1000
7,1,1,1,4,0.591,128,1000
7,1,2,0,3,0.409,128,1000
7,2,2,1,2,0.553,64,1000
7,2,2,1,4,0.454,128,1000
7,1,1,1,4,0.529,128,1000
7,2,1,0,2,0.539,64,1000
7,2,1,0,1,0.865,16,1000
7,2,2,1,1,1.885,32,1000
7,1,1,1,1,0.838,32,1000
7,2,2,1,1,1.202,64,1000
7,1,1,1,3,0.529,128,1000
7,2,2,1,1,0.527,16,1000
7,2,1,0,2,0.523,64,1000
7,1,2,0,2,0.314,64,1000
7,1,2,0,1,1.042,16,1000
7,1,1,1,3,0.527,128,1000
7,2,1,0,3,0.593,32,1000
7,1,1,1,3,0.808,64,1000
7,2,2,1,2,0.482,32,1000
7,1,1,1,2,0.596,64,1000
7,2,1,0,1,0.494,32,1000
7,2,2,1,1,1.624,16,1000
7,1,1,1,2,0.667,64,1000
7,2,2,1,2,1.918,16,1000
7,2,1,0,1,2.543,16,1000
7,1,1,1,2,0.422,64,1000
7,1,1,1,2,0.397,32,1000
7,2,2,1,1,0.58,16,1000
7,2,2,1,2,0.444,64,1000
7,1,2,0,3,0.775,64,1000
7,2,1,0,1,0.452,32,1000
7,2,1,0,1,0.931,16,1000
7,1,1,1,2,0.673,32,1000
7,1,2,0,2,0.671,64,1000
7,2,2,1,4,0.521,128,1000
7,2,2,1,3,1.171,64,1000
7,2,2,1,4,0.675,128,1000
7,2,2,1,2,0.514,16,1000
7,1,1,1,1,0.53,32,1000
7,2,2,1,1,0.911,32,1000
7,2,1,0,1,2.95,16,1000
7,2,2,1,2,0.814,32,1000
7,1,1,1,1,0.5,16,1000
7,2,2,1,1,0.418,16,1000
7,2,2,1,3,0.306,128,1000
7,1,1,1,4,0.932,128,1000
7,2,2,1,4,0.337,64,1000
7,2,1,0,4,0.686,64,1000
7,1,NaN,NaN,1,NaN,16,1000
7,2,2,1,1,0.408,16,1000
7,1,2,0,1,0.798,32,1000
7,1,1,1,1,0.809,16,1000
